Project Name,Type Name,Status Detail Name,Status Name,Project Date,Company,Country Name,Location,Other,Plant,Project Link,,Technology Name,Unit Base Name 1,Latitude,Longitude,Major Injection Amount
Northern Michigan Basin Carbonsafe Integrated Pre-Feasibility Project,Storage,Planning,Potential,1/1/2017,Battelle Memorial Institute,United States,northern Michigan Basin,Battelle will carry out studies to establish the feasibility of developing an integrated commercial-scale carbon capture and storage (CCS) site that will utilize deep geologic strata in the Northern Michigan Basin.,,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029276,,,,44.7241,-85.522351,
North Dakota Integrated Carbon Storage Complex Feasibility Study,Storage,Planning,Potential,6/1/2017,Energy & Environmental Research Center - University of North Dakota,United States,Broom Creek Formation,Determine the feasibility of developing a commercial-scale CO2 geologic storage complex in the Broom Creek Formation in central North Dakota.,,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029488,,,,47.197797,-101.6796,
Nebraska Integrated Carbon Capture and Storage Pre-Feasibility Study,Storage,Planning,Potential,1/1/2017,Energy & Environmental Research Center - University of North Dakota,United States,western Nebraska,Explore the viability of a commercial-scale carbon capture storage (CCS) project in western Nebraska.,,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029186,,,,41.158381,-101.127248,
"Integrated Pre-Feasibility Study of a Commercial-Scale Commercial Carbon Capture Project in Formations of the Rock Springs Uplift, Wyoming",Storage,Planning,Potential,3/1/2017,University of Wyoming,United States,Rock Springs Uplift,"Perform a phase I pre-feasibility assessment for secure, commercial-scale CO2 capture and storage at the Rock Springs Uplift (RSU), Wyoming.",,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029302,,,,41.577869,-109.207281,
Integrated Mid-Continent Stacked Carbon Storage Hub,Storage,Planning,Potential,2/1/2017,Battelle Memorial Institute,United States,,"This project is to study the pre-feasibility of an integrated CO2 storage hub in the mid-continent region of the United States, with the ultimate objective of storing anthropogenic CO2.",,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029264,,,,40.341002,-97.793843,
"Integrated Commercial Carbon Capture and Storage PreFeasibility Study at Dry Fork Station, Wyoming",Storage,Planning,Potential,3/1/2017,University of Wyoming,United States,Dry Fork Station,Identify saline storage opportunities proximal to the Dry Fork Station (DFS) power plant in the Powder River Basin.,Dry Fork Station,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029375,,,,44.388915,-105.461027,
Integrated CCS Pre-Feasibility in the Northwest Gulf of Mexico,Storage,Planning,Potential,2/1/2017,University of Texas at Austin,United States,Gulf of Mexico,"Demonstrate that saline and depleted hydrocarbon storage reservoirs within a storage complex can store industrial CO2 emissions safely, permanently, and economically.",,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029487,,,,29.17706,-94.707493,
Integrated Carbon Capture and Storage in the Louisiana Chemical Corridor,Storage,Planning,Potential,2/1/2017,Louisiana State University,United States,Chemical Corridor,Conduct a detailed sub-basinal evaluation of the potential for CO2 storage in both depleted oil and gas fields and saline reservoirs in South Louisiana.,,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029274,,,,30.075864,-91.161065,
Integrated Carbon Capture and Storage in Kansas,Storage,Planning,Potential,3/1/2017,University of Kansas Center for Research,United States,Kansas,"Conduct a feasibility study of three of Kansas largest CO2 point sources, nearby storage sites (with greater than 50 million metric tons capacity), and potential CO2 transportation networks.",,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029474,,,,37.258813,-97.4817,
Hassi Touareg Project,Storage,Site Characterization,Potential,,Schlumberger,Algeria,Hassi Touareg,,Commercial Source,http://globalenergyobservatory.org/geoid/40145,,,,30.565029,6.433333,
"Establishing An Early Carbon Dioxide Storage (ECO2S) Complex in Kemper County, Mississippi: Project ECO2S",Storage,Planning,Potential,3/1/2017,Southern States Energy Board,United States,Kemper County,"Demonstrate that the subsurface adjacent to the Kemper County energy facility has the potential to store commercial volumes of CO2 safely, permanently, and economically within a regionally significant saline reservoir system.",,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029465,,,,32.746504,-88.647387,
CarbonSAFE Illinois Macon County,Storage,Planning,Potential,4/1/2017,Illinois State Geological Survey,United States,Christian County,"The project willl work to establish the feasibility of a commercial-scale CO2 geologic storage complex within the Mt. Simon sandstone formation located in Macon County, Illinois.",,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029381,,,,39.845347,-88.953416,
CarbonSAFE Illinois East Sub-Basin,Storage,Planning,Potential,3/1/2017,Illinois State Geological Survey,United States,east sub-basin of the Illinois Basin,Conduct a pre-feasibility assessment for commercial-scale CO2 geological storage complexes in the East sub-basin of the Illinois Basin.,,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029445,,,,39.800683,-87.975712,
California CO2 Storage Assurance Facility Enterprise (C2SAFE),Storage,Planning,Potential,2/1/2017,EPRI - Electric Power Research Institute,United States,southern San Joaquin Valley,"Conduct an initial assessment of the southern San Joaquin Valley (SSJV) in California, specifically, of the technical, economic, social, and regulatory challenges and solutions related to the development of a commercial-scale, integrated CCS facility.",,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029489,,,,35.385317,-119.297308,
ZENG Worsham-Steed,Capture & Storage,Plant Design,Potential,1/1/2007,CO2 Global,United States,Worsham-Steed," Technology development, process design and engineering began in 2007.  May lead to development of a larger 200+ MW plant if successful.",ZENG Worsham-Steed,https://sequestration.mit.edu/tools/projects/worsham_steed.html,,,Tonnes per Day,32.461351,-97.890919,870
Yulin Coal to Chemicals CCS,Capture & Storage,Planning,Potential,1/1/2017,Shenhua Group,China,Yulin City,Shenhua and Dow would likely form a 50:50 joint-venture company to build and operate the project which is planned to produce a large number of different chemicals. This project is still in the early stages of development.,New coal to chemical plant,https://sequestration.mit.edu/tools/projects/Yulin.html,,Solvents,Tonnes per Day,38.237528,109.717015,"5,480"
White Rose CCS Project,Capture & Storage,Permitting,Potential,9/1/2014,Capture Power Limited,United Kingdom,"Drax, Selby","On November 25, 2015, the UK announced that it was cancelling the UK £1bn CCS Competition. To date there has been no announcement of the project's current status.",Drax Power Station,https://sequestration.mit.edu/tools/projects/white_rose.html,,Oxy-fuel Combustion,,53.744732,-0.998704,
Riley Ridge Gas Plant,Capture & Storage,Planning,Potential,1/1/2020,"Denbury Onshore, LLC",United States,Big Piney,Initial development plans for CO2 capture from the Riley Ridge Gas plant envisaged a 2015-17 start-up date. Denbury has indicated that the new plan is for a 2020 development time-line,Riley Ridge Gas Plant,http://www.zeroco2.no/projects/riley-ridge-gas-plant-eor,,Amines,,42.4756,-110.489,
Poza Rica EOR Project,Capture & Storage,Planning,Potential,1/1/2009,Comisión Federal de Electricidad (CFE),Mexico,Tuxpan,"Inititial proposal was to run the demonstration project in the Tuxpan Power Plant that would be refitted to use coal as primary source. Due to CFE strategic decisions, it was decided to have the CCS project in the NGCC Power Plant located at Poza Rica",Poza Rica Power Plant,http://eventos.iingen.unam.mx/CCSworkshops/ponenciasMEXICO2012/LACYPresentacionMONITORINGPOZARICA.pdf,,Amines,Tonnes per Day,20.526377,-97.491807,8
Petrom Zero Emissions Plant (ZEP),Capture & Storage,Engineering design,Potential,1/1/2009,Petrom E&P,Romania,Brazi,Performing a feasibility study to design a zero emission plant. The plant will be supplied with CO2 rich gas from one of Petroms fields.  CO2 from plant will be reinjected into an oil field for EOR.,Petrom Zero Emissions Plant,http://petrom.webstyler.ro/pdffiles/Climate-change-52-EN.pdf,,Oxy-fuel Combustion,,45.929741,22.848412,
