City,Country,Data Center,Latitude (generated),Longitude (generated),Number of Records
Finland,Finland,Google Cloud,61.9241,25.7482,1
Oslo,Norway,IBM Cloud,59.912,10.746,1
Oslo,Norway,Microsoft Azure,59.912,10.746,1
Stockholm,Sweden,Amazon,59.3294,18.0686,1
Stavanger,Norway,Microsoft Azure,58.97,5.733,
Ireland,Northern Island,Amazon,53.1424,-7.6921,1
Ireland,Ireland,Microsoft Azure,53.1424,-7.6921,1
Berlin,Germany,Microsoft Azure,52.5167,13.3833,
Amsterdam,Netherlands,IBM Cloud,52.378,4.9,1
Amsterdam,Netherlands,Oracle,52.378,4.9,1
Magdeburg,Germany,Microsoft Azure,52.1333,11.6167,1
Netherlands,Netherlands,Google Cloud,52.1326,5.2913,1
London,UK,Amazon,51.5073,-0.1276,1
London,UK,Google Cloud,51.5073,-0.1276,1
London,UK,IBM Cloud,51.5073,-0.1276,3
London,UK,Microsoft Azure,51.5073,-0.1276,1
London,UK,Oracle,51.5073,-0.1276,1
Cardiff,UK,Microsoft Azure,51.4817,-3.1792,1
Belgium,Belgium,Google Cloud,50.5577,4.4699,1
Frankfurt,Germany,Oracle,50.110924,8.682127,
Frankfurt,Germany,Microsoft Azure,50.110924,8.682127,
Frankfurt,Germany,IBM Cloud,50.110924,8.682127,
Frankfurt,Germany,Google Cloud,50.110924,8.682127,
Frankfurt,Germany,Amazon,50.110924,8.682127,
Frankfurt,Germany,,50.1109,8.6821,
Frankfurt,Germany,Amazon,50.1109,8.6821,1
Frankfurt,Germany,Google Cloud,50.1109,8.6821,1
Frankfurt,Germany,IBM Cloud,50.1109,8.6821,3
Frankfurt,Germany,Microsoft Azure,50.1109,8.6821,2
Frankfurt,Germany,Oracle,50.1109,8.6821,1
Paris,France,Microsoft Azure,48.8566,2.3518,
Paris,France,IBM Cloud,48.8566,2.3518,
Paris,France,Amazon,48.8566,2.3518,
Paris,France,,48.8566,2.3518,
Paris,France,Amazon,48.8566,2.3518,1
Paris,France,IBM Cloud,48.8566,2.3518,1
Paris,France,Microsoft Azure,48.8566,2.3518,1
Victoria,Australia,,48.4284,-123.3656,
Victoria,Australia,Microsoft Azure,48.4284,-123.3656,1
Zurich,Switzerland,Oracle,47.3786,8.54,
Zurich,Switzerland,Microsoft Azure,47.3786,8.54,
Zurich,Switzerland,Google Cloud,47.3786,8.54,
Zurich,Switzerland,,47.3786,8.54,
Zurich,Switzerland,Google Cloud,47.3786,8.54,1
Zurich,Switzerland,Microsoft Azure,47.3786,8.54,1
Zurich,Switzerland,Oracle,47.3786,8.54,1
Quebec City,Canada,,46.8257,-71.2349,
Quebec City,Canada,Microsoft Azure,46.8257,-71.2349,
Quebec City,Canada,Microsoft Azure,46.8257,-71.2349,
Quebec City,Canada,,46.8257,-71.2349,
Quebec City,Canada,Microsoft Azure,46.8257,-71.2349,1
Geneva,Switzerland,Microsoft Azure,46.206,6.1453,
Geneva,Switzerland,,46.206,6.1453,
Geneva,Switzerland,Microsoft Azure,46.206,6.1453,1
Montreal,United States,,45.5017,-73.5673,
Montreal,Canada,,45.5017,-73.5673,
Montreal,United States,Google Cloud,45.5017,-73.5673,
Montreal,Canada,IBM Cloud,45.5017,-73.5673,
Montreal,Canada,Oracle,45.5017,-73.5673,
Montreal,Canada,Oracle,45.5017,-73.5673,
Montreal,Canada,IBM Cloud,45.5017,-73.5673,
MOntreal,US,Google Cloud,45.5017,-73.5673,
Montreal,United States,,45.5017,-73.5673,
Montreal,Canada,,45.5017,-73.5673,
Montreal,United States,Google Cloud,45.5017,-73.5673,1
Montreal,Canada,IBM Cloud,45.5017,-73.5673,1
Montreal,Canada,Oracle,45.5017,-73.5673,1
Milan,Italy,IBM Cloud,45.4642,9.1903,
Milan,Italy,Amazon,45.4642,9.1903,
Milan,Italy,,45.4642,9.1903,
Milan,Italy,Amazon,45.4642,9.1903,1
Milan,Italy,IBM Cloud,45.4642,9.1903,1
Oregon,United States,,43.8041,-120.5542,
Oregon,United States,Amazon,43.8041,-120.5542,
Oregon,United States,Google Cloud,43.8041,-120.5542,
Oregon,US,Google Cloud,43.8041,-120.5542,
Oregon,US,Amazon,43.8041,-120.5542,
Oregon,United States,,43.8041,-120.5542,
Oregon,United States,Amazon,43.8041,-120.5542,1
Oregon,United States,Google Cloud,43.8041,-120.5542,1
Toronto,Canada,,43.6529,-79.3849,
Toronto,Canada,IBM Cloud,43.6529,-79.3849,
Toronto,Canada,Microsoft Azure,43.6529,-79.3849,
Toronto,Canada,Oracle,43.6529,-79.3849,
Toronto,Canada,Oracle,43.6529,-79.3849,
Toronto,Canada,Microsoft Azure,43.6529,-79.3849,
Toronto,Canada,IBM Cloud,43.6529,-79.3849,
Toronto,Canada,,43.6529,-79.3849,
Toronto,Canada,IBM Cloud,43.6529,-79.3849,1
Toronto,Canada,Microsoft Azure,43.6529,-79.3849,1
Toronto,Canada,Oracle,43.6529,-79.3849,1
Marseille,France,Microsoft Azure,43.2967,5.3764,
Marseille,France,,43.2967,5.3764,
Marseille,France,Microsoft Azure,43.2967,5.3764,1
Wyoming,United States,,43.076,-107.2903,
Wyoming,United States,Microsoft Azure,43.076,-107.2903,
Wyoming,United States,,43.076,-107.2903,
