ProjectID,Wiki,TerminalName,FacilityType,Status,Country,Capacity,CapacityUnits,CapacityInBcm/y,StartYearEarliest,Location,State/Province,Latitude,Longitude,CostUSD,LastUpdated
1,https://www.gem.wiki/Fourchon_LNG_Terminal,Fourchon LNG Terminal,Export,Cancelled,United States,2,mtpa,2.72,2021,Port Fourchon,Louisiana,29.105833,-90.194444,888000000,2024-07-03
2,https://www.gem.wiki/Fourchon_LNG_Terminal,Fourchon LNG Terminal,Export,Cancelled,United States,3,mtpa,4.08,2023,Port Fourchon,Louisiana,29.105833,-90.194444,--,2024-07-03
1,https://www.gem.wiki/Alaska_LNG_Terminal,Alaska LNG Terminal,Export,Proposed,United States,6.7,mtpa,9.11,2030,Nikiski,Alaska,60.65996,-151.36505,5600000000,2024-07-03
2,https://www.gem.wiki/Alaska_LNG_Terminal,Alaska LNG Terminal,Export,Proposed,United States,6.7,mtpa,9.11,2030,Nikiski,Alaska,60.65996,-151.36505,5600000000,2024-07-03
3,https://www.gem.wiki/Alaska_LNG_Terminal,Alaska LNG Terminal,Export,Proposed,United States,6.7,mtpa,9.11,2030,Nikiski,Alaska,60.65996,-151.36505,5600000000,2024-07-03
1,https://www.gem.wiki/Alturas_LNG_Terminal,Alturas LNG Terminal,Export,Cancelled,United States,1.5,mtpa,2.04,2016,Port Arthur,Texas,29.885,-93.94,--,2024-07-08
1,https://www.gem.wiki/American_LNG_Hialeah_Terminal,American LNG Hialeah Terminal,Export,Operating,United States,0.01,bcf/d,0.08,2016,Medley,Florida,25.809175,-80.296697,--,2024-07-08
1,https://www.gem.wiki/American_LNG_Titusville_Terminal,American LNG Titusville Terminal,Export,Cancelled,United States,0.08,bcf/d,0.85,--,Titusville,Florida,28.591111,-80.82,--,2024-07-08
1,https://www.gem.wiki/Annova_LNG_Terminal,Annova LNG Brownsville Terminal,Export,Cancelled,United States,1.08,mtpa,1.47,2025,Brownsville,Texas,25.950835,-97.410844,500000000,2024-07-08
2,https://www.gem.wiki/Annova_LNG_Terminal,Annova LNG Brownsville Terminal,Export,Cancelled,United States,1.08,mtpa,1.47,2025,Brownsville,Texas,25.950835,-97.410844,500000000,2024-07-08
3,https://www.gem.wiki/Annova_LNG_Terminal,Annova LNG Brownsville Terminal,Export,Cancelled,United States,1.08,mtpa,1.47,2025,Brownsville,Texas,25.950835,-97.410844,500000000,2024-07-08
4,https://www.gem.wiki/Annova_LNG_Terminal,Annova LNG Brownsville Terminal,Export,Cancelled,United States,1.08,mtpa,1.47,2025,Brownsville,Texas,25.950835,-97.410844,500000000,2024-07-08
5,https://www.gem.wiki/Annova_LNG_Terminal,Annova LNG Brownsville Terminal,Export,Cancelled,United States,1.08,mtpa,1.47,2025,Brownsville,Texas,25.950835,-97.410844,500000000,2024-07-08
6,https://www.gem.wiki/Annova_LNG_Terminal,Annova LNG Brownsville Terminal,Export,Cancelled,United States,1.08,mtpa,1.47,2025,Brownsville,Texas,25.950835,-97.410844,500000000,2024-07-08
1,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
2,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
3,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
4,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
5,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
6,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
7,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,2022,Cameron Parish,Louisiana,29.77292736,-93.3343038,394444444.4,2024-05-21
