City,Country,Data Center,Latitude (generated),Longitude (generated)
Wyoming,United States,,43.076,-107.2903
"Washington, D.C.",United States,,38.895,-77.0366
Washington DC,United States,,38.895,-77.0366
Virginia,United States,,37.4316,-78.6569
Texas,United States,,31.9686,-99.9018
South Carolina,United States,,33.8361,-81.1637
San Jose,United States,,37.3382,-121.8863
Salt Lake City,United States,,40.767,-111.8904
Phoenix,United States,,33.4484,-112.074
Oregon,United States,,43.8041,-120.5542
Ohio,United States,,40.4173,-82.9071
North Virginia,United States,,37.4316,-78.6569
North Carolina,United States,,35.7596,-79.0193
Montreal,United States,,45.5017,-73.5673
Los Angeles,United States,,34.0544,-118.2439
Las Vegas,United States,,36.1699,-115.1398
IOWA,United States,,30.2369,-93.0138
Illinois,United States,,40.6331,-89.3985
Houston,United States,,29.7604,-95.3698
Dallas,United States,,32.7767,-96.797
California,United States,,36.7783,-119.4179
Ashburn,United States,,39.0438,-77.4874
Mexico City,Mexico,,19.4194,-99.1456
Toronto,Canada,,43.6529,-79.3849
Quebec City,Canada,,46.8257,-71.2349
Montreal,Canada,,45.5017,-73.5673
Sao Paulo,Brazil,,-23.5507,-46.6334
São Paulo,Brazil,,-23.5507,-46.6334
Quebec City,Canada,Microsoft Azure,46.8257,-71.2349
Montreal,United States,Google Cloud,45.5017,-73.5673
Montreal,Canada,IBM Cloud,45.5017,-73.5673
Montreal,Canada,Oracle,45.5017,-73.5673
Oregon,United States,Amazon,43.8041,-120.5542
Oregon,United States,Google Cloud,43.8041,-120.5542
Toronto,Canada,IBM Cloud,43.6529,-79.3849
Toronto,Canada,Microsoft Azure,43.6529,-79.3849
Toronto,Canada,Oracle,43.6529,-79.3849
Wyoming,United States,Microsoft Azure,43.076,-107.2903
Salt Lake City,United States,Google Cloud,40.767,-111.8904
Illinois,United States,Microsoft Azure,40.6331,-89.3985
Ohio,United States,Amazon,40.4173,-82.9071
Ashburn,United States,Oracle,39.0438,-77.4874
Washington DC,United States,IBM Cloud,38.895,-77.0366
"Washington, D.C.",United States,IBM Cloud,38.895,-77.0366
"Washington, D.C.",United States,Microsoft Azure,38.895,-77.0366
North Virginia,United States,Google Cloud,37.4316,-78.6569
Virginia,United States,Microsoft Azure,37.4316,-78.6569
San Jose,United States,IBM Cloud,37.3382,-121.8863
California,United States,Microsoft Azure,36.7783,-119.4179
Las Vegas,United States,Google Cloud,36.1699,-115.1398
North Carolina,United States,Amazon,35.7596,-79.0193
Los Angeles,United States,Google Cloud,34.0544,-118.2439
South Carolina,United States,Google Cloud,33.8361,-81.1637
Phoenix,United States,Oracle,33.4484,-112.074
Dallas,United States,IBM Cloud,32.7767,-96.797
Texas,United States,Microsoft Azure,31.9686,-99.9018
IOWA,United States,Google Cloud,30.2369,-93.0138
IOWA,United States,Microsoft Azure,30.2369,-93.0138
Houston,United States,IBM Cloud,29.7604,-95.3698
Mexico City,Mexico,IBM Cloud,19.4194,-99.1456
Sao Paulo,Brazil,Amazon,-23.5507,-46.6334
Sao Paulo,Brazil,Google Cloud,-23.5507,-46.6334
São Paulo,Brazil,IBM Cloud,-23.5507,-46.6334
Sao Paulo,Brazil,Microsoft Azure,-23.5507,-46.6334
Sao Paulo,Brazil,Oracle,-23.5507,-46.6334
