Color by,Project Name,State Name,Type Name,Company,Country Name,DOE Support,If State,Location,Other,Plant,Project Date,Project ID,Project Link,Project Name,Status Detail Name,Status Name,Technology Name,Unit Base Name 1,Avg. Icon Size,Latitude,Longitude,Distinct count of Project ID,Major Injection Amount
Unidentified,Lost Cabin Gas Plant CCS Project,Wyoming,Capture,"ConocoPhillips, Denbury",United States,Other Support,,Lost Cabin,The Lost Creek Gas Plant began separating and capturing CO2 from the nearby Madden Gas Field in 1995. The PCOR Development Phase project at Belle Creek oil field began to utilize CO2 from this source in 2013 for EOR/CO2 storage.,Lost Cabin Gas Plant,,387,https://www.uwyo.edu/eori/_files/co2conference07/brent_lohnes_conocophillips_eori.pdf,Lost Cabin Gas Plant CCS Project,Plant in Operation,,,,1,43.293203937,-107.602147593,1,
Potential,Northern Michigan Basin Carbonsafe Integrated Pre-Feasibility Project,Ohio,Storage,Battelle Memorial Institute,United States,Other Support,", Ohio",northern Michigan Basin,Battelle will carry out studies to establish the feasibility of developing an integrated commercial-scale carbon capture and storage (CCS) site that will utilize deep geologic strata in the Northern Michigan Basin.,,1/1/2017,358,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029276,Northern Michigan Basin Carbonsafe Integrated Pre-Feasibility Project,Planning,Potential,,,1,44.7241,-85.522351,1,
Potential,North Dakota Integrated Carbon Storage Complex Feasibility Study,North Dakota,Storage,Energy & Environmental Research Center - University of North Dakota,United States,DOE Supported,", North Dakota",Broom Creek Formation,Determine the feasibility of developing a commercial-scale CO2 geologic storage complex in the Broom Creek Formation in central North Dakota.,,6/1/2017,368,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029488,North Dakota Integrated Carbon Storage Complex Feasibility Study,Planning,Potential,,,1,47.197797,-101.6796,1,
Potential,Nebraska Integrated Carbon Capture and Storage Pre-Feasibility Study,North Dakota,Storage,Energy & Environmental Research Center - University of North Dakota,United States,DOE Supported,", North Dakota",western Nebraska,Explore the viability of a commercial-scale carbon capture storage (CCS) project in western Nebraska.,,1/1/2017,367,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029186,Nebraska Integrated Carbon Capture and Storage Pre-Feasibility Study,Planning,Potential,,,1,41.158381,-101.127248,1,
Potential,"Integrated Pre-Feasibility Study of a Commercial-Scale Commercial Carbon Capture Project in Formations of the Rock Springs Uplift, Wyoming",Wyoming,Storage,University of Wyoming,United States,DOE Supported,", Wyoming",Rock Springs Uplift,"Perform a phase I pre-feasibility assessment for secure, commercial-scale CO2 capture and storage at the Rock Springs Uplift (RSU), Wyoming.",,3/1/2017,371,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029302,"Integrated Pre-Feasibility Study of a Commercial-Scale Commercial Carbon Capture Project in Formations of the Rock Springs Uplift, Wyoming",Planning,Potential,,,1,41.577869,-109.207281,1,
Potential,Integrated Mid-Continent Stacked Carbon Storage Hub,Nebraska or Kansas,Storage,Battelle Memorial Institute,United States,DOE Supported,Nebraska or Kansas,,"This project is to study the pre-feasibility of an integrated CO2 storage hub in the mid-continent region of the United States, with the ultimate objective of storing anthropogenic CO2.",,2/1/2017,357,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029264,Integrated Mid-Continent Stacked Carbon Storage Hub,Planning,Potential,,,1,40.341002,-97.793843,1,
Potential,"Integrated Commercial Carbon Capture and Storage PreFeasibility Study at Dry Fork Station, Wyoming",Wyoming,Storage,University of Wyoming,United States,DOE Supported,", Wyoming",Dry Fork Station,Identify saline storage opportunities proximal to the Dry Fork Station (DFS) power plant in the Powder River Basin.,Dry Fork Station,3/1/2017,372,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029375,"Integrated Commercial Carbon Capture and Storage PreFeasibility Study at Dry Fork Station, Wyoming",Planning,Potential,,,1,44.388915,-105.461027,1,
Potential,Integrated CCS Pre-Feasibility in the Northwest Gulf of Mexico,Texas,Storage,University of Texas at Austin,United States,DOE Supported,", Texas",Gulf of Mexico,"Demonstrate that saline and depleted hydrocarbon storage reservoirs within a storage complex can store industrial CO2 emissions safely, permanently, and economically.",,2/1/2017,369,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029487,Integrated CCS Pre-Feasibility in the Northwest Gulf of Mexico,Planning,Potential,,,1,29.17706,-94.707493,1,
Potential,Integrated Carbon Capture and Storage in the Louisiana Chemical Corridor,Louisiana,Storage,Louisiana State University,United States,DOE Supported,", Louisiana",Chemical Corridor,Conduct a detailed sub-basinal evaluation of the potential for CO2 storage in both depleted oil and gas fields and saline reservoirs in South Louisiana.,,2/1/2017,364,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029274,Integrated Carbon Capture and Storage in the Louisiana Chemical Corridor,Planning,Potential,,,1,30.075864,-91.161065,1,
Potential,Integrated Carbon Capture and Storage in Kansas,Kansas,Storage,University of Kansas Center for Research,United States,DOE Supported,", Kansas",Kansas,"Conduct a feasibility study of three of Kansas largest CO2 point sources, nearby storage sites (with greater than 50 million metric tons capacity), and potential CO2 transportation networks.",,3/1/2017,366,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029474,Integrated Carbon Capture and Storage in Kansas,Planning,Potential,,,1,37.258813,-97.4817,1,
Potential,Hassi Touareg Project,Ouargla Province,Storage,Schlumberger,Algeria,Other Support,", Ouargla Province",Hassi Touareg,,Commercial Source,,1,http://globalenergyobservatory.org/geoid/40145,Hassi Touareg Project,Site Characterization,Potential,,,1,30.565029,6.433333,1,
Potential,"Establishing An Early Carbon Dioxide Storage (ECO2S) Complex in Kemper County, Mississippi: Project ECO2S",Mississippi,Storage,Southern States Energy Board,United States,DOE Supported,", Mississippi",Kemper County,"Demonstrate that the subsurface adjacent to the Kemper County energy facility has the potential to store commercial volumes of CO2 safely, permanently, and economically within a regionally significant saline reservoir system.",,3/1/2017,365,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029465,"Establishing An Early Carbon Dioxide Storage (ECO2S) Complex in Kemper County, Mississippi: Project ECO2S",Planning,Potential,,,1,32.746504,-88.647387,1,
