City,Country,Data Center,Data Center,Latitude (generated),Longitude (generated)
Phoenix,US,Oracle,Oracle,33.45,-112.055
Ashburn,US,Oracle,Oracle,39.0438,-77.4874
London,UK,Oracle,Oracle,51.5073,-0.1276
Zurich,Switzerland,Oracle,Oracle,47.3786,8.54
Seoul,South Korea,Oracle,Oracle,37.568,126.977
Jeddah,Saudi Arabia,Oracle,Oracle,21.5428,39.1728
Amsterdam,Netherlands,Oracle,Oracle,52.378,4.9
Tokyo,Japan,Oracle,Oracle,35.68,139.77
Osaka,Japan,Oracle,Oracle,34.693,135.502
Mumbai,India,Oracle,Oracle,18.9667,72.8333
Hyderabad,India,Oracle,Oracle,17.3667,78.4667
Frankfurt,Germany,Oracle,Oracle,50.110924,8.682127
Toronto,Canada,Oracle,Oracle,43.6529,-79.3849
Montreal,Canada,Oracle,Oracle,45.5017,-73.5673
Sao Paulo,Brazil,Oracle,Oracle,23.5505,-46.6333
Sydney,Australia,Oracle,Oracle,-33.868,151.21
Melbourne,Australia,Oracle,Oracle,-37.8142,144.9632
Wyoming,US,Microsoft Azure,Microsoft Azure,,
Washington,US,Microsoft Azure,Microsoft Azure,,
Virginia,US,Microsoft Azure,Microsoft Azure,,
Texas,US,Microsoft Azure,Microsoft Azure,29.3838,-94.9027
Illinois,US,Microsoft Azure,Microsoft Azure,41.8756,-87.6244
California,US,Microsoft Azure,Microsoft Azure,,
London,UK,Microsoft Azure,Microsoft Azure,51.5073,-0.1276
Cardiff,UK,Microsoft Azure,Microsoft Azure,51.4817,-3.1792
Dubai,UAE,Microsoft Azure,Microsoft Azure,25.252,55.28
Abu Dhabi,UAE,Microsoft Azure,Microsoft Azure,24.466,54.366
Zurich,Switzerland,Microsoft Azure,Microsoft Azure,47.3786,8.54
Geneva,Switzerland,Microsoft Azure,Microsoft Azure,46.206,6.1453
Seoul,South Korea,Microsoft Azure,Microsoft Azure,37.568,126.977
Busan,South Korea,Microsoft Azure,Microsoft Azure,35.1025,129.0349
Johannesburg,South Africa,Microsoft Azure,Microsoft Azure,-26.1633,28.0328
Cape Town,South Africa,Microsoft Azure,Microsoft Azure,-33.9351,18.4289
Singapore,Singapore,Microsoft Azure,Microsoft Azure,1.289,103.85
Stavanger,Norway,Microsoft Azure,Microsoft Azure,58.97,5.733
Oslo,Norway,Microsoft Azure,Microsoft Azure,59.912,10.746
Netherlands,Netherlands,Microsoft Azure,Microsoft Azure,52.1326,5.2913
"Tokyo, Saitama",Japan,Microsoft Azure,Microsoft Azure,35.68,139.77
Osaka,Japan,Microsoft Azure,Microsoft Azure,34.693,135.502
Ireland,Ireland,Microsoft Azure,Microsoft Azure,,
Pune,India,Microsoft Azure,Microsoft Azure,18.5236,73.8478
Mumbai,India,Microsoft Azure,Microsoft Azure,18.9667,72.8333
Chennai,India,Microsoft Azure,Microsoft Azure,13.09,80.27
Hong Kong,Hong Kong,Microsoft Azure,Microsoft Azure,22.285,114.157
Magdeburg,Germany,Microsoft Azure,Microsoft Azure,52.1333,11.6167
Frankfurt,Germany,Microsoft Azure,Microsoft Azure,50.110924,8.682127
Berlin,Germany,Microsoft Azure,Microsoft Azure,52.5167,13.3833
Paris,France,Microsoft Azure,Microsoft Azure,48.8566,2.3518
Marseille,France,Microsoft Azure,Microsoft Azure,43.2967,5.3764
Shanghai,China,Microsoft Azure,Microsoft Azure,31.1667,121.4667
Beijing,China,Microsoft Azure,Microsoft Azure,39.905,116.3914
Toronto,Canada,Microsoft Azure,Microsoft Azure,43.6529,-79.3849
Quebec City,Canada,Microsoft Azure,Microsoft Azure,46.8257,-71.2349
Sao Paulo,Brazil,Microsoft Azure,Microsoft Azure,23.5505,-46.6333
Victoria,Australia,Microsoft Azure,Microsoft Azure,,
New South Wales,Australia,Microsoft Azure,Microsoft Azure,,
Canberra,Australia,Microsoft Azure,Microsoft Azure,-35.2819,149.1289
,,Microsoft Azure,Microsoft Azure,,
"Washington, D.C.",United States,IBM Cloud,IBM Cloud,38.895,-77.0366
Washington DC,United States,IBM Cloud,IBM Cloud,38.895,-77.0366
San Jose,United States,IBM Cloud,IBM Cloud,,
Houston,United States,IBM Cloud,IBM Cloud,,
Dallas,United States,IBM Cloud,IBM Cloud,,
London,United Kingdom,IBM Cloud,IBM Cloud,51.5073,-0.1276
Amsterdam,The Netherlands,IBM Cloud,IBM Cloud,52.378,4.9
Singapore,Singapore,IBM Cloud,IBM Cloud,1.289,103.85
Oslo,Norway,IBM Cloud,IBM Cloud,59.912,10.746
Mexico City,Mexico,IBM Cloud,IBM Cloud,19.4194,-99.1456
Seoul,Korea,IBM Cloud,IBM Cloud,37.568,126.977
Tokyo,Japan,IBM Cloud,IBM Cloud,35.68,139.77
Milan,Italy,IBM Cloud,IBM Cloud,45.4642,9.1903
Chennai,India,IBM Cloud,IBM Cloud,13.09,80.27
Frankfurt,Germany,IBM Cloud,IBM Cloud,50.110924,8.682127
Paris,France,IBM Cloud,IBM Cloud,48.8566,2.3518
Hong Kong,China,IBM Cloud,IBM Cloud,,
Toronto,Canada,IBM Cloud,IBM Cloud,43.6529,-79.3849
Montreal,Canada,IBM Cloud,IBM Cloud,45.5017,-73.5673
São Paulo,Brazil,IBM Cloud,IBM Cloud,-23.5507,-46.6334
Sydney,Australia,IBM Cloud,IBM Cloud,-33.868,151.21
Melbourne,Australia,IBM Cloud,IBM Cloud,-37.8142,144.9632
South Carolina,US,Google Cloud,Google Cloud,33.8361,-81.1637
Sao Paulo,US,Google Cloud,Google Cloud,23.5505,-46.6333
Salt Lake City,US,Google Cloud,Google Cloud,40.767,-111.8904
