ID,Project/Plant Name,Status,Rated Power (kW),Discharge Duration at Rated Power (hrs),Storage Capacity (kWh),Applications.Bulk Energy Services (General Energy Applications).0,Applications.Bulk Energy Services (General Energy Applications).1,Applications.Bulk Energy Services (General Energy Applications).2,Applications.Ancillary Services.0,Applications.Ancillary Services.1,Applications.Ancillary Services.2,Applications.Ancillary Services.3,Applications.Ancillary Services.4,Applications.Ancillary Services.5,Applications.Transmission Infrastructure Services.0,Applications.Transmission Infrastructure Services.1,Applications.Distribution Infrastructure Services.0,Applications.Customer Energy Management Services (End-User Services).0,Applications.Customer Energy Management Services (End-User Services).1,Applications.Customer Energy Management Services (End-User Services).2,Applications.Customer Energy Management Services (End-User Services).3,Applications.Others.0,Paired Grid Resources,Description/Notes,URL,Country,City,County,State/Province,Street Address,Postal Code,Latitude,Longitude,Announced Date,Commissioned Date,Constructed Date,Decommissioned Date,Latest Update Date,Project Data Validated?,Grid Interconnection Level,Interconnection Type,ISO/RTO,System Operator,Utility Type,Utility ID,Number of Subsystems,Energy Storage Technology Provider,Power Electronics Provider,Installer,Developer,O&M Contractor,EPC 1,EPC 2,EPC 3,Ownership Model,Ownership Model (Other),Owner(s),Captial Expenditure - CAPEX (USD),Annual Operational Cost - OPEX (USD),Annual Maintenance or Warranty Cost (USD),Projected Payback Period (years),Debt Provider,Funding Source 1,Funding Source Amount 1 (USD),Funding Source 2,Funding Source Amount 2 (USD),Funding Source 3,Funding Source Amount 3 (USD),Contact Information: Name,Contact Information: Email Address,Contact Information: Phone Number,Subsystems.0.Subsystem Name,Subsystems.0.ID,Subsystems.0.Storage Device.Technology Broad Category,Subsystems.0.Storage Device.Technology Mid-Type,Subsystems.0.Storage Device.Technology Sub-Type,Subsystems.0.Storage Device.Storage Capacity (kWh),Subsystems.0.Storage Device.Round-trip Efficiency (%),Subsystems.0.Storage Device.Depth of Discharge (%),Subsystems.0.Storage Device.Warranty Lifetime (cycles),Subsystems.0.Storage Device.Warranty Lifetime (years),Subsystems.0.Storage Device.Storage Operating Temperature (deg C),Subsystems.0.Storage Device.Specific Energy (kWh/ton-metric),Subsystems.0.Storage Device.Energy Density (kWh/m^3),Subsystems.0.Storage Device.Footprint (m^2/MWh),Subsystems.0.Storage Device.Number of Cells,Subsystems.0.Power Conversion System.Rated Power (kW),Subsystems.0.Power Conversion System.Maximum Charge Power (kW),Subsystems.0.Power Conversion System.Maximum Discharge Power (kW),Subsystems.0.Power Conversion System.Overload Capability (%),Subsystems.0.Power Conversion System.Time Allowed for Overload (s),Subsystems.0.Power Conversion System.Ramping Rate (kW/min),Subsystems.0.Power Conversion System.Response Time (s),Subsystems.0.Power Conversion System.Nominal DC Voltage (kV),Subsystems.0.Power Conversion System.Nominal AC Voltage (kV),Subsystems.0.Power Conversion System.Nominal Frequency (Hz),Subsystems.0.Power Conversion System.Operating Frequency Range (Hz) Low,Subsystems.0.Power Conversion System.Operating Frequency Range (Hz) High,Subsystems.0.Power Conversion System.Number of Phases,Subsystems.0.Power Conversion System.Topology,Subsystems.0.Power Conversion System.Full Load Efficiency (%),Subsystems.0.Power Conversion System.Efficiency Degradation,Subsystems.0.Power Conversion System.Standby Energy Consumption (kWh),Subsystems.0.Power Conversion System.Lagging Power Factor Range,Subsystems.0.Power Conversion System.Leading Power Factor Range,Subsystems.0.Power Conversion System.Maximum Total Current Harmonic Distortion (%),Subsystems.0.Power Conversion System.Frequency Ride Through (FRT),Subsystems.0.Power Conversion System.Low Voltage Ride Through (LVRT),Subsystems.0.Power Conversion System.High Voltage Ride Through (HVRT),Subsystems.0.Power Conversion System.Warranty Lifetime (years),Subsystems.0.Balance of System.Transformer Rating,Subsystems.0.Balance of System.Transformer Configuration,Subsystems.0.Balance of System.Enclosure Operating Temperature (deg C),Subsystems.0.Balance of System.Operating Temperature (deg C),Subsystems.0.Balance of System.Communications,Subsystems.0.Balance of System.Enclosures,Subsystems.0.Balance of System.Controller Type
1,Ponale (Riva del Garda Ledro) Hydroelectric Power Station,Operational,80000,0,0,Electric Energy Time Shift (Arbitrage),,,,,,,,,,,,,,,,Electric Supply Capacity,null,"Ponale Hydroelectric Power Plant is a pumped storage plant, located in city of Riva del Garda in the Italian province of Trentino, on River Ponale between Lake Ledro and Lake Garda. The station was built in 1928-1929 and underwent overhaul in 1998. The station is known by the world record in high-rise concrete pumping during the reconstruction in 1994. The achieved record was 532m.",http://www.enel.com,Italy,Riva del Garda,null,Trentino,null,null,45.8885171,10.84,null,11-04-1905,null,null,null,NO,Transmission,null,,null,Investor Owned,null,1,null,null,null,null,null,null,null,null,Utility-Owned,null,Enel,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,1.1,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,null,null,null,null,null,null,null,null,null,null,80000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2,Urdiceto Hydroelectric Power Station,Operational,7200,0,0,Electric Energy Time Shift (Arbitrage),,,,,,,,,,,,,,,,Electric Supply Capacity,null,"Spain is facing many challenges trying to integrate a large amount of renewable energy (wind and solar) into real-time dispatch of its power generation to meet electricity demand. To meet sustainable criteria for grid stability and reliability, the major utilities in Spain are looking into alternative storage projects, and especially pumped storage projects. Spain has one of the most dynamic markets for pumped storage in southern Europe with a total installed capacity of 5, 350 MW in operation against a total estimated potential of 13,000 MW. Spain is slated to construct additional projects in the coming decades. One government report on renewable energy plans for 2011-2020 estimates a target installed capacity of about 6,300 MW by 2015 and 8,800 MW by 2020. Iberdrola, Gas Natural Fenosa (GNF), and Endesa are the three main utilities that are expected to undertake these developments to fulfill the government objective.",http://www.iberdrola.es/webibd/gc/prod/en/doc/INFORMEANUAL.pdf,Spain,Bielsa,null,Aragon,null,null,42.6334211,0.22,null,01-01-1929,null,null,null,NO,Transmission,null,,null,null,null,1,null,null,null,null,null,null,null,null,Third-Party-Owned,null,Iberdrola,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,2.1,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,null,null,null,null,null,null,null,null,null,null,7200,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
3,Rocky River Pumped Storage Plant,Operational,29000,0,0,Electric Energy Time Shift (Arbitrage),,,,,,,,,,,,,,,,Electric Supply Capacity,null,"The Connecticut Light &amp; Power Company pioneered the use of pumped storage in the United States at this hydroelectric station. First operated in 1929, the Rocky River Plant had two reversible pumps that somewhat resemble large hydroelectric turbines. This permitted significant improvements in the system efficiency of the company's network of hydroelectric and thermal-electric power generating plants.  With Candlewood Lake and the Housatonic River differing in elevation by 200 feet, the Rocky River plant uses a single penstock, 1,000 feet long, to carry water downhill and lift it uphill. The Rocky River plant's pair of 8,100-horsepower pumps together are capable of lifting a million gallons every four minutes. At the time of their installation, they were largest of their kind in the world.   The Rocky River plant pumps water when the Housatonic River runs high. When the river runs low, water released from the lake to create electricity also raises the river level, helping generate additional power at two downriver plants. For every kilowatt-hour used to pump water, the three plants together can generate 1.3 kilowatt-hours.",http://www.asce.org/project/rocky-river-pumped-storage-hydraulic-plant/,United States,New Milford,null,Connecticut,200 Kent Road,6776,41.58258,-73.43,null,01-01-1929,null,null,null,NO,Transmission,null,ISO-NE,null,null,null,1,null,null,null,Connecticut Light & Power Co.,null,null,null,null,Third-Party-Owned,null,FirstLight Power Resources,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,3.1,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,null,null,null,null,null,null,null,null,null,null,29000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
4,Etzelwerk Pumped Hydro Storage Power Station,Operational,135000,0,0,Electric Energy Time Shift (Arbitrage),,,,,,,,,,,,Resilience (Back-up Power),,,,Electric Supply Capacity,null,"The dam has a triangular cross section and a volume of 28 000 cubic meters.??On the right side of the wall, the tunnel is running with a valve chamber, and from there to a 2900 meter long pressure tunnel to the water castle.??The headrace tunnel is divided after the surge pressure in two lines, each 2,200 meters length.??Due to this, the engine water reaches the turbines in the old village center.",http://www.sbb.ch/sbb-konzern/sbb-als-geschaeftspartnerin/angebote-fuer-evus/energie/erzeugung/wasserkraftwerke/etzelwerk.html,Switzerland,Sihlsee,null,Einsiedeln,null,null,47.1369626,8.78,null,01-01-1937,01-01-1932,null,null,NO,null,null,,null,null,null,1,null,null,null,null,null,null,null,null,Customer-Owned,null,SBB CFF FFS,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,4.1,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,null,null,null,null,null,null,null,null,null,null,135000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
5,Skhodnenskaya Hydro Plant,Operational,30000,0,0,Electric Energy Time Shift (Arbitrage),,,,,,,,,,,,,,,,Electric Supply Capacity,null,"<p>Skhodnenskaya SHPP is a hydropower plant that is a part of the Moscow canal in the north-west of Moscow, one of the electric power plants on the canal.??The power plant was built in 1939 according to the diversion scheme, using the elevation difference between the Khimki Reservoir and the Shodnya River.??Pressure structures of the hydropower plant form the Khimki Reservoir with the area of 4 sq.km.??</p><p>The main source of water for the pressure reservoir are five pump stations of the canal with the aggregate capacity of 101 MW and the consumption of 350 mln kW???h of electric power per year with the average daily consumption of about 72 sq. m./s. The power plant along with the pump stations is actually a pump storage complex ?€? the emergency and peak backup power in the Moscow electric power system.</p>",http://www.russiagogreen.ru/en/res/detail.php?ID=1648,Russia,Skhodnenskaya,null,Moscow,null,null,55.850657,37.44,null,01-01-1937,null,null,null,NO,Transmission,null,,null,Investor Owned,null,1,null,null,null,null,null,null,null,null,Utility-Owned,null,Unknown,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,5.1,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,null,null,null,null,null,null,null,null,null,null,30000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
6,??t??chovice Pumped Hydro Station,Operational,45000,4.88,219600,Electric Energy Time Shift (Arbitrage),,,,,,,,,,,,,,,,Electric Supply Capacity,null,"The ??t??chovice Hydro Power Station was built between 1938 and 1947. The concrete dam with granite revetment is 22.5 m high and 120 m long. This waterworks includes a lock chamber, which overcomes the difference of 19.10 m between the lower and upper water levels and is unique in Europe, and also the reservoir of the pumped-storage power station Homole with a total capacity of 0.5 million m3, and two steel penstock shafts of 1.7 to 2 m diameter and length 590 m. The medium-head part of the power station with 2 Kaplan turbines with total installed capacity of 22.5 MW (2x11.25 MW) was commissioned in 1944. The pumped-storage power station was initially built between 1941 and 1947. After many years of intensive exploitation, it was shut down in 1991 and reconstructed between 1991 and 1996. Instead of two sets arranged in three stages of total capacity of 42 MW it is now equipped with a single set of a reversing Francis turbine and a motor generator, which give a total capacity of 220 MWh. The set is installed in an underground generator room built in a pit which is approximately 45 m high. The power station includes also two outdoor switching stations, 110 kV and 22 kV. Both parts of the power station are fully automatic and are controlled remotely from the Control Room of the Vltava Cascade.   The ??t??chovice water reservoir was built between 1938 and 1944. The concrete dam with a granite revetment is 22.5 m high and 120 m long, with five spillways with crest gates. These spillways with the capacity of 2,400 m3/s are able to handle floods as catastrophic as the one in 1890.  The medium-head power station is equipped as a classic run-off-river hydroelectric power station, with two sets of Kaplan turbines. It further includes an outdoor 110 kV switching station, and outgoing and distribution transformers.",http://www.cez.cz/en/contacts/information-centers/stechovice-information-centers.html,Czech Republic,??t??chovice,null,Central Bohemia,null,null,49.846401,14.42,null,01-01-1944,null,null,null,NO,null,null,,null,Investor Owned,null,1,null,null,null,null,null,null,null,null,Utility-Owned,null,??EZ Group,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,6.1,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,null,null,null,null,null,null,null,null,null,null,45000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7,Provvidenza Hydro Power Plant,Operational,156000,0,0,Electric Energy Time Shift (Arbitrage),,,,,,,,,,,,,,,,Electric Supply Capacity,null,"<p>Providence is the first system of hydroelectric power stations built along the Vomano Valley , located upstream of the hydroelectric St. James.??It is a central cave that receives its water from the overlying Campotosto with a gallery of adduction of 1,102 m and a penstock of 240 m, the water is then returned to Lake Providence with a gallery of 683 m.??It is equipped with two groups turbine / alternator Francis horizontal axis and a vertical axis. The machines also allow the reverse pumping water from Lake Providence to the Campotosto with a flow rate maximum total of 32.5 m?? / s to form the reserves to be used in the period of increased consumption of electricity .</p>",http://it.wikipedia.org/wiki/Centrale_idroelettrica_di_Provvidenza,Italy,Campotosto,null,Abruzzi,null,null,42.5575092,13.37,null,01-01-1949,null,null,null,NO,Transmission,null,,null,Investor Owned,null,1,null,null,null,null,null,null,null,null,Utility-Owned,null,Enel,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,7.1,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,null,null,null,null,null,null,null,null,null,null,156000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8,Alrance Pumped Storage Power Station,Operational,11000,0,0,Electric Energy Time Shift (Arbitrage),,,,,,,,,,,,,,,,Electric Supply Capacity,null,"Alrance is a pumped storage hydroelectric power station in the commune of Alrance, Aveyron, southern France. It lies at the head of the Lac de Villefranche-de-Panat and draws water through 10.8 km long penstocks from the Lac de Pareloup.",http://www.hydrelect.info/articles.php?lng=fr&amp;pg=1163,France,Villefranche-de-Panat,null,Aveyron,Lac de Villefranche-de-Panat,12430,44.1035517,2.69,null,01-01-1951,null,null,null,NO,Transmission,null,,null,Investor Owned,null,1,null,null,null,??lectricit?? de France (EDF),null,null,null,null,Utility-Owned,null,??lectricit?? de France (EDF),null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,8.1,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,null,null,null,null,null,null,null,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
9,Bhira Pumped Storage Hydro Plant,Operational,150000,0,0,Electric Energy Time Shift (Arbitrage),,,,,,,,,,,,,,,,Electric Supply Capacity,null,"Bhira, located about 150 km from Mumbai, was the third hydropower plant installed by The Tata Power Company Ltd. (TPCL) in 1927. Bhira power station with a 6 x 25 MW generating units (double overhang Pelton turbines), along with other hydro and thermal power stations forms a vital link in sustaining the industrial activity of Mumbai-Pune region of Maharashtra state. Realizing the crucial importance of peaking assistance to the grid, Tata Power had installed a pumped storage unit as an extension to the existing Bhira hydro power station. The Bhira pumped storage unit is the single largest such unit in India and is perhaps the only pumped storage unit operating in both pumping and generation mode in India at the time of its commissioning.",http://www.tatapower.com/whatsnew/silver-shield.aspx,India,Bhira,null,Maharashtra,null,null,18.4548333,73.39,null,01-01-1951,null,null,null,NO,Transmission,null,,null,null,null,1,null,null,null,TaTa Powers,null,null,null,null,Third-Party-Owned,null,TaTa Powers,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,9.1,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,null,null,null,null,null,null,null,null,null,null,150000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
10,Waldshut Pumped Storage Power Plant,Operational,150000,2.5,375000,Electric Energy Time Shift (Arbitrage),,,,,,,,,,,,,,,,Electric Supply Capacity,null,"The Waldshut power plant is the youngest child of the Schluchsee Group, which also includes the Witznau and H??usern pumped storage power plants. Waldshut is the lower level of the three-chain scheme and uses the Rhine as its lower basin.",http://www.schluchseewerk.de/de/standorte/schluchseegruppe/kraftwerk-waldshut.html,Germany,Waldshut-Tiengen,null,Baden-W??rttemberg,Kraftwerkstra??e 13,79761,47.6184,8.19,null,01-01-1951,null,null,null,NO,Transmission,null,,null,null,null,1,"Voith, Escher-Wyss",null,null,Schluchseewerk AG,Schluchseewerk AG,null,null,null,Third-Party-Owned,null,"RWE, EnBW",null,null,null,null,null,null,null,null,null,null,null,null,null,null,Subsystem 1,10.1,Electro-mechanical energy storage,Pumped hydro storage,Open-loop PHS,null,null,null,null,null,null,null,null,null,null,150000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
