Operational Status,Station Name,Commisioning Year,Country,Hydro Type,Latitude,Longitude,Energy stored (GWh),Generating Capacity,Max head (m),Pumping Capacity
Under Construction,Zhirui (内蒙古芝瑞),2026,China,Closed-loop,42.888422,117.599835,0,1200,886,1200
Under Construction,Zhen'an (镇安),2023,China,Closed-loop,33.413752,109.141006,0,1400,910,1400
Under Construction,Zhejiang Changlongshan (浙江长龙山),2024,China,Closed-loop,30.47444,119.6347,0,2100,1420,2100
Under Construction,Yunxiao (云霄),2025,China,Closed-loop,24.009097,117.389677,0,1800,0,1800
Under Construction,Yixian (易县),2026,China,Closed-loop,39.333564,115.196965,0,1200,708,1200
Under Construction,Xinjiang Hami Tianshan (新疆哈密天山),2025,China,Closed-loop,43.15938,93.93022,0,1200,1000,1200
Under Construction,Xiamen (福建厦门),2024,China,Closed-loop,24.85929,118.168732,0,1400,545,
Under Construction,Wuyue (五岳),2025,China,Closed-loop,32.017443,114.955983,0,1000,0,1000
Under Construction,Wendeng (文登),2024,China,Closed-loop,37.214444,121.790278,0,1800,942,1800
Under Construction,Weifang linqu (潍坊临朐),2026,China,Closed-loop,36.37063,118.3092,0,1200,0,1200
Under Construction,Upper Cisokan,2025,Indonesia,Closed-loop,-6.947777778,107.2186111,0,1040,592,1100
Under Construction,Tiantai Jiulong (天台九龙),2025,China,Closed-loop,29.142796,120.953365,0,1700,0,1700
Under Construction,Tianchi (河南天池),2023,China,Closed-loop,33.560552,112.256189,0,1200,1020,1200
Under Construction,Tehri Pumped Storage,2023,India,Closed-loop,30.37777778,78.48055556,0,1000,376,1000
Under Construction,Tauernmoos,2025,Austria,Open-loop,47.143298,12.632261,0,130,440,130
Under Construction,Tanahu,2021,Nepal,Storage,27.855416,84.397207,0,140,0,
Under Construction,Shanxi Yuanqu (山西垣曲),2028,China,Closed-loop,35.09256,111.7818,0,1200,850,1200
Under Construction,Shangzhi (尚志),,China,Closed-loop,45.022333,128.124017,0,1200,0,1200
Under Construction,Salto de Chira pumped storage,2026,Spain,Open-loop,,,0,200,0,
Under Construction,Qujiang (衢江),2025,China,Closed-loop,28.829364,118.905685,0,1200,0,1200
Under Construction,Pingjiang (湖南平江(福寿山)),2025,China,Closed-loop,28.652583,113.892105,0,1400,1274,1400
Under Construction,Panlong (重庆蟠龙),2024,China,Closed-loop,28.968105,106.677296,0,1200,856,1200
Under Construction,Ninghai (浙江宁海),2026,China,Closed-loop,29.314439,121.505,0,1400,940,1400
Under Construction,Nethe/Hoexter,2022,Germany,Closed-loop,51.756472,9.378167,0,390,0,
Under Construction,Molln,2025,Austria,Open-loop,47.89325,14.256595,4.8,300,1300,300
Under Construction,Malczyce,2019,Poland,Open-loop,51.231431,16.468727,0,11.4,5.8,
Under Construction,Luoning Dayugo (洛宁大鱼沟),2026,China,Closed-loop,34.405505,111.490815,0,1400,1208,1400
Under Construction,Liaoning Qingyuan (辽宁清原),2024,China,Closed-loop,42.13213,124.6823,0,1800,942,1800
Under Construction,Lac Noir new PSP,,France,Closed-loop,48.1125,7.097222222,1.8,55,0,55
Under Construction,Kundah pumped storage,2023,India,Closed-loop,,,0,125,0,125
Under Construction,Kokhav Hayarden,2022,Israel,Closed-loop,32.596656,35.497427,0,344,900,344
Under Construction,Kidston,2024,Australia,Closed-loop,-18.872188,144.155274,2,,0,250
Under Construction,Jurong (江苏句容),2023,China,Closed-loop,32.076509,119.226411,0,1350,0,1800
Under Construction,Jinzhai (安徽金寨),2022,China,Closed-loop,31.413611,116.032222,0,1200,644,1200
Under Construction,Jinyun (浙江缙云),2026,China,Closed-loop,28.828072,120.305834,0,1800,1178,1800
Under Construction,Jiaohe (蛟河),2025,China,Closed-loop,43.417365,127.41442,0,1200,0,1200
Under Construction,Ipel PSPP,2030,Slovakia,Closed-loop,48.508361,19.675278,13.2,600,405,
Under Construction,Ilisu,2017,Turkey,Storage,,,0,1200,0,
Under Construction,Ifahsa STEP,2025,Morocco,Closed-loop,35.244288,-5.293351,0,300,1507,300
Under Construction,Huoshan Fomo (霍山佛磨),2025,China,Closed-loop,31.346452,116.273202,0,1200,100,1200
Under Construction,Grimsel 3,2030,Switzerland,Closed-loop,46.572316,8.329938,0,660,0,660
Under Construction,Fuzhou Yongtai Baiyun (福州永泰白云),2023,China,Closed-loop,26.032209,118.920919,0,1200,0,1200
Under Construction,Funing (抚宁),2027,China,Closed-loop,40.055735,119.285236,0,1200,0,1200
Under Construction,Fu kang (新疆阜康),2024,China,Closed-loop,43.99038,88.47012,0,1200,0,1200
Under Construction,Fomo (佛磨),2014,China,Closed-loop,,,0,160,0,
Under Construction,Fengning (丰宁) Phase 2,2025,China,Closed-loop,41.67777778,116.4963889,0,1800,2000,1800
Under Construction,ELLRICH,2021,Germany,Closed-loop,51.591361,10.7333,0,640,0,
Under Construction,Abdelmoumen STEP,2022,Morocco,Closed-loop,30.675233,-9.1995104,0,350,1080,350
Planned,Zhuanghe (庄河),2024,China,Closed-loop,39.890339,123.125946,0,1000,448,1000
Planned,Zhejiang Tonglu (浙江桐庐),2025,China,Closed-loop,29.8012,119.6793,0,1200,0,1200
Planned,Zhangye Pandao Mountain (张掖盘道山),2025,China,Closed-loop,39.12327,99.62285,0,1200,1142,1200
Planned,Zaragoza-La Muela,2023,Spain,Open-loop,,,0.57,95,240,
Planned,Yumen Changma (甘肃玉门昌马),2020,China,Closed-loop,39.82223,96.85142,0,1200,806,1200
Planned,Xingcheng (兴城),2024,China,Closed-loop,40.625714,120.197418,0,1200,0,1200
Planned,Wuhai (乌海),,China,Closed-loop,39.703006,106.890352,0,1200,0,1200
Planned,Wuchang (五常),,China,Closed-loop,44.630385,127.759464,0,1200,0,1200
Planned,Wrightstown,,United States,Open-loop,,,0,87.241,0,87.241
Planned,Winter Ridge,,United States,Closed-loop,,,0,500,0,500
Planned,Winnfield Rock Quarry,,United States,Open-loop,,,0,61,0,61
Planned,Whale Rock,,United States,Open-loop,,,0,600,0,600
Planned,West Kauai Energy Project (Puu Opae),2023,United States,Closed-loop,22.087972,-159.678644,0,25,914,25
Planned,Wawa,2022,Philippines,Closed-loop,14.650723,121.243192,0,500,0,500
Planned,Warasgaon,2025,India,Closed-loop,18.40085,73.11798,0,1200,0,1200
Planned,Walker Lake,,United States,Closed-loop,,,0,2000,0,
Planned,Wadi Baysh Dam,2025,Saudi Arabia,Closed-loop,17.6659,42.65552,0,1000,660,1000
Planned,Vrdovo,2023,Croatia,Closed-loop,43.830889,16.612458,0,540,1200,490
Planned,Versetz,2034,Austria,Closed-loop,46.961,10.73825,64,400,600,
Planned,Upper Kolab PHS,2022,India,Closed-loop,,,0,320,0,
Planned,Unaweep,,United States,Closed-loop,,,0,800,0,800
Planned,ULU JELAI,,Malaysia,Closed-loop,4.1842,102.0468,0,822,0,
Planned,Twitchell,,,Open-loop,,,0,600,0,600
Planned,Turga,2027,India,Closed-loop,23.2,86.06666667,0,1000,0,1000
Planned,Tongcheng (桐城),2024,China,Closed-loop,31.038858,116.777433,0,1200,0,1200
Planned,Tomlin Pumped Storage Plant No. 2,,United States,Open-loop,,,0,1200,0,1200
Planned,Tehachapi,,United States,Closed-loop,,,0,1000,0,1000
Planned,Tarnita-Lapustesti,2029,Romania,Closed-loop,46.71388889,23.26861111,0,1000,1129,1000
Planned,Tai'an II (泰安二期),2024,China,Closed-loop,35.9912634,117.3285892,0,1800,948.8,1800
Planned,Sweetwater,2031,United States,Closed-loop,,,0,600,0,600
Planned,Swan Lake North,2022,United States,Closed-loop,42.223333,-121.7775,0,393,1048,393
Planned,Stony Creek,,United States,Closed-loop,,,0,91,0,91
Planned,Southeast Oklahoma,,United States,Open-loop,,,0,1200,0,1200
Planned,South Fork,,United States,Closed-loop,,,0,500,0,500
Planned,Snowy 2.0,2024,Australia,Open-loop,-36.119987,148.600456,0,2000,1330,2000
Planned,Snoosh Mountain,2026,United States,Closed-loop,,,0,67,0,67
Planned,Široka Draga,,Bosnia and Herzegovina,Closed-loop,43.662011,16.919323,0,1120,0,1120
Planned,SINAFDAR,,India,Closed-loop,24.909511243,83.542238371,0,345,0,
Planned,Silver Creek,,United States,Closed-loop,40.7564536,-76.1283713,0,250,280,250
Planned,Shitai (石台),2025,China,Closed-loop,30.551299,117.50847,0,1200,0,1200
Planned,Shawno County,,United States,Closed-loop,,,0,333,0,333
Planned,Shanxi Hunyuan (浑源),2028,China,Closed-loop,39.51347,113.652201,0,375,0,375
Planned,Shang Yi (尚义),2026,China,Closed-loop,40.76654,114.3265,0,1400,530,1400
Planned,Shaffer Mountain,,United States,Closed-loop,,,0,143,0,143
Planned,Santa Margarita,,United States,Open-loop,,,0,600,0,600
Planned,SAN ROQUE LOWER EAST,2026,Philippines,Closed-loop,16.146613894,120.681650579,0,400,0,
Planned,San Francisco River,2031,United States,Open-loop,,,0,1250,0,1250
Planned,Salt Trail Canyon,,United States,Closed-loop,,,0,1500,0,1500
Planned,Saddle Mountains,,United States,Closed-loop,,,0,500,0,500
Planned,Sacaton,2026,United States,Open-loop,,,0,150,0,150
Planned,Ruby Hill,,United States,Closed-loop,,,0,200,0,200
Planned,Rocky Ridge,,United States,Closed-loop,,,0,500,0,500
Planned,Rock Canyon,,United States,Closed-loop,,,0,500,0,500
Planned,RIVER MOUNTAIN,,United States,Closed-loop,,,0,600,0,
Planned,Riedl,2030,Germany,Open-loop,48.52722222,13.72361111,0,300,660,300
Planned,Richmondale,2027,United States,Closed-loop,41.577232,-75.551189,0,230,335.2,230
Planned,Red John,,United Kingdom,Closed-loop,57.404005,-4.328573,5.8,450,78,450
Planned,PSW HEIMBACH,2024,Germany,Closed-loop,,,0,320,0,
Planned,Prineville,2025,United States,Open-loop,44.0978126,-120.0963654,0,150,853.4,150
Planned,Pond Peak,,United States,Closed-loop,,,0,600,0,600
Planned,Pinnapuram,2023,India,Closed-loop,,,0,1200,0,
Planned,Pingdingshan Huayuan Gou (平顶山花园沟),2024,China,Closed-loop,33.68436,112.4037,0,1200,0,1200
Planned,Phantom Canyon,,United States,Closed-loop,,,0,500,0,500
Planned,PFAFFENBODEN,2022,Austria,Open-loop,47.880444,14.256806,18,300,630,
Planned,Parker Knoll,2031,United States,Closed-loop,38.25392,-112.189191,0,1000,1340,1000
Planned,Pan'an (磐安),2028,China,Closed-loop,29.002697,120.572201,0,1200,0,1200
