Postcode,Latitude (generated),Longitude (generated),No. Of Ports
12771,41.3743,-74.6265,2
12740,41.8933,-74.4673,4
12401,41.9383,-74.0514,8
11694,40.5772,-73.8459,4
11693,40.6112,-73.8146,1
11692,40.593,-73.7948,4
11691,40.6004,-73.7621,8
11474,,,2
11435,40.7012,-73.8096,2
11434,40.6768,-73.7754,3
11433,40.6982,-73.7869,9
11432,40.7154,-73.7929,8
11430,40.6479,-73.7874,2
11428,40.721,-73.742,2
11423,40.7147,-73.7675,4
11421,40.6964,-73.8556,2
11420,40.6739,-73.8181,1
11418,40.6982,-73.8329,1
11417,40.6764,-73.8452,4
11415,40.7084,-73.8291,8
11414,40.6579,-73.8444,2
11385,40.7017,-73.8895,5
11379,40.7169,-73.8796,2
11378,40.724,-73.9073,5
11377,40.7449,-73.9052,35
11373,40.7389,-73.8782,26
11371,40.7797,-73.876,7
11370,40.764,-73.8914,10
11369,40.7634,-73.8729,2
11368,40.7498,-73.8527,99
11366,40.7278,-73.7874,9
11361,40.7639,-73.7722,2
11359,40.7913,-73.7767,15
11356,40.785,-73.8413,2
11355,40.7519,-73.8218,15
11354,40.7687,-73.8276,14
11320,,,2
11249,40.7132,-73.9632,7
11237,40.7037,-73.9207,8
11236,40.6376,-73.8977,10
11235,40.5838,-73.9483,3
11234,40.6093,-73.9082,4
11232,40.6544,-73.9989,12
11231,40.6801,-74.0063,3
11224,40.5768,-73.9886,3
11223,40.597,-73.9733,2
11222,40.7284,-73.9474,21
11221,40.6911,-73.928,3
11220,40.641,-74.0165,2
11218,40.6433,-73.9763,4
11215,40.6658,-73.9797,23
11214,40.5987,-73.9964,4
11213,40.6716,-73.9358,3
11212,40.663,-73.9131,2
11209,40.6223,-74.0304,5
11208,40.6746,-73.872,5
11207,40.6721,-73.8943,4
11206,40.7019,-73.9425,2
11205,40.6958,-73.9673,3
11203,40.6498,-73.9342,2
11201,40.6951,-73.9896,33
11105,40.7791,-73.9064,6
11101,40.7458,-73.9379,55
10704,40.9193,-73.8622,4
10595,41.0885,-73.7813,5
10536,41.2693,-73.6897,4
10475,40.8762,-73.8258,8
10474,40.8107,-73.8848,34
10473,40.8197,-73.8551,4
10471,40.8999,-73.9013,2
10468,40.8677,-73.9002,7
10467,40.8786,-73.8722,9
10465,40.8251,-73.8243,2
10464,40.8646,-73.7978,1
10463,40.8815,-73.9055,2
10462,40.8432,-73.859,30
10461,40.849,-73.836,11
10460,40.8422,-73.8794,11
10459,40.8252,-73.893,2
10457,40.8462,-73.8987,7
10454,40.8054,-73.9165,4
10452,40.8379,-73.9232,3
10451,40.821,-73.9243,2
10314,40.6007,-74.1623,27
10312,40.5465,-74.1833,3
10310,40.6323,-74.1167,3
10309,40.5304,-74.2204,1
10308,40.5514,-74.1447,8
10307,40.5075,-74.2422,2
10306,40.5718,-74.1237,5
10305,40.5957,-74.0757,15
10304,40.6052,-74.0941,3
10301,40.6273,-74.0959,30
10128,40.7831,-73.9544,3
10040,40.8594,-73.9308,1
10038,40.7096,-74.0028,12
10037,40.8133,-73.937,5
10035,40.7957,-73.9296,64
10034,40.8678,-73.9224,4
10031,40.8254,-73.9496,7
10029,40.7921,-73.9453,4
10028,40.7781,-73.9586,2
10025,40.7973,-73.9663,2
10024,40.786,-73.9771,1
10019,40.7656,-73.9845,30
10016,40.7452,-73.9781,4
10014,40.7337,-74.0063,4
10013,40.7198,-74.0058,6
10007,40.7136,-74.0084,7
10002,40.7148,-73.9883,23
10001,40.7509,-73.9977,2
