City,Country,Data Center,Latitude (generated),Longitude (generated),Number of Records
Wyoming,United States,,43.076,-107.2903,
"Washington, D.C.",United States,,38.895,-77.0366,
Washington DC,United States,,38.895,-77.0366,
Virginia,United States,,37.4316,-78.6569,
Texas,United States,,31.9686,-99.9018,
South Carolina,United States,,33.8361,-81.1637,
San Jose,United States,,37.3382,-121.8863,
Salt Lake City,United States,,40.767,-111.8904,
Phoenix,United States,,33.4484,-112.074,
Oregon,United States,,43.8041,-120.5542,
Ohio,United States,,40.4173,-82.9071,
North Virginia,United States,,37.4316,-78.6569,
North Carolina,United States,,35.7596,-79.0193,
Montreal,United States,,45.5017,-73.5673,
Los Angeles,United States,,34.0544,-118.2439,
Las Vegas,United States,,36.1699,-115.1398,
IOWA,United States,,30.2369,-93.0138,
Illinois,United States,,40.6331,-89.3985,
Houston,United States,,29.7604,-95.3698,
Dallas,United States,,32.7767,-96.797,
California,United States,,36.7783,-119.4179,
Ashburn,United States,,39.0438,-77.4874,
London,United Kingdom,,51.5073,-0.1276,
Cardiff,United Kingdom,,51.4817,-3.1792,
London,UK,,51.5073,-0.1276,
Dubai,UAE,,25.252,55.28,
Abu Dhabi,UAE,,24.466,54.366,
Amsterdam,The Netherlands,,52.378,4.9,
Taiwan,Taiwan,,23.6978,120.9605,
Zurich,Switzerland,,47.3786,8.54,
Geneva,Switzerland,,46.206,6.1453,
Stockholm,Sweden,,59.3294,18.0686,
Seoul,South Korea,,37.5665,126.978,
Busan,South Korea,,35.1025,129.0349,
Johannesburg,South Africa,,-26.1633,28.0328,
Cape Town,South Africa,,-33.9351,18.4289,
Singapore,Singapore,,1.289,103.85,
Jeddah,Saudi Arabia,,21.5428,39.1728,
Stavanger,Norway,,58.97,5.733,
Oslo,Norway,,59.912,10.746,
Ireland,Northern Island,,53.1424,-7.6921,
Netherlands,Netherlands,,52.1326,5.2913,
Amsterdam,Netherlands,,52.378,4.9,
Mexico City,Mexico,,19.4194,-99.1456,
Seoul,Korea,,37.5665,126.978,
Tokyo,Japan,,35.68,139.77,
Osaka,Japan,,34.693,135.502,
Milan,Italy,,45.4642,9.1903,
Ireland,Ireland,,53.1424,-7.6921,
Pune,India,,18.5236,73.8478,
Mumbai,India,,18.9667,72.8333,
Hyderabad,India,,17.3667,78.4667,
Chennai,India,,13.09,80.27,
Hong Kong,Hong Kong,,22.3193,114.1694,
Magdeburg,Germany,,52.1333,11.6167,
Frankfurt,Germany,,50.1109,8.6821,
