Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-04-28 21:00","18287","29636","33233",
"2025-04-28 21:05","18220","29997","33233",
"2025-04-28 21:10","18260","30195","33233",
"2025-04-28 21:15","17976","30232","33284",
"2025-04-28 21:20","17985","30186","33284",
"2025-04-28 21:25","17943","30137","33284",
"2025-04-28 21:30","17889","30084","33138",
"2025-04-28 21:35","17926","30006","33138",
"2025-04-28 21:40","17941","29879","33138",
"2025-04-28 21:45","18010","29703","32570",
"2025-04-28 21:50","18181","29511","32570",
"2025-04-28 21:55","18330","29334","32570",
"2025-04-28 22:00","18419","29173","25133",
"2025-04-28 22:05","18600","28998","25133",
"2025-04-28 22:10","18673","28779","25133",
"2025-04-28 22:15","18792","28517","27746",
"2025-04-28 22:20","19024","28237","27746",
"2025-04-28 22:25","19095","27964","27746",
"2025-04-28 22:30","19096","27698","27603",
"2025-04-28 22:35","18882","27443","27603",
"2025-04-28 22:40","18737","27200","27603",
"2025-04-28 22:45","18750","26970","29127",
"2025-04-28 22:50","18633","26730","29127",
"2025-04-28 22:55","18688","26456","29127",
"2025-04-28 23:00","18776","26148","24186",
"2025-04-28 23:05","18696","25849","24186",
"2025-04-28 23:10","18725","25605","24186",
"2025-04-28 23:15","18922","25414","27221",
"2025-04-28 23:20","19038","25251","27221",
"2025-04-28 23:25","18987","25091","27221",
"2025-04-28 23:30","20909","24933","27216",
"2025-04-28 23:35","21224","24783","27216",
"2025-04-28 23:40","21275","24648","27216",
"2025-04-28 23:45","21266","24528","27209",
"2025-04-28 23:50","21190","24416","27209",
"2025-04-28 23:55","21360","24305","27209",
"2025-04-29 00:00","21199","24194","20865",
"2025-04-29 00:05","20694","24088","20865",
"2025-04-29 00:10","20655","23989","20865",
"2025-04-29 00:15","20300","23898","20860",
"2025-04-29 00:20","20332","23809","20860",
"2025-04-29 00:25","20298","23716","20860",
"2025-04-29 00:30","19998","23620","23516",
"2025-04-29 00:35","19892","23524","23516",
"2025-04-29 00:40","19613","23427","23516",
"2025-04-29 00:45","19586","23331","23516",
"2025-04-29 00:50","19714","23234","23516",
"2025-04-29 00:55","19433","23134","23516",
"2025-04-29 01:00","19559","23031","21833",
"2025-04-29 01:05","19657","22929","21833",
"2025-04-29 01:10","19711","22830","21833",
"2025-04-29 01:15","19675","22735","21833",
"2025-04-29 01:20","20057","22642","21833",
"2025-04-29 01:25","20103","22548","21833",
"2025-04-29 01:30","20057","22452","18387",
"2025-04-29 01:35","20085","22361","18387",
"2025-04-29 01:40","20193","22277","18387",
"2025-04-29 01:45","20258","22200","21806",
"2025-04-29 01:50","20229","22119","21806",
"2025-04-29 01:55","20251","22023","21806",
"2025-04-29 02:00","20287","21912","20423",
"2025-04-29 02:05","20422","21805","20423",
"2025-04-29 02:10","20220","21721","20423",
"2025-04-29 02:15","19697","21660","20423",
"2025-04-29 02:20","19617","21610","20423",
"2025-04-29 02:25","19412","21559","20423",
"2025-04-29 02:30","20211","21509","21336",
"2025-04-29 02:35","20035","21462","21336",
"2025-04-29 02:40","19865","21424","21336",
"2025-04-29 02:45","19733","21395","20307",
"2025-04-29 02:50","19898","21367","20307",
"2025-04-29 02:55","19987","21330","20307",
"2025-04-29 03:00","20030","21286","19615",
"2025-04-29 03:05","19892","21244","19615",
"2025-04-29 03:10","19858","21217","19615",
"2025-04-29 03:15","19858","21205","19615",
"2025-04-29 03:20","19856","21198","19615",
"2025-04-29 03:25","20082","21190","19615",
"2025-04-29 03:30","20091","21180","19490",
"2025-04-29 03:35","20330","21171","19490",
"2025-04-29 03:40","20319","21167","19490",
"2025-04-29 03:45","20359","21169","18969",
"2025-04-29 03:50","20419","21169","18969",
"2025-04-29 03:55","20356","21162","18969",
"2025-04-29 04:00","20243","21146","18480",
"2025-04-29 04:05","20272","21132","18480",
"2025-04-29 04:10","20365","21129","18480",
"2025-04-29 04:15","20307","21139","18564",
"2025-04-29 04:20","20092","21151","18564",
