SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW,VIKING_FLOW,GREENLINK_FLOW
14-DEC-2021,1,25818,27668,23793,1249,6527,0,13999,0,294,-361,-595,1060,323,67,949,693,0,0,0
14-DEC-2021,2,26112,28005,24179,1282,6527,0,13999,0,382,-340,-571,1062,292,220,950,693,0,0,0
14-DEC-2021,3,25664,27930,23823,1377,6527,0,13999,0,1313,-154,-199,1062,388,356,998,693,0,0,0
14-DEC-2021,4,25086,27465,23310,1504,6527,0,13999,0,1442,-148,-189,1062,402,330,999,693,0,0,0
14-DEC-2021,5,24419,27879,22742,1581,6527,0,13999,0,1488,-628,-744,1061,402,442,999,693,0,0,0
14-DEC-2021,6,24132,27782,22531,1667,6527,0,13999,0,1610,-654,-786,1062,402,393,999,693,0,0,0
14-DEC-2021,7,23592,27671,22051,1722,6527,0,13999,0,1608,-965,-906,990,394,438,741,693,0,0,0
14-DEC-2021,8,23071,27114,21617,1785,6527,0,13999,0,1549,-980,-914,987,315,316,728,693,0,0,0
14-DEC-2021,9,22853,26881,21417,1866,6527,0,13999,0,1519,-976,-933,900,393,269,290,693,0,0,0
14-DEC-2021,10,22794,26772,21440,1964,6527,0,13999,0,1467,-975,-936,896,372,239,268,693,0,0,0
14-DEC-2021,11,23639,27679,22256,2007,6527,0,13999,0,1213,-1024,-1020,805,402,375,-183,693,0,0,0
14-DEC-2021,12,24647,28832,23205,2066,6527,0,13999,0,1358,-1015,-1010,802,402,355,-202,693,0,0,0
14-DEC-2021,13,27412,30024,25781,2046,6527,0,13999,0,942,-246,-419,765,402,470,-405,693,0,0,0
14-DEC-2021,14,30079,32431,28249,2046,6527,0,13999,0,771,-194,-375,765,386,504,-412,693,0,0,0
14-DEC-2021,15,33444,35217,31341,2166,6527,0,13999,0,274,-279,-246,711,326,449,-374,693,0,0,0
14-DEC-2021,16,35490,36993,33262,2300,6527,0,13999,0,6,-283,-241,709,326,500,-373,693,0,0,0
14-DEC-2021,17,36794,38229,34372,2212,6527,1,13999,0,2,-265,-379,529,326,504,-189,693,0,0,0
14-DEC-2021,18,37198,38632,34755,2141,6527,70,13999,0,2,-264,-387,522,326,504,-181,693,0,0,0
14-DEC-2021,19,37487,38902,35030,2253,6527,251,13999,0,5,-465,-345,392,326,504,210,693,0,0,0
14-DEC-2021,20,37444,38873,34957,2364,6527,582,13999,0,6,-476,-347,387,326,472,226,693,0,0,0
14-DEC-2021,21,37431,38912,34950,2485,6527,930,13999,0,7,-361,-513,206,326,380,229,693,0,0,0
14-DEC-2021,22,37228,38708,34691,2583,6527,1084,13999,0,7,-355,-518,201,326,343,229,693,0,0,0
14-DEC-2021,23,37144,38323,34559,2669,6527,1269,13999,0,8,-278,-293,584,321,292,286,693,0,0,0
14-DEC-2021,24,37037,38200,34479,2765,6527,1268,13999,0,11,-274,-278,602,321,346,288,693,0,0,0
14-DEC-2021,25,37324,38510,34717,2761,6527,1200,13999,0,10,-298,-278,966,321,391,72,693,0,0,0
14-DEC-2021,26,37327,38528,34674,2778,6527,1143,13999,0,11,-299,-291,980,321,375,65,693,0,0,0
14-DEC-2021,27,37310,39303,34630,2827,6527,924,13999,0,10,-607,-776,957,321,409,357,693,0,0,0
14-DEC-2021,28,36877,38916,34262,2882,6527,871,13999,0,8,-620,-811,957,291,492,368,693,0,0,0
14-DEC-2021,29,36947,38983,34329,2838,6527,621,13999,0,9,-837,-590,918,321,504,85,693,0,0,0
14-DEC-2021,30,36940,38400,34381,2802,6527,215,13999,0,11,-845,-4,916,321,504,75,693,0,0,0
14-DEC-2021,31,37215,38330,34667,2751,6527,48,13999,0,11,-500,-4,854,346,504,45,693,0,0,0
14-DEC-2021,32,38410,39511,35793,2721,6527,1,13999,0,11,-486,-4,844,349,504,47,693,0,0,0
14-DEC-2021,33,40084,41061,37275,2774,6527,0,13999,0,11,-362,-4,238,350,504,515,693,0,0,0
14-DEC-2021,34,41357,42328,38418,2836,6527,0,13999,0,10,-357,-4,204,350,494,536,693,0,0,0
14-DEC-2021,35,41878,42831,38884,2785,6527,0,13999,0,13,-336,-4,289,333,374,662,693,0,0,0
14-DEC-2021,36,41748,42713,38748,2768,6527,0,13999,0,16,-335,-14,292,294,268,667,693,0,0,0
14-DEC-2021,37,41066,42554,38162,2751,6527,0,13999,0,16,-416,-456,310,349,368,911,693,0,0,0
14-DEC-2021,38,40112,41642,37243,2749,6527,0,13999,0,11,-419,-500,311,349,298,920,693,0,0,0
14-DEC-2021,39,38949,40332,36219,2790,6527,0,13999,0,10,-582,-191,261,349,309,910,693,0,0,0
14-DEC-2021,40,37742,39124,35148,2852,6527,0,13999,0,9,-590,-183,261,349,393,909,693,0,0,0
14-DEC-2021,41,36324,38607,33822,2852,6527,0,13999,0,7,-1002,-674,656,336,499,881,693,0,0,0
14-DEC-2021,42,34866,37203,32481,2861,6527,0,13999,0,10,-1020,-707,675,336,504,880,693,0,0,0
14-DEC-2021,43,33111,35435,30820,2701,6527,0,13999,0,6,-1019,-699,990,336,493,722,693,0,0,0
14-DEC-2021,44,31267,33602,29085,2544,6527,0,13999,0,9,-1019,-707,1004,336,407,717,693,0,0,0
14-DEC-2021,45,29333,31961,27255,2571,6527,0,13999,0,11,-1019,-998,1003,336,491,582,693,0,0,0
14-DEC-2021,46,27577,30223,25600,2616,6527,0,13999,0,11,-1019,-1016,1003,336,473,579,693,0,0,0
14-DEC-2021,47,25717,28291,23910,2642,6527,0,13999,0,17,-1000,-957,1050,375,476,975,693,0,0,0
14-DEC-2021,48,24400,27501,22679,2684,6527,0,14001,0,547,-999,-955,1052,387,389,991,693,0,0,0
15-DEC-2021,1,24182,27358,22474,2704,6527,0,14001,0,527,-1026,-1023,1051,387,479,999,693,0,0,0
15-DEC-2021,2,24578,27853,22908,2731,6527,0,14001,0,620,-1027,-1028,1051,387,504,999,693,0,0,0
15-DEC-2021,3,24179,27556,22569,2693,6527,0,14001,0,722,-1027,-1028,1051,387,503,916,693,0,0,0
15-DEC-2021,4,23435,27090,21913,2656,6527,0,14001,0,1000,-1027,-1028,1052,387,432,912,693,0,0,0
15-DEC-2021,5,22804,26621,21309,2640,6527,0,14001,0,1163,-1027,-1027,1052,387,466,970,693,0,0,0
15-DEC-2021,6,22427,26196,20904,2644,6527,0,14001,0,1114,-1027,-1028,1052,386,421,967,693,0,0,0
15-DEC-2021,7,22168,25978,20655,2699,6527,0,14001,0,1155,-1027,-1028,1051,372,440,444,693,0,0,0
15-DEC-2021,8,21804,25616,20288,2778,6527,0,14001,0,1157,-1027,-1028,1052,372,300,419,693,0,0,0
15-DEC-2021,9,21687,25317,20198,2702,6527,0,14001,0,975,-1027,-1028,912,372,292,73,693,0,0,0
15-DEC-2021,10,21938,25635,20494,2655,6527,0,14001,0,1042,-1027,-1028,906,372,349,60,693,0,0,0
15-DEC-2021,11,22494,26213,21077,2626,6527,0,14001,0,997,-1027,-1027,685,372,481,-68,693,0,0,0
15-DEC-2021,12,23728,27061,22176,2623,6527,0,14001,0,605,-1027,-1028,676,372,504,-73,693,0,0,0
15-DEC-2021,13,26515,29617,24751,2614,6527,0,14001,0,135,-1027,-1027,798,372,504,-313,693,0,0,0
15-DEC-2021,14,29292,32281,27281,2604,6527,0,14001,0,13,-1027,-1027,755,372,492,-322,693,0,0,0
15-DEC-2021,15,32405,35654,30075,2568,6527,0,14001,0,7,-1028,-1027,108,375,369,-587,693,0,0,0
15-DEC-2021,16,34077,37325,31555,2536,6527,0,14001,0,8,-1028,-1028,103,335,224,-584,693,0,0,0
15-DEC-2021,17,35574,38243,32875,2455,6527,0,14001,0,13,-1028,-1028,495,386,124,125,693,0,0,0
15-DEC-2021,18,35589,38258,32909,2384,6527,83,14001,0,14,-1028,-1027,545,387,129,164,693,0,0,0
15-DEC-2021,19,36346,39011,33624,2439,6527,407,14001,0,9,-1028,-1028,650,386,17,310,693,0,0,0
15-DEC-2021,20,36363,39029,33557,2517,6527,797,14001,0,9,-1029,-1028,654,304,0,315,693,0,0,0
15-DEC-2021,21,36065,38730,33197,2472,6527,1253,14001,0,8,-1029,-1028,418,234,0,162,693,0,0,0
15-DEC-2021,22,36063,38733,33235,2447,6527,1506,14001,0,13,-1029,-1028,408,169,0,157,693,0,0,0
15-DEC-2021,23,36099,38764,33336,2473,6527,1536,14001,0,9,-1028,-1028,391,214,63,118,693,0,0,0
15-DEC-2021,24,36253,38916,33329,2508,6527,1720,14001,0,9,-1028,-1026,390,359,147,117,693,0,0,0
15-DEC-2021,25,36501,38841,33491,2365,6527,1565,14001,0,9,-765,-966,172,402,253,390,693,0,0,0
15-DEC-2021,26,36439,38766,33342,2233,6527,1236,14001,0,9,-755,-963,163,402,156,401,693,0,0,0
15-DEC-2021,27,36510,39100,33382,2123,6527,1052,14001,0,9,-981,-1000,104,402,228,471,693,0,0,0
15-DEC-2021,28,36367,38938,33258,2037,6527,845,14001,0,8,-989,-974,103,402,191,475,693,0,0,0
15-DEC-2021,29,37104,38726,33994,1920,6527,533,14001,0,5,-979,-25,193,402,287,879,693,0,0,0
15-DEC-2021,30,37266,38841,34105,1849,6527,301,14001,0,9,-966,42,197,402,320,897,693,0,0,0
15-DEC-2021,31,37512,38367,34316,1740,6527,74,14001,0,12,-243,47,2,360,242,815,693,0,0,0
15-DEC-2021,32,38476,39271,35174,1666,6527,2,14001,0,13,-182,56,0,235,355,811,693,0,0,0
15-DEC-2021,33,40688,41296,37159,1565,6527,0,14001,0,8,665,354,253,153,300,971,693,0,0,0
15-DEC-2021,34,41670,42278,37958,1511,6527,0,14001,0,8,721,384,275,97,185,977,693,0,0,0
15-DEC-2021,35,41463,42076,37618,1419,6527,0,14001,0,13,855,736,356,14,104,1017,693,0,0,0
15-DEC-2021,36,41407,42015,37618,1355,6527,0,14001,0,8,860,754,360,14,104,1019,693,0,0,0
15-DEC-2021,37,41029,41637,37342,1250,6527,0,14001,0,8,786,535,653,14,170,1019,693,0,0,0
15-DEC-2021,38,40641,41248,37038,1186,6527,0,14001,0,7,782,510,667,14,252,1019,693,0,0,0
15-DEC-2021,39,39321,39934,35825,1141,6527,0,14001,0,13,483,166,1036,14,321,1019,693,0,0,0
15-DEC-2021,40,38304,38912,34822,1143,6527,0,14001,0,8,470,146,1052,14,413,1019,693,0,0,0
15-DEC-2021,41,37453,38060,34098,1135,6527,0,14001,0,7,333,272,1052,84,285,1019,693,0,0,0
15-DEC-2021,42,35973,36579,32730,1167,6527,0,14001,0,6,327,271,1052,216,137,1019,693,0,0,0
