country,station_count
Aland Islands,10
Albania,3
Andorra,29
Argentina,3
Aruba,1
Australia,419
Austria,1491
Azerbaijan,1
Barbados,2
Belarus,12
Belgium,1255
Bermuda,1
Bosnia and Herz.,23
Brazil,22
Bulgaria,51
Cambodia,4
Canada,6486
Chile,20
China,590
Colombia,11
Costa Rica,97
Croatia,363
Cyprus,18
Czechia,863
Denmark,209
Dominican Rep.,1
Ecuador,4
Egypt,7
Estonia,307
Faroe Islands,13
Finland,834
France,15810
Georgia,10
Germany,19233
Gibraltar,2
Greece,132
Guernsey,6
,
Hungary,998
Iceland,230
India,27
Ireland,738
Isle Of Man,18
Israel,7
Italy,9703
Japan,1508
Jersey,26
Jordan,31
Kazakhstan,2
Kenya,3
Kosovo,9
Latvia,230
Liechtenstein,8
Lithuania,59
Luxembourg,83
Macao,2
Macedonia,7
Malaysia,25
Malta,54
Mexico,554
Moldova,2
Monaco,39
Montenegro,7
Morocco,51
Netherlands,8373
New Zealand,771
Norway,3592
Pakistan,1
Poland,730
Portugal,1405
Puerto Rico,5
Reunion,2
Romania,108
Russia,33
Saint Lucia,1
San Marino,20
Serbia,34
Singapore,9
Slovakia,387
Slovenia,210
South Africa,17
Spain,2744
Sri Lanka,14
Svalbard And Jan Mayen,1
Sweden,2667
Switzerland,1254
Taiwan,10
Thailand,1
Tunisia,4
Turkey,427
Uganda,1
Ukraine,160
United Arab Emirates,121
United Kingdom,15935
United States of America,36907
