name,type,status,country,latitude,longitude,injection
Northern Michigan Basin Carbonsafe Integrated Pre-Feasibility Project,Storage,Potential,United States,44.7241,-85.522351,
North Dakota Integrated Carbon Storage Complex Feasibility Study,Storage,Potential,United States,47.197797,-101.6796,
Nebraska Integrated Carbon Capture and Storage Pre-Feasibility Study,Storage,Potential,United States,41.158381,-101.127248,
"Integrated Pre-Feasibility Study of a Commercial-Scale Commercial Carbon Capture Project in Formations of the Rock Springs Uplift, Wyoming",Storage,Potential,United States,41.577869,-109.207281,
Integrated Mid-Continent Stacked Carbon Storage Hub,Storage,Potential,United States,40.341002,-97.793843,
"Integrated Commercial Carbon Capture and Storage PreFeasibility Study at Dry Fork Station, Wyoming",Storage,Potential,United States,44.388915,-105.461027,
Integrated CCS Pre-Feasibility in the Northwest Gulf of Mexico,Storage,Potential,United States,29.17706,-94.707493,
Integrated Carbon Capture and Storage in the Louisiana Chemical Corridor,Storage,Potential,United States,30.075864,-91.161065,
Integrated Carbon Capture and Storage in Kansas,Storage,Potential,United States,37.258813,-97.4817,
Hassi Touareg Project,Storage,Potential,Algeria,30.565029,6.433333,
"Establishing An Early Carbon Dioxide Storage (ECO2S) Complex in Kemper County, Mississippi: Project ECO2S",Storage,Potential,United States,32.746504,-88.647387,
CarbonSAFE Illinois Macon County,Storage,Potential,United States,39.845347,-88.953416,
CarbonSAFE Illinois East Sub-Basin,Storage,Potential,United States,39.800683,-87.975712,
California CO2 Storage Assurance Facility Enterprise (C2SAFE),Storage,Potential,United States,35.385317,-119.297308,
ZENG Worsham-Steed,Capture & Storage,Potential,United States,32.461351,-97.890919,870
Yulin Coal to Chemicals CCS,Capture & Storage,Potential,China,38.237528,109.717015,"5,480"
White Rose CCS Project,Capture & Storage,Potential,United Kingdom,53.744732,-0.998704,
Riley Ridge Gas Plant,Capture & Storage,Potential,United States,42.4756,-110.489,
Poza Rica EOR Project,Capture & Storage,Potential,Mexico,20.526377,-97.491807,8
Petrom Zero Emissions Plant (ZEP),Capture & Storage,Potential,Romania,45.929741,22.848412,
North Bohemia Clean Coal Project,Capture & Storage,Potential,Czech Republic,50.086012,14.43126,15
Masdar CCS Project,Capture & Storage,Potential,United Arab Emirates,24.22123,54.466994,"11,782"
Ledvice CEZ Capture and Storage Project,Capture & Storage,Potential,Czech Republic,50.575824,13.77955,
Jamestown BPU,Capture & Storage,Potential,United States,42.09919739,-79.23827362,98
ICO2N Network,Capture & Storage,Potential,Canada,51.113532,-114.112924,
Galilee Power Project,Capture & Storage,Potential,Australia,-23.473166,146.551237,
Dongguan Taiyangzhou IGCC,Capture & Storage,Potential,China,23.002269,113.750935,"2,740"
Don Valley CCS Power Project,Capture & Storage,Potential,United Kingdom,53.591456,-1.020039,"13,700"
Dagang Huashi Power CCS + EOR,Capture & Storage,Potential,China,39.051371,117.412391,"6,165"
ConocoPhillips - Immingham pre-combustion Project,Capture & Storage,Potential,United Kingdom,53.633126,-0.24317,"20,550"
China Resources Power (Haifeng) Integrated Carbon Capture and Sequestration Demonstration Project,Capture & Storage,Potential,China,22.7724,115.352,"2,740"
Carbonsafe Rocky Mountain Phase I: Ensuring Safe Subsurface Storage of Carbon Dioxide in the Intermountain West,Capture & Storage,Potential,United States,39.107347,-110.867393,
CAB-CS: Central Appalachian Basin CarbonSAFE Integrated Pre-Feasibility Project,Capture & Storage,Potential,United States,40.271999,-81.859679,
Shenhua Ningxia CTL Project,Capture,Potential,China,38.5318,106.249,
Shanxi International Energy Oxyfuel Project,Capture,Potential,China,37.778832,112.474995,"6,850"
Hodonin CO2 Separation Project,Capture,Potential,Czech Republic,48.848936,17.132222,
HARP-Heartland Area Redwater Project,Storage,Hold,Canada,53.945484,-113.067108,"100,000"
Altmark Sequestration,Storage,Hold,Germany,52.83368,11.154315,"100,000"
ULCOS Florange,Capture & Storage,Hold,France,49.323907,6.091537,"1,370"
Sinopec Qilu Petrochemical CCS Project,Capture & Storage,Hold,China,37.4142,118.607,"1,370"
Sargas Husnes Norwegian Clean Coal Plant Project,Capture & Storage,Hold,Norway,59.85858,5.740327,"7,124"
RWE IGCC Plant with CO2 Storage,Capture & Storage,Hold,Germany,50.863656,6.838015,"7,124"
Porto Tolle,Capture & Storage,Hold,Italy,44.955975,12.488261,"2,740"
PCOR Development Phase - Ft. Nelson Project,Capture & Storage,Hold,Canada,58.653455,-122.689083,"5,480"
Nuon Magnum IGCC Plant with Capture Option,Capture & Storage,Hold,Netherlands,53.447939,6.853228,
Moomba Cooper Basin Carbon Storage Project,Capture & Storage,Hold,Australia,-28.113216,140.206906,"54,800"
Mesaba Energy Project,Capture & Storage,Hold,United States,47.30176,-93.371553,"12,330"
Lima Polygen,Capture & Storage,Hold,United States,40.717629,-84.111123,"7,672"
Karsto NGCC Capture Project,Capture & Storage,Hold,Norway,59.280426,5.523822,274
Japan-China EOR Project,Capture & Storage,Hold,China,45.96659088,126.6637726,"2,740"
In Salah Gas Storage Project,Capture & Storage,Hold,Algeria,27.185919,2.497676,"3,288"
Hydrogen Power Abu Dhabi Project,Capture & Storage,Hold,United Arab Emirates,24.47527313,54.36998749,"4,658"
Getica CCS Demonstration Project,Capture & Storage,Hold,Romania,44.669722,23.407778,
