Project name,country,status,Product,latitude,longitude,capacity_MWel,Capacity_Nm?? H???/h,Capacity_kt H2/y
H2GO Energy Park Oude-Tonge - 1st phase,NLD,FID/Construction,H2,51.7033129,4.162535629,2.5,556,0.4
H2GO Energy Park Oude-Tonge - 2nd phase,NLD,Concept,H2,51.7033129,4.162535629,23.5,5222,4.1
"NortH2, phase 1",NLD,Feasibility study,H2,53.46520794,6.632984563,4000,888889,693
Norsk e-Fuel Phase 1,NOR,FID/Construction,Synfuels,65.84050026,13.1952674,50.264,13227,10.3
Norsk e-Fuel Phase 2,NOR,Feasibility study,Synfuels,65.84050026,13.1952674,50.264,13227,10.3
HYBRIT pilot,SWE,Operational,H2,65.58545581,22.15766136,4.5,978,0.8
HYBRIT demo,SWE,FID/Construction,H2,65.58545581,22.15766136,500,108696,84.7
Iberdrola - Puertollano I,ESP,Operational,Ammonia,38.67206718,-4.053051263,20,3846,3
Green Hysland Mallorca - Phase 1,ESP,Operational,H2,39.71851895,2.869601784,2.5,481,0.4
CRI project in Norway (Circlenergy),NOR,FID/Construction,MeOH,69.30163416,17.61084439,110,24444,19.1
ARIES project,USA,DEMO,H2,39.81834714,-105.0908499,1,192,0.1
Fukushima Hydrogen Energy Research Field,JPN,Operational,H2,37.41648724,140.516114,10,2174,1.7
Hydrospider - St Gallen,CHE,Operational,H2,47.42132666,9.374711401,2,385,0.3
"Apex Energy, Rostock-Laage",DEU,Operational,H2,53.90340529,12.28316893,2,435,0.3
Leuchtturmprojekt Power-to-Gas Baden-W??rttemberg,DEU,Operational,H2,48.58559709,8.958276022,1.3,250,0.2
eFarm (5 production sites in North Frisia),DEU,Operational,H2,54.74515917,8.575170399,1.125,216,0.2
Hydrogen plant - Orkney Islands - BIG HIT 2n phase,GBR,Operational,H2,59.01999057,-2.989136035,1,192,0.1
Wyhlen hydroelectric power plant,DEU,Operational,H2,47.53989242,7.712353516,1.3,283,0.2
GrInHy2.0,DEU,Operational,H2,52.1503721,10.3593147,0.7,200,0.2
Power2Met,DNK,Operational,MeOH,0,0,0.25,50,0
REMOTE - Norway,NOR,Decommisioned,H2,0,0,,,
H2One - Toranomon Hills Business Tower,JPN,Operational,H2,35.66706289,139.7494925,0.005,1,0
H2One - Toyama City Environment Center ,JPN,Operational,H2,36.73076822,137.2188241,0.005,1,0
H2One - Tsuruga City,JPN,Operational,H2,35.64821955,136.050882,0.005,1,0
H2FUTURE,AUT,Operational,H2,48.3059078,14.286198,6,1154,0.9
Guangdong Synergy Hydrogen Power Technology Co. 1st phase,CHN,Operational,H2,0,0,4,769,0.6
"Markham Energy Storage, Ontario",CAN,Operational,H2,43.85734939,-79.33112419,2.5,481,0.4
PFI - Pirmasens-Winzeln,DEU,Operational,CH4,49.1996961,7.6087847,2.5,556,0.4
MEFCO2,DEU,DEMO,MeOH,0,0,1,192,0.1
"Windgas Haurup, 2nd phase",DEU,Operational,H2,54.72670653,9.347591285,1,192,0.1
Parnu refuelling station,EST,Operational,H2,58.39337285,24.5106866,1,217,0.2
"H2Nodes, Riga",EST,Operational,H2,56.97288026,24.08787472,0.728,140,0.1
Houdain bus station HRS (TADAO/Bulle 6 SMTAG),FRA,Operational,H2,49.8808904,1.1415922,0.5,109,0.1
HyDeploy,GBR,Operational,H2,53.0038078,-2.2877425,0.5,96,0.1
Quebec Great Toronto Area East,CAN,Operational,H2,0,0,0.5,109,0.1
F??bus Pau bus station HRS,FRA,Operational,H2,43.31136409,-0.362005309,0.75,144,0.1
"Solothurn, STORE&GO",CHE,Operational,CH4,47.20726589,7.534500701,0.35,67,0.1
Sarawak Energy,MYS,Operational,H2,0,0,0.276,60,0
V??rg??rda Bost??der housing complex,SWE,Operational,H2,58.05926991,12.81683708,0.276,60,0
SoCalGas-NREL,USA,Operational,CH4,0,0,0.25,56,0
Stroml??ckenf??ller 2nd phase,DEU,Operational,H2,0,0,0.2,38,0
ATCO clean energy innovation hub,AUS,Operational,H2,0,0,0.15,29,0
Tauron CO2-SNG,POL,Operational,CH4,0,0,0.081,18,0
Methane Synthesis test facility in Koshijihara Plant of INPEX?€?s - Nagaoa,JPN,DEMO,,37.46907169,138.8410337,,,
VTT Bio economy+,FIN,DEMO,Synfuels,0,0,0.025,5,0
Kopernikus,DEU,DEMO,Synfuels,49.01252508,8.416944469,0.01,3,0
Rozenburg Power2Gas Phase 2,NLD,DEMO,H2,0,0,0.007,1,0
Balance project,FIN,DEMO,Various,0,0,0.006,2,0
H2One - SP Group,SGP,Operational,H2,0,0,0.005,1,0
Falkenhagen STORE&GO,DEU,Operational,CH4,0,0,1,192,0.1
"NEDO kofu city, Yamanashi Prefecture",JPN,Operational,H2,35.61528621,138.6942969,1.5,288,0.2
Semakau island microgrid Engie (SPORE),SGP,Operational,H2,0,0,0.05,11,0
H2PLAZA - Toyota Industries Corporation?€?s Takahama,JPN,Operational,H2,0,0,0.045,10,0
Localhy,DEU,Operational,H2,0,0,,,
Wind to Gas S??dermarsch,DEU,Operational,H2,53.91224209,9.13196747,2.4,462,0.4
Carbon2Chem,DEU,Operational,Various,51.49141758,6.723969506,2,435,0.3
SunLine Transit Agency,USA,Operational,H2,0,0,1.5,288,0.2
HyBALANCE,DNK,Operational,H2,56.63941921,9.79841809,1.5,288,0.2
Aberdeen Conference Center,GBR,Operational,H2,0,0,1,217,0.2
Lam Takhong Wind Hydrogen Hybrid Project- EGAT,THA,Operational,H2,0,0,1,192,0.1
H2ORIZON,DEU,Operational,H2,49.2644733,9.401743,0.8,154,0.1
ASKO Midt-Norge,NOR,Operational,H2,63.34327247,10.37333,0.7,152,0.1
Underground Sun Conversion,AUT,Operational,CH4,47.99027408,13.55381783,0.6,130,0.1
Hydrogen plant - Orkney Islands - BIG HIT 1st phase,GBR,Operational,H2,59.1649151,-2.788356039,0.7,135,0.1
"Windgas Haurup, 1st phase",DEU,Operational,H2,54.72670653,9.347591285,0.225,43,0
"Troia,  STORE&GO",ITA,Operational,CH4,0,0,0.2,38,0
GNVert H2 ,FRA,Operational,H2,48.7494007,2.350108197,0.192,37,0
Tongji solar hybrid hydrogen refueling station,CHN,Operational,H2,31.25068451,121.4364995,0.113,25,0
Methanation at Eichhof,DEU,Operational,CH4,0,0,0.05,10,0
"CoSin: Synthetic Natural Gas from Sewage, Barcelona",ESP,Operational,CH4,0,0,0.033,9,0
REFLEX,ITA,Operational,H2,0,0,0.038,10,0
Sendai City,JPN,Operational,H2,0,0,0.025,5,0
"Rostock, Exytron Demonstrationsanlage",DEU,Operational,CH4,0,0,0.018,4,0
Tokyu Construction Institute of Technology,JPN,Operational,H2,0,0,0.005,1,0
Rakuten Seimei Park Miyagi,JPN,Operational,H2,0,0,0.005,1,0
"MicroPyros, Altenstant",DEU,Operational,CH4,0,0,0.001,0,0
Oxel??sund Forklifts,SWE,Operational,H2,0,0,,,
H21 Leeds City Gate - Teesside hydrogen,GBR,Concept,H2,54.57668992,-1.252393053,,3890730,3033.4
"Hynet Northwest, phase 1 (Essar Stanlow refinery)",GBR,Feasibility study,H2,53.27703121,-2.841869148,,115438,90
"Baicheng, Jilin wind-solar project",CHN,Concept,H2,45.66828885,122.8463801,11543.789,2565287,2000
"Alzey, Exytron Null-E",DEU,Operational,H2,0,0,0.0625,14,0
Energy observer,FRA,Operational,H2,0,0,0.047,9,0
Haldor Topsoe - El-Opgraderet Biogas II,DNK,DEMO,CH4,55.82093676,12.54037049,0.038,10,0
Musashi-Mizonokuchi Station,JPN,Operational,H2,0,0,0.005,1,0
"H2One - Hydrogen Application Center, Fuchu Complex",JPN,Operational,H2,0,0,0.005,1,0
H2One - Asahi Breweries in Ibaraki,JPN,Operational,H2,0,0,0.005,1,0
Costa Rica Transportation Ecosystem Project,CRI,Operational,H2,10.42109784,-85.42096886,0.005,1,0
Cerro Pabell??n Microgrid 450 kWh Hydrogen ESS,CHL,Operational,H2,-21.22472701,-68.25178996,0.05,11,0
"Energy in the Container, Fraunhofer IISB, Erlangen, Leistungszentren Elektroniksysteme (LZE)",DEU,DEMO,H2,0,0,,,
Hassfurt,DEU,Operational,H2,0,0,1.25,240,0.2
GreenHydroChem Central German Chemical Triangle,DEU,Feasibility study,H2,51.43777627,12.04669172,120,23077,18
HPEM2GAS (R&D),DEU,Operational,H2,0,0,0.2,38,0
Hamburg - Schnackenburgallee,DEU,Operational,H2,53.56142698,9.977259977,0.185,36,0
smart grid solar - arzberg,DEU,DEMO,H2,50.05984314,12.19113719,0.075,14,0
"Naval Facilities Engineering Command, Engineering and Expeditionary Warfare Center",USA,DEMO,H2,0,0,0.05,13,0
Laboratory System at IFE Kjeller Pahse 2,NOR,Operational,H2,0,0,0.01,2,0
"H2One - Kyushu Resort Hotel,  Huis Ten Bosch",JPN,Operational,H2,0,0,0.005,1,0
H2One - Yokohama Cargo Center,JPN,Operational,H2,0,0,0.005,1,0
WindGas Hamburg-Reitbrook,DEU,DEMO,H2,53.46684592,10.13834597,1.5,288,0.2
