Project/Plant Name,status,technology_all,technology,rated power_kW,country,latitude,longitude,grid_level
Ponale (Riva del Garda Ledro) Hydroelectric Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,80000,Italy,45.8885171,10.84,Transmission
Urdiceto Hydroelectric Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,7200,Spain,42.6334211,0.22,Transmission
Rocky River Pumped Storage Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,29000,United States,41.58258,-73.43,Transmission
Etzelwerk Pumped Hydro Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,135000,Switzerland,47.1369626,8.78,null
Skhodnenskaya Hydro Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,30000,Russia,55.850657,37.44,Transmission
??t??chovice Pumped Hydro Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,45000,Czech Republic,49.846401,14.42,null
Provvidenza Hydro Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,156000,Italy,42.5575092,13.37,Transmission
Alrance Pumped Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,11000,France,44.1035517,2.69,Transmission
Bhira Pumped Storage Hydro Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,150000,India,18.4548333,73.39,Transmission
Waldshut Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,150000,Germany,47.6184,8.19,Transmission
Dob??in?? I Pumped Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,24000,Slovakia,48.8207511,20.37,Transmission
Flatiron Powerplant,Operational,Electro-mechanical energy storage,Pumped hydro storage,8500,United States,40.364905,-105.24,Transmission
Gobantes Hydroelectric Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,3600,Spain,36.95558,-4.8,Transmission
Reisach Pumped Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,99000,Germany,49.529869,12.29,Transmission
Kaprun Upper Stage Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,113000,Austria,47.3648489,12.64,null
Fu??ine Pumped Hydro Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,4600,Croatia,45.3049852,14.71,null
Argentat Pumped Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,48000,France,45.10418,1.95,Transmission
L??nerseewerk Pumped Hydro Storage Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,232000,Austria,47.0531826,9.75,null
Happurg Pumped Storage Power Plant,Offline/Under Repair,Electro-mechanical energy storage,Pumped hydro storage,160000,Germany,49.48711,11.47,Transmission
Gougra Pumped Hydro Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,164000,Switzerland,46.291289,7.54,Transmission
Sir Adam Beck Hydroelectric Generating Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,174000,Canada,43.1444964,-79.04,Transmission
Tanzm??hle Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,35000,Germany,49.552216,12.28,Transmission
Gaudalami Hydro Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,80000,Italy,37.9937488,13.29,Transmission
Leitzachwerk II,Operational,Electro-mechanical energy storage,Pumped hydro storage,49200,Germany,47.8483283,11.86,Transmission
Ananaigawa Hydroelectric Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,13500,Japan,33.6037185,133.69,Transmission
Hatanagi No. 1 Pumped Hydro Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,137000,Japan,35.308032,138.2,null
Taum Sauk Hydroelectric Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,440000,United States,37.4537502,-90.84,Transmission
Villa Gargnano Hydro Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,137200,Italy,45.6885992,10.66,Transmission
Puente Bibey Hydroelectric Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,315000,Spain,42.310337,-7.23,Transmission
Erzhausen Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,220000,Germany,51.8989299,9.93,Transmission
Glems Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,90000,Germany,48.5071632,9.29,Transmission
Alto Rabag??o Hydro Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,68000,Portugal,41.737703,-7.85,null
Campo Moro Hydro Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,36500,Italy,46.2695803,9.87,Transmission
Ikehara Pumped  Hydro Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,350000,Japan,34.042191,135.98,null
Yards Creek Pumped Storage,Operational,Electro-mechanical energy storage,Pumped hydro storage,400000,United States,41.00095,-75.03,Transmission
Capriati Hydro Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,115000,Italy,41.5230896,14.13,Transmission
Pintado Hydroelectric Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,14000,Spain,37.93753,-5.78,Transmission
Torrejon Hydroelectric Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,132000,Spain,39.835,-5.989,Transmission
Tods Corner Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,1700,Australia,-41.8602187,146.76,null
Muddy Run Pumped Hydro Storage,Operational,Electro-mechanical energy storage,Pumped hydro storage,1070000,United States,39.847457,-76.29,Transmission
Smith Mountain Pumped Storage Project,Operational,Electro-mechanical energy storage,Pumped hydro storage,560000,United States,37.0497134,-79.64,Transmission
S??ckingen Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,360000,Germany,47.5656,7.95,Transmission
Cabin Creek Generating Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,324000,United States,39.7060984,-105.7,Transmission
Edward Hyatt (Oroville) Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,819000,United States,39.5137752,-121.56,Transmission
Pracomune Hydro Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,42000,Italy,46.5478079,11.01,Transmission
Shin Nariwagawa Pumped Storage Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,303000,Japan,34.822844,133.4,null
Nagano Pumped Hydro Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,220000,Japan,36.6485496,138.19,null
Solina Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,200000,Poland,49.3958323,22.46,Transmission
Wendefurth Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,80000,Germany,51.7422639,10.92,Transmission
San Luis (William R. Gianelli) Pumped Storage Hydroelectric Powerplant,Operational,Electro-mechanical energy storage,Pumped hydro storage,424000,United States,37.069105,-121.08,Transmission
Gangnan Pumped-hydro Storage Station (??????),Operational,Electro-mechanical energy storage,Pumped hydro storage,41000,China,38.265728,113.98,null
"Azumi, Inekoki Dam Pumped Hydro Power Station",Operational,Electro-mechanical energy storage,Pumped hydro storage,623000,Japan,36,138,null
Rifawerk Pumped Hydro Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,7000,Austria,46.9782553,10.04,null
Ib??n de Ip Hydroelectric Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,88500,Spain,42.7201458,-0.46,Transmission
Kubanskaya PSP,Operational,Electro-mechanical energy storage,Pumped hydro storage,15900,Russia,44.6680993,43.52,null
R??nkhausen Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,140000,Germany,51.1736091,7.97,Transmission
Thermalito Pumping - Generating Plant,Offline/Under Repair,Electro-mechanical energy storage,Pumped hydro storage,120000,United States,39.5137752,-121.56,Transmission
Takane Daiichi Pumped Hydro Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,340000,Japan,35.6473601,138.64,null
Villarino (Almendra) Reversible Hydro Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,810000,Spain,41.268575,-6.47,null
Midono Pumped Hydro Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,260000,Japan,36.154152,137.75,null
Seneca Pumped Storage Generating Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,440000,United States,41.831299,-79.01,null
Hongrin-Leman  Pumped Hydro Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,240000,Switzerland,46.4198999,6.93,Transmission
Kisenyama Pumped Storage Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,466000,Japan,34.8844606,135.8,null
Fadalto Hydro Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,210000,Italy,46.0714347,12.34,Transmission
Cardos Valley Hydroelectric Complex - Montamara Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,90000,Spain,42.644804,1.26,null
??ydowo Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,156000,Poland,54.0249,16.7069,Transmission
Salina Pumped Storage Project,Operational,Electro-mechanical energy storage,Pumped hydro storage,260000,United States,36.26566,-95.1,Transmission
Mormon Flat Pumped Hydro Storage,Operational,Electro-mechanical energy storage,Pumped hydro storage,50000,United States,33.553,-111.443,Transmission
Kyivska (Kijev) Pumped Hydro Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,603000,Ukraine,50.5904776,30.48,null
Ru????n Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,60000,Slovakia,48.86311,21.09,Transmission
Shin Toyone Pumped Storage,Operational,Electro-mechanical energy storage,Pumped hydro storage,1125000,Japan,35.1467376,137.72,Transmission
DeGray Lake Pumped Hydro Storage,Operational,Electro-mechanical energy storage,Pumped hydro storage,28000,United States,34.213624,-93.11,Transmission
Vilarinho Furnas Pumped Hydro Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,125000,Portugal,41.763285,-8.21,null
Ro??hag Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,231000,Austria,47.0867914,11.77,null
Northfield Mountain Pumped Storage Hydroelectricity Facility ,Operational,Electro-mechanical energy storage,Pumped hydro storage,1119000,United States,42.611429,-72.473883,null
Castaic Pumped-Storage Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,1247000,United States,34.6548333,-118.78,null
San Fiorano Hydro Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,568000,Italy,46.0551036,10.35,Transmission
Roncovalgrande (Lago Delio) Hydroelectric Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,1000000,Italy,46.0033754,8.69,Transmission
Tumut Hydroelectric Power Station 3,Operational,Electro-mechanical energy storage,Pumped hydro storage,1500000,Australia,-35.6239558,148.3,Transmission
Ruselkraftwerke Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,3500,Germany,48.8555897,13,Transmission
Guillena Hydroelectric Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,215000,Spain,37.5429955,-6.06,null
O'Neill Pump-Generating Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,25200,United States,37.0582786,-120.85,Transmission
Ludington Pumped Storage,Operational,Electro-mechanical energy storage,Pumped hydro storage,1872000,United States,43.894481,-86.44,Transmission
John W. Keys III Pump-Generating Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,314000,United States,47.953884,-118.99,Transmission
Numappara Pumped Hydro Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,675000,Japan,37.09,139.9,null
Blenheim-Gilboa Pumped Storage Power Project,Operational,Electro-mechanical energy storage,Pumped hydro storage,1160000,United States,42.442978,-74.45,Transmission
Miyun Pumped-hydro Storage Station (??????),Operational,Electro-mechanical energy storage,Pumped hydro storage,22000,China,40.376299,116.84,null
Jukla Hydro Power Plants ,Operational,Electro-mechanical energy storage,Pumped hydro storage,40000,Norway,59.9361331,6,null
Waldeck II,Operational,Electro-mechanical energy storage,Pumped hydro storage,480000,Germany,51.1624468,9.06,Transmission
Turlough Hill Pumped Storage,Operational,Electro-mechanical energy storage,Pumped hydro storage,292000,Ireland,53.0280556,-6.39,Transmission
Bear Swamp Hydroelectric Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,600000,United States,42.687055,-72.96,Transmission
Niikappu Pumped Hydro Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,200000,Japan,42.3624055,142.32,null
Bargi Hydro Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,330000,Italy,44.1260632,11.06,Transmission
Ohira Pumped Hydro Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,500000,Japan,32.5074371,130.6,null
Liptovsk?? Mara Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,198000,Slovakia,49.0986111,19.49,Transmission
La Coche Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,310000,France,45.4824436,6.53,Transmission
Conso Hydroelectric Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,228000,Spain,42.1429146,-7.29,Transmission
Emosson Pumped Hydro Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,360000,Switzerland,46.1025948,7.08,null
Poithan (Jayakwadi Dam) Hydro Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,12000,India,19.4779213,75.37,null
Nabara Pumped Hydro Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,620000,Japan,34.5411347,132.51,null
Rodundwerk II Pumped Storage Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,295000,Austria,47.0851253,9.88,Transmission
Langenprozelten Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,164000,Germany,50.059739,9.63,Transmission
Revin Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,800000,France,49.9218041,4.6,Transmission
Wehr Pumped Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,910000,Germany,47.6363693,7.91,Transmission
Mazegawa Daiichi Pumped Hydro Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,288000,Japan,35.4232984,136.76,null
Poatina Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,300000,Australia,-41.8602187,146.76,null
Carters Dam Pumped Storage,Operational,Electro-mechanical energy storage,Pumped hydro storage,250000,United States,34.7659145,-84.77,Transmission
Tajo De La Encantada (M??laga) Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,360000,Spain,36.90817,-4.76,null
Mapragg Pumped Hydro Storage Power Plant,Operational,Electro-mechanical energy storage,Pumped hydro storage,370000,Switzerland,46.9429623,9.48,Transmission
Kangaroo Valley Pumping and Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,160000,Australia,-34.733688,150.47,Transmission
Bendeela Pumping and Power Station,Operational,Electro-mechanical energy storage,Pumped hydro storage,80000,Australia,-34.721119,150.48,Transmission
Max Planck Institute ASDEX-Upgrade Pulsed Power Supply System - 155 MW With Pulse Duration of 9.7 sec.,Operational,Electro-mechanical energy storage,Flywheel,387000,Germany,48.2632698,11.671654,Transmission
