TerminalName,type,status,country,Capacity,CapacityUnits,CapacityInBcm/y,latitude,longitude
Fourchon LNG Terminal,Export,Cancelled,United States,2,mtpa,2.72,29.105833,-90.194444
Fourchon LNG Terminal,Export,Cancelled,United States,3,mtpa,4.08,29.105833,-90.194444
Alaska LNG Terminal,Export,Proposed,United States,6.7,mtpa,9.11,60.65996,-151.36505
Alaska LNG Terminal,Export,Proposed,United States,6.7,mtpa,9.11,60.65996,-151.36505
Alaska LNG Terminal,Export,Proposed,United States,6.7,mtpa,9.11,60.65996,-151.36505
Alturas LNG Terminal,Export,Cancelled,United States,1.5,mtpa,2.04,29.885,-93.94
American LNG Hialeah Terminal,Export,Operating,United States,0.01,bcf/d,0.08,25.809175,-80.296697
American LNG Titusville Terminal,Export,Cancelled,United States,0.08,bcf/d,0.85,28.591111,-80.82
Annova LNG Brownsville Terminal,Export,Cancelled,United States,1.08,mtpa,1.47,25.950835,-97.410844
Annova LNG Brownsville Terminal,Export,Cancelled,United States,1.08,mtpa,1.47,25.950835,-97.410844
Annova LNG Brownsville Terminal,Export,Cancelled,United States,1.08,mtpa,1.47,25.950835,-97.410844
Annova LNG Brownsville Terminal,Export,Cancelled,United States,1.08,mtpa,1.47,25.950835,-97.410844
Annova LNG Brownsville Terminal,Export,Cancelled,United States,1.08,mtpa,1.47,25.950835,-97.410844
Annova LNG Brownsville Terminal,Export,Cancelled,United States,1.08,mtpa,1.47,25.950835,-97.410844
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
Calcasieu Pass LNG Terminal,Export,Operating,United States,0.67,mtpa,0.91,29.77292736,-93.3343038
CE FLNG Terminal,Export,Cancelled,United States,4,mtpa,5.44,29.30079786,-89.35821088
CE FLNG Terminal,Export,Cancelled,United States,4,mtpa,5.44,29.30079786,-89.35821088
Cameron LNG Terminal,Import,Mothballed,United States,11.4,mtpa,15.5,30.035471,-93.3383568
Cameron LNG Terminal,Export,Operating,United States,4.5,mtpa,6.12,30.035471,-93.3383568
Cameron LNG Terminal,Export,Operating,United States,4.5,mtpa,6.12,30.035471,-93.3383568
Cameron LNG Terminal,Export,Operating,United States,4.5,mtpa,6.12,30.035471,-93.3383568
Cameron LNG Terminal,Export,Proposed,United States,6.75,mtpa,9.18,30.035471,-93.3383568
Cameron LNG Terminal,Export,Cancelled,United States,5,mtpa,6.8,30.035471,-93.3383568
Cameron LNG Terminal,Export,Proposed,United States,0.68,mtpa,0.92,30.035471,-93.3383568
Commonwealth LNG Terminal,Export,Proposed,United States,1.55,mtpa,2.11,29.764163,-93.348066
Commonwealth LNG Terminal,Export,Proposed,United States,1.55,mtpa,2.11,29.764163,-93.348066
Commonwealth LNG Terminal,Export,Proposed,United States,1.55,mtpa,2.11,29.764163,-93.348066
Commonwealth LNG Terminal,Export,Proposed,United States,1.55,mtpa,2.11,29.764163,-93.348066
Commonwealth LNG Terminal,Export,Proposed,United States,1.55,mtpa,2.11,29.764163,-93.348066
Commonwealth LNG Terminal,Export,Proposed,United States,1.55,mtpa,2.11,29.764163,-93.348066
Corpus Christi LNG Terminal,Export,Operating,United States,5,mtpa,6.8,27.91354225,-97.28656287
Corpus Christi LNG Terminal,Export,Operating,United States,5,mtpa,6.8,27.91354225,-97.28656287
Corpus Christi LNG Terminal,Export,Operating,United States,5,mtpa,6.8,27.91354225,-97.28656287
Corpus Christi LNG Terminal,Export,Construction,United States,1.64,mtpa,2.23,27.91354225,-97.28656287
Corpus Christi LNG Terminal,Export,Construction,United States,1.64,mtpa,2.23,27.91354225,-97.28656287
Corpus Christi LNG Terminal,Export,Construction,United States,1.64,mtpa,2.23,27.91354225,-97.28656287
Corpus Christi LNG Terminal,Export,Construction,United States,1.64,mtpa,2.23,27.91354225,-97.28656287
Corpus Christi LNG Terminal,Export,Construction,United States,1.64,mtpa,2.23,27.91354225,-97.28656287
Corpus Christi LNG Terminal,Export,Construction,United States,1.64,mtpa,2.23,27.91354225,-97.28656287
