country,,Net imports - TWh,time
Italy,,50.94,2024
Thailand,,37.08,2024
United Kingdom,,33.19,2024
Germany,,25.45,2024
Brazil,,15.11,2024
United States of America,,13.81,2024
Hungary,,10.84,2024
Portugal,,10.48,2024
Bangladesh,,9.66,2024
Belgium,,9.5,2024
Argentina,,8.79,2024
Palestine,,6.7,2022
Afghanistan,,6.22,2023
Cambodia,,5.78,2024
Luxembourg,,5.26,2024
Lithuania,,5.23,2024
Ireland,,4.58,2024
Kyrgyzstan,,4.15,2024
Croatia,,4.04,2024
Denmark,,3.8,2024
Finland,,3.19,2024
Iraq,,3.13,2023
Romania,,3.06,2024
Uzbekistan,,2.93,2023
Estonia,,2.91,2024
Mexico,,2.89,2024
Namibia,N. Cyprus,2.75,2023
Morocco,,2.58,2024
Tunisia,,2.5,2024
Mongolia,,2.2,2024
Vietnam,,2.17,2024
Botswana,,1.92,2023
Zimbabwe,W. Sahara,1.9,2023
Poland,,1.83,2024
Burkina Faso,,1.58,2023
Kazakhstan,,1.45,2024
Dem. Rep. Congo,,1.41,2023
Moldova,,1.29,2024
Niger,,1.21,2023
Nicaragua,,1.13,2023
Latvia,,1.12,2024
Togo,,1.1,2023
Malta,,0.96,2024
eSwatini,,0.93,2023
North Macedonia,North Korea,0.9,2024
Indonesia,,0.89,2023
Kenya,,0.88,2024
Sudan,,0.88,2023
Benin,,0.84,2023
Bhutan,,0.83,2023
Libya,,0.8,2023
El Salvador,,0.71,2024
Turkey,,0.64,2024
Belarus,,0.62,2024
Kosovo,,0.62,2024
Gabon,,0.58,2023
Djibouti,,0.51,2023
Nepal,,0.49,2022
Senegal,,0.49,2023
Pakistan,,0.48,2024
Guatemala,,0.47,2023
Lesotho,,0.43,2022
Mauritania,,0.38,2022
Serbia,,0.3,2024
Belize,,0.28,2023
Ecuador,,0.28,2024
Ukraine,,0.28,2024
Mali,,0.22,2023
Tajikistan,,0.22,2024
Honduras,,0.21,2023
Tanzania,Taiwan,0.16,2023
Burundi,,0.1,2023
Jordan,,0.07,2022
Cameroon,,0.06,2023
Montenegro,,0.06,2024
Peru,,0.04,2024
Georgia,,0.02,2024
Rwanda,,0.02,2023
Singapore,,0.02,2024
Bahrain,,0.01,2023
Angola,,0,2023
Antigua and Barbuda,Antarctica,0,2023
Australia,,0,2024
Bahamas,,0,2022
Barbados,,0,2023
Bolivia,,0,2024
Bosnia and Herz.,,0,2024
Brunei,,0,2023
Cabo Verde,,0,2022
Central African Rep.,,0,2022
Chad,,0,2022
Chile,,0,2024
Comoros,,0,2023
Congo,,0,2023
Cuba,,0,2023
Cyprus,,0,2024
Dominican Rep.,,0,2024
Timor-Leste,,0,2023
Eq. Guinea,,0,2023
Eritrea,,0,2023
Fiji,,0,2023
French Guiana,Fr. S. Antarctic Lands,0,2022
Gambia,,0,2023
Greenland,,0,2022
Grenada,,0,2022
Guinea,,0,2023
Guinea-Bissau,,0,2022
Guyana,,0,2023
Haiti,,0,2022
Iceland,,0,2023
Jamaica,,0,2022
Japan,,0,2024
Kiribati,,0,2022
Kuwait,,0,2024
Lebanon,,0,2023
Liberia,,0,2023
Madagascar,,0,2022
Maldives,,0,2023
Mauritius,,0,2023
Nauru,,0,2023
New Caledonia,,0,2022
New Zealand,,0,2024
Oman,,0,2024
Papua New Guinea,,0,2023
Philippines,,0,2024
Puerto Rico,,0,2024
Qatar,,0,2024
S. Sudan,,0,2023
Saint Kitts and Nevis,,0,2022
Saint Lucia,,0,2022
Saint Vincent and the Grenadines,,0,2023
Samoa,,0,2023
Sao Tome and Principe,,0,2022
Seychelles,,0,2023
Sierra Leone,,0,2023
Solomon Is.,,0,2023
Somalia,,0,2023
South Korea,,0,2024
Sri Lanka,,0,2022
Suriname,,0,2023
Tonga,,0,2023
Trinidad and Tobago,Timor-Leste,0,2023
Vanuatu,,0,2023
Yemen,,0,2023
Malawi,,-0.02,2022
Saudi Arabia,,-0.04,2023
United Arab Emirates,,-0.11,2023
Greece,,-0.16,2024
Panama,,-0.17,2023
Myanmar,,-0.2,2024
Syria,,-0.36,2022
Uganda,,-0.41,2022
Venezuela,Uzbekistan,-0.6,2023
C?te d'Ivoire,,-0.75,2023
Costa Rica,,-0.85,2024
Colombia,,-0.89,2024
Albania,,-0.92,2023
Armenia,,-0.97,2024
Bulgaria,,-1.04,2024
Azerbaijan,,-1.15,2024
Malaysia,,-1.22,2024
Egypt,,-1.6,2024
Ethiopia,Falkland Is.,-1.76,2023
Ghana,,-1.95,2023
Algeria,,-2.28,2023
Slovenia,,-2.37,2024
Nigeria,,-2.4,2024
Zambia,,-2.82,2023
Iran,,-2.99,2024
Slovakia,,-3.04,2024
India,,-3.07,2024
Mozambique,,-3.2,2023
Netherlands,,-4.38,2024
South Africa,Somaliland,-5.02,2024
Uruguay,,-5.1,2024
Czechia,,-6.39,2024
Austria,,-6.48,2024
Israel,,-6.93,2023
Turkmenistan,,-9,2023
Spain,,-10.31,2024
Canada,,-12.5,2024
Switzerland,,-13.48,2024
China,,-13.93,2024
Russia,,-16.48,2024
Norway,,-18.52,2024
Paraguay,,-24.2,2023
Sweden,,-33.47,2024
Laos,,-37.04,2023
France,,-91.02,2024
