country,revenue_2024,share,sum
China,17035108198,28.0891%,60646766609
United States of America,11249083528,18.5485%,60646766609
Japan,3884932967,6.4058%,60646766609
South Korea,3511996440,5.7909%,60646766609
United Kingdom,3107464641,5.1239%,60646766609
India,3067139830,5.0574%,60646766609
Germany,2949691292,4.8637%,60646766609
France,1457739662,2.4037%,60646766609
Australia,1425457165,2.3504%,60646766609
Russia,1121936299,1.8500%,60646766609
Canada,990169094.6,1.6327%,60646766609
Mexico,851751544.4,1.4044%,60646766609
Brazil,761679295.8,1.2559%,60646766609
Netherlands,740401695.8,1.2208%,60646766609
Italy,527845011.1,0.8704%,60646766609
Switzerland,422152338.3,0.6961%,60646766609
Sweden,421466490,0.6950%,60646766609
South Africa,417661941.2,0.6887%,60646766609
Turkey,398706868.4,0.6574%,60646766609
Spain,384288153.4,0.6336%,60646766609
Belgium,321745117.6,0.5305%,60646766609
Austria,321181796.5,0.5296%,60646766609
Norway,307349548.3,0.5068%,60646766609
Denmark,301706894,0.4975%,60646766609
Taiwan,298550797.1,0.4923%,60646766609
Indonesia,273483323.9,0.4509%,60646766609
Saudi Arabia,253344021.3,0.4177%,60646766609
Poland,243890966.1,0.4021%,60646766609
Romania,232431490.3,0.3833%,60646766609
Colombia,231411966.5,0.3816%,60646766609
Egypt,189817952.5,0.3130%,60646766609
Malaysia,182171538.8,0.3004%,60646766609
Vietnam,165205190,0.2724%,60646766609
Philippines,151084922.5,0.2491%,60646766609
Nigeria,120602342.1,0.1989%,60646766609
Chile,120326317.8,0.1984%,60646766609
Hungary,117581580,0.1939%,60646766609
Finland,115840579.2,0.1910%,60646766609
Thailand,112232118.4,0.1851%,60646766609
Singapore,111557739.1,0.1839%,60646766609
Portugal,111332161.4,0.1836%,60646766609
Estonia,98892404.48,0.1631%,60646766609
New Zealand,92144065.23,0.1519%,60646766609
Greece,90082698.55,0.1485%,60646766609
Puerto Rico,79279376.37,0.1307%,60646766609
Czechia,78749741.86,0.1298%,60646766609
Israel,77368310.73,0.1276%,60646766609
Bangladesh,75269436.96,0.1241%,60646766609
Serbia,71245792.46,0.1175%,60646766609
Morocco,63611855.82,0.1049%,60646766609
Iran,63550132.52,0.1048%,60646766609
Argentina,60983167.49,0.1006%,60646766609
Ireland,59167318.66,0.0976%,60646766609
Peru,51647536.19,0.0852%,60646766609
Pakistan,40634794.89,0.0670%,60646766609
Ukraine,39006541.61,0.0643%,60646766609
United Arab Emirates,33478736.81,0.0552%,60646766609
Kenya,27290115.7,0.0450%,60646766609
Slovakia,27186343.42,0.0448%,60646766609
Lithuania,25931232.87,0.0428%,60646766609
Bulgaria,24999922.49,0.0412%,60646766609
Dominican Rep.,22188112.9,0.0366%,60646766609
Myanmar,20447374.47,0.0337%,60646766609
Sri Lanka,18895557.44,0.0312%,60646766609
Croatia,18297840.91,0.0302%,60646766609
Algeria,16099192,0.0265%,60646766609
Ethiopia,15890479.23,0.0262%,60646766609
Kazakhstan,13027613.57,0.0215%,60646766609
Ecuador,12762046.13,0.0210%,60646766609
Guatemala,12208623.78,0.0201%,60646766609
Uzbekistan,12150713.53,0.0200%,60646766609
Tanzania,11825726.46,0.0195%,60646766609
Belarus,11692597.36,0.0193%,60646766609
Tunisia,11056553.85,0.0182%,60646766609
Qatar,11030072.26,0.0182%,60646766609
Ghana,10622423.53,0.0175%,60646766609
Iraq,10053675.23,0.0166%,60646766609
Uganda,9660132.93,0.0159%,60646766609
Angola,9627733.49,0.0159%,60646766609
Latvia,9472877.7,0.0156%,60646766609
Mozambique,8878526.4,0.0146%,60646766609
Bolivia,7804787.73,0.0129%,60646766609
Nepal,7655788.11,0.0126%,60646766609
Costa Rica,7170659.63,0.0118%,60646766609
Ivory Coast,7074945.54,0.0117%,60646766609
Azerbaijan,7072793.63,0.0117%,60646766609
Paraguay,6797704,0.0112%,60646766609
Cambodia,6738056,0.0111%,60646766609
Cameroon,6024766.68,0.0099%,60646766609
Slovenia,5811837.44,0.0096%,60646766609
Moldova,5192701.65,0.0086%,60646766609
Oman,5178384.86,0.0085%,60646766609
El Salvador,5035173.96,0.0083%,60646766609
Jordan,5032905.88,0.0083%,60646766609
Sudan,4995589.29,0.0082%,60646766609
Haiti,4884216.73,0.0081%,60646766609
Honduras,4312200.21,0.0071%,60646766609
Madagascar,4183189.22,0.0069%,60646766609
Uruguay,3970084.44,0.0065%,60646766609
Panama,3938923.87,0.0065%,60646766609
Senegal,3792218.33,0.0063%,60646766609
Albania,3585296.29,0.0059%,60646766609
Zambia,3567980.71,0.0059%,60646766609
Cuba,3495897.88,0.0058%,60646766609
Zimbabwe,3355535.1,0.0055%,60646766609
Benin,3259871.91,0.0054%,60646766609
Armenia,3020863.18,0.0050%,60646766609
Rwanda,2909047.97,0.0048%,60646766609
Lebanon,2812770.23,0.0046%,60646766609
Kyrgyzstan,2701897.28,0.0045%,60646766609
Georgia,2471185.63,0.0041%,60646766609
Laos,2458272.87,0.0041%,60646766609
Kuwait,2450176.79,0.0040%,60646766609
Bosnia and Herz.,2428977.39,0.0040%,60646766609
Burkina Faso,2367113.87,0.0039%,60646766609
Niger,2348145.22,0.0039%,60646766609
Luxembourg,2310800.76,0.0038%,60646766609
Malawi,2148755.71,0.0035%,60646766609
Nicaragua,2091733.52,0.0034%,60646766609
Tajikistan,1989467.73,0.0033%,60646766609
Papua New Guinea,1906642.67,0.0031%,60646766609
Chad,1803589.7,0.0030%,60646766609
Jamaica,1773553.48,0.0029%,60646766609
Burundi,1723894.14,0.0028%,60646766609
Togo,1599914.14,0.0026%,60646766609
Iceland,1547719.55,0.0026%,60646766609
Mongolia,1505865.61,0.0025%,60646766609
Guinea,1483097.49,0.0024%,60646766609
Turkmenistan,1417228.97,0.0023%,60646766609
North Macedonia,1372703.51,0.0023%,60646766609
Malta,1083540.55,0.0018%,60646766609
Cyprus,1040823.61,0.0017%,60646766609
Botswana,988527.85,0.0016%,60646766609
Mauritania,887524.58,0.0015%,60646766609
Bahrain,830967.51,0.0014%,60646766609
Namibia,660883.83,0.0011%,60646766609
Guyana,660537.91,0.0011%,60646766609
Sierra Leone,637294.52,0.0011%,60646766609
Gabon,613421.95,0.0010%,60646766609
Congo,593245.09,0.0010%,60646766609
Lesotho,476014.74,0.0008%,60646766609
Montenegro,328911.94,0.0005%,60646766609
Fiji,272827.53,0.0004%,60646766609
Brunei,224616.29,0.0004%,60646766609
Gambia,179065.11,0.0003%,60646766609
Eq. Guinea,173178.51,0.0003%,60646766609
Bhutan,165357.96,0.0003%,60646766609
Timor-Leste,158947.23,0.0003%,60646766609
Belize,139778.78,0.0002%,60646766609
Suriname,106577.41,0.0002%,60646766609
Seychelles,41423.04,0.0001%,60646766609
