country,numbers
United States of America,4025
United Kingdom,484
Germany,480
China,474
France,313
Canada,284
India,270
Australia,264
Japan,202
Italy,200
Netherlands,194
Brazil,189
Russia,180
Indonesia,179
Spain,178
Ireland,135
Switzerland,116
Malaysia,111
Sweden,103
Poland,94
South Korea,87
Finland,83
Norway,83
Turkey,82
Singapore,78
Denmark,67
Chile,65
Romania,63
Mexico,62
United Arab Emirates,57
Israel,56
South Africa,56
New Zealand,55
Thailand,55
Czechia,52
Saudi Arabia,51
Austria,49
Belgium,48
Portugal,44
Colombia,42
Ukraine,38
Argentina,37
Taiwan,34
Bulgaria,31
Vietnam,31
Pakistan,26
Philippines,26
Latvia,25
Greece,22
Slovenia,21
Iran,20
Hungary,19
Kenya,19
Lithuania,19
Nigeria,19
Cyprus,18
Luxembourg,16
Croatia,15
Oman,15
Panama,15
Bangladesh,14
Peru,14
Egypt,13
Iceland,13
Serbia,13
Slovakia,13
Estonia,12
Morocco,12
Costa Rica,11
Qatar,11
Tanzania,11
Cambodia,10
Mauritania,10
Ecuador,9
Malta,9
Uruguay,9
Angola,8
Ghana,8
Jordan,8
Puerto Rico,8
Bahrain,7
Macedonia,7
Senegal,7
Algeria,6
Gibraltar,6
Guatemala,6
Isle of Man,6
Ivory Coast,6
Libya,6
Moldova,6
Mozambique,6
Nepal,6
Paraguay,6
Venezuela,6
Bolivia,5
Ethiopia,5
Jersey,5
Kuwait,5
Liechtenstein,5
Myanmar,5
Albania,4
Bahamas,4
Bosnia and Herz.,4
Botswana,4
Djibouti,4
Dem. Rep. Congo,4
Georgia,4
Honduras,4
Kazakhstan,4
Reunion,4
Trinidad and Tobago,4
Tunisia,4
Uganda,4
Andorra,3
Azerbaijan,3
Curacao,3
Dominican Rep.,3
El Salvador,3
Guernsey,3
Madagascar,3
Monaco,3
New Caledonia,3
Nicaragua,3
Rwanda,3
Uzbekistan,3
Zambia,3
Zimbabwe,3
Afghanistan,2
Armenia,2
Belarus,2
Bermuda,2
Bhutan,2
Cameroon,2
Cayman Islands,2
Greenland,2
Guam,2
Kyrgyzstan,2
Laos,2
Lebanon,2
Lesotho,2
Maldives,2
Mongolia,2
Namibia,2
Sri Lanka,2
Suriname,2
Togo,2
Brunei,1
Burkina Faso,1
Eq. Guinea,1
eSwatini,1
French Guiana,1
French Polynesia,1
Gabon,1
Guinea,1
Iraq,1
Jamaica,1
Kosovo,1
Macau,1
Malawi,1
Mali,1
Mayotte,1
Palestine,1
Papua New Guinea,1
Republic of the Congo,1
Seychelles,1
Solomon Is.,1
Somalia,1
Sudan,1
US Virgin Islands,1
