type,latitude,longitude,capacity_mw
Hydro,32.322,65.119,33.0
Hydro,34.556,69.4787,66.0
Hydro,34.641,69.717,100.0
Hydro,34.4847,70.3633,11.55
Hydro,35.9416,68.71,6.0
Hydro,34.5865,69.7757,22.0
Hydro,39.9116,20.1047,27.0
Hydro,42.2514,20.0431,500.0
Hydro,42.1033,19.8224,600.0
Hydro,41.3428,19.8964,5.0
Hydro,41.6796,19.8305,24.0
Hydro,41.6796,19.8936,25.0
Hydro,42.0137,19.6359,250.0
Hydro,36.4739,5.2719,24.0
Hydro,-12.4706,13.7319,14.6
Hydro,-9.7523,14.4809,180.0
Hydro,-9.7955,15.4672,520.0
Hydro,-14.7333,15.0333,40.0
Hydro,-7.3,20.85,16.0
Hydro,-34.5792,-68.9892,130.0
Hydro,-40.58,-70.7489,1050.0
Hydro,-33.0452,-69.0516,50.7
Hydro,-39.1009,-68.5982,128.0
Hydro,-32.1883,-64.3233,38.4
Hydro,-25.2712,-65.3298,102.0
Hydro,-33.0291,-69.1109,120.0
Hydro,-38.2143,-67.1908,60.0
Hydro,-31.3992,-64.2006,17.28
Hydro,-31.5192,-68.9814,121.4
Hydro,-38.9121,-67.9427,5.78
Hydro,-30.1833,-69.0667,10.55
Hydro,-26.6156,-65.1929,14.0
Hydro,-33.2993,-68.7199,17.0
Hydro,-39.2577,-68.7483,1200.0
Hydro,-34.61,-68.6136,14.4
Hydro,-25.2323,-64.4762,11.0
Hydro,-27.6589,-65.7633,24.0
Hydro,-32.1784,-64.4207,10.8
Hydro,-43.6996,-66.4815,60.0
Hydro,-43.1288,-71.63,472.0
Hydro,-33.0449,-68.9219,6.0
Hydro,-39.56,-65.6817,5.2
Hydro,-40.012,-69.9918,285.0
Hydro,-38.8367,-68.038,6.2
Hydro,-31.8708,-65.0349,16.0
Hydro,-24.4438,-65.2203,30.0
Hydro,-34.6,-68.5285,6.6
Hydro,-31.838,-64.4452,59.04
Hydro,-31.838,-64.4452,4.5
Hydro,-27.6509,-64.3618,2.5
Hydro,-34.6028,-68.6383,224.0
Hydro,-34.9907,-68.6237,74.24
Hydro,-34.9039,-68.6177,133.12
Hydro,-34.8821,-68.576,52.0
Hydro,-34.833,-68.5168,22.4
Hydro,-31.6651,-63.8314,1400.0
Hydro,-32.1675,-64.2438,6.3
Hydro,-28.5339,-65.7997,472.0
