Hvac Building.Country,Count of Hvac Building.Extremetemp,Latitude (generated),Longitude (generated)
USA,393,40.0792,-98.8164
Turkey,414,39.144,34.188
South Africa,415,-31.7,23.441
Singapore,415,1.3389,103.8297
Saudi Arabia,396,24.191,44.32
Mexico,383,22.925,-101.68
Israel,399,30.992,34.834
Indonesia,421,-0.739,114.045
Hong Kong,406,22.4114,114.0599
Germany,363,51.3819,9.9877
France,400,46.656,2.543
Finland,814,62.716,26.192
Egypt,406,26.16,28.742
China,425,35.1753,99.3877
Canada,380,59.2067,-111.1937
Brazil,406,-11.694,-48.978
Belgium,376,50.6745,4.4588
Australia,380,-24.578,133.582
Argentina,408,-33.166,-64.31
