BusID,bus_name,voltage,x,y,RegionName,color,geometry,index_right,NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE
1,GB1-220,220.0,-2.8957458,58.2568149,,red,POINT (-2.8957458 58.2568149),,,,,,,,,
2,GB10-275,275.0,-3.719714103,56.08813281,Devonside,green,POINT (-3.719714103 56.08813281),1386.0,UKM72,3.0,UK,Clackmannanshire and Fife,Clackmannanshire and Fife,4.0,1.0,1.0
3,GB11-275,275.0,-3.1796917,55.9246204,Whitehouse,red,POINT (-3.1796917 55.9246204),1466.0,UKM75,3.0,UK,"Edinburgh, City of","Edinburgh, City of",4.0,1.0,1.0
4,GB12-275,275.0,-3.1786274,55.9031338,Kaimes,red,POINT (-3.1786274 55.9031338),1466.0,UKM75,3.0,UK,"Edinburgh, City of","Edinburgh, City of",4.0,1.0,1.0
5,GB13-400,400.0,-2.93891761,55.88469412,Cockenzie,green,POINT (-2.93891761 55.88469412),1465.0,UKM73,3.0,UK,East Lothian and Midlothian,East Lothian and Midlothian,4.0,1.0,1.0
6,GB14-400,400.0,-4.5707774,55.8344676,Johnstone,red,POINT (-4.5707774 55.8344676),1456.0,UKM83,3.0,UK,"Inverclyde, East Renfrewshire and Renfrewshire","Inverclyde, East Renfrewshire and Renfrewshire",4.0,1.0,1.0
7,GB15-275,275.0,-4.1161377,55.79148895,Clydeâ€™s Mill,red,POINT (-4.1161377 55.79148895),1441.0,UKM95,3.0,UK,South Lanarkshire,South Lanarkshire,4.0,1.0,2.0
8,GB16-400,400.0,-1.803404057,55.0152563,Stella South,green,POINT (-1.803404057 55.0152563),1105.0,UKC21,3.0,UK,Northumberland,Northumberland,4.0,2.0,1.0
9,GB17-275,275.0,-1.409093389,54.75666396,Hart Moor,red,POINT (-1.409093389 54.75666396),1104.0,UKC14,3.0,UK,Durham CC,Durham CC,4.0,1.0,1.0
10,GB18-400,400.0,-2.91670123,54.02987179,Heysham,red,POINT (-2.91670123 54.02987179),1244.0,UKD44,3.0,UK,Lancaster and Wyre,Lancaster and Wyre,4.0,1.0,1.0
11,GB19-220,220.0,-3.6660007,54.015637,,red,POINT (-3.6660007 54.015637),,,,,,,,,
12,GB2-220,220.0,-2.8805172,58.2499453,,red,POINT (-2.8805172 58.2499453),,,,,,,,,
13,GB20-400,400.0,-2.755971765,54.01281882,Heysham,green,POINT (-2.755971765 54.01281882),1244.0,UKD44,3.0,UK,Lancaster and Wyre,Lancaster and Wyre,4.0,1.0,1.0
14,GB21-220,220.0,1.6306869,53.9394081,,red,POINT (1.6306869 53.9394081),,,,,,,,,
15,GB22-400,400.0,-2.933961224,53.87556701,Stanah,green,POINT (-2.933961224 53.87556701),1244.0,UKD44,3.0,UK,Lancaster and Wyre,Lancaster and Wyre,4.0,1.0,1.0
16,GB23-275,275.0,-1.2972567,53.8695026,Ferrybridge (_F),red,POINT (-1.2972567 53.8695026),1277.0,UKE22,3.0,UK,North Yorkshire CC,North Yorkshire CC,4.0,2.0,1.0
17,GB24-220,220.0,1.6376833,53.766543,,red,POINT (1.6376833 53.766543),,,,,,,,,
18,GB25-400,400.0,-1.8053122,53.7437311,Bradford West,red,POINT (-1.8053122 53.7437311),1363.0,UKE44,3.0,UK,Calderdale and Kirklees,Calderdale and Kirklees,4.0,1.0,3.0
19,GB26-275,275.0,-1.831285551,53.72329819,Elland,red,POINT (-1.831285551 53.72329819),1363.0,UKE44,3.0,UK,Calderdale and Kirklees,Calderdale and Kirklees,4.0,1.0,3.0
20,GB27-400,400.0,-2.4534812,53.7101582,Padiham,red,POINT (-2.4534812 53.7101582),1207.0,UKD41,3.0,UK,Blackburn with Darwen,Blackburn with Darwen,4.0,1.0,2.0
21,GB28-275,275.0,-1.804010541,53.67674115,Skelton Grange,green,POINT (-1.804010541 53.67674115),1363.0,UKE44,3.0,UK,Calderdale and Kirklees,Calderdale and Kirklees,4.0,1.0,3.0
22,GB29-275,275.0,-2.0685211,53.6559798,Rochdale,red,POINT (-2.0685211 53.6559798),1206.0,UKD37,3.0,UK,Greater Manchester North East,Greater Manchester North East,4.0,1.0,2.0
23,GB3-220,220.0,-2.9011666,58.2463135,,red,POINT (-2.9011666 58.2463135),,,,,,,,,
24,GB30-400,400.0,-0.7254893,53.6436974,Keadby,green,POINT (-0.7254893 53.6436974),1353.0,UKE13,3.0,UK,North and North East Lincolnshire,North and North East Lincolnshire,4.0,2.0,1.0
25,GB31-400,400.0,-1.0692832,53.6366337,Ferrybridge (_F),red,POINT (-1.0692832 53.6366337),1397.0,UKE31,3.0,UK,"Barnsley, Doncaster and Rotherham","Barnsley, Doncaster and Rotherham",4.0,1.0,2.0
26,GB32-400,400.0,-0.2943457,53.6272955,Grimsby West,green,POINT (-0.2943457 53.6272955),1353.0,UKE13,3.0,UK,North and North East Lincolnshire,North and North East Lincolnshire,4.0,2.0,1.0
27,GB33-400,400.0,-1.284845914,53.61097403,Ferrybridge (_M),red,POINT (-1.284845914 53.61097403),1154.0,UKE45,3.0,UK,Wakefield,Wakefield,4.0,1.0,2.0
28,GB34-400,400.0,-1.2528935,53.6096987,Ferrybridge (_M),red,POINT (-1.2528935 53.6096987),1154.0,UKE45,3.0,UK,Wakefield,Wakefield,4.0,1.0,2.0
29,GB35-400,400.0,-0.232903,53.5904792,Grimsby West,red,POINT (-0.232903 53.5904792),1353.0,UKE13,3.0,UK,North and North East Lincolnshire,North and North East Lincolnshire,4.0,2.0,1.0
30,GB36-400,400.0,-1.6134812,53.4963483,West Melton,red,POINT (-1.6134812 53.4963483),1397.0,UKE31,3.0,UK,"Barnsley, Doncaster and Rotherham","Barnsley, Doncaster and Rotherham",4.0,1.0,2.0
31,GB37-275,275.0,-1.2467417,53.444646,Thurcroft,red,POINT (-1.2467417 53.444646),1397.0,UKE31,3.0,UK,"Barnsley, Doncaster and Rotherham","Barnsley, Doncaster and Rotherham",4.0,1.0,2.0
32,GB38-220,220.0,0.8000813,53.4340319,,red,POINT (0.8000813 53.4340319),,,,,,,,,
33,GB39-400,400.0,-0.817995162,53.41570495,Staythorpe,red,POINT (-0.817995162 53.41570495),1112.0,UKF15,3.0,UK,North Nottinghamshire,North Nottinghamshire,4.0,1.0,2.0
34,GB4-220,220.0,-2.7128938,58.096774,,red,POINT (-2.7128938 58.096774),,,,,,,,,
35,GB40-275,275.0,-2.1051057,53.4041771,Bredbury,green,POINT (-2.1051057 53.4041771),1149.0,UKD35,3.0,UK,Greater Manchester South East,Greater Manchester South East,4.0,1.0,2.0
36,GB41-275,275.0,-1.4685122,53.3912009,Pitsmoor,red,POINT (-1.4685122 53.3912009),1398.0,UKE32,3.0,UK,Sheffield,Sheffield,4.0,1.0,2.0
37,GB42-275,275.0,-1.4472631,53.3369511,Norton Lees,red,POINT (-1.4472631 53.3369511),1398.0,UKE32,3.0,UK,Sheffield,Sheffield,4.0,1.0,2.0
38,GB43-400,400.0,-2.7440555,53.319391,Frodsham,red,POINT (-2.7440555 53.319391),1459.0,UKD71,3.0,UK,East Merseyside,East Merseyside,4.0,1.0,1.0
39,GB44-275,275.0,-2.819172467,53.27963175,Frodsham,red,POINT (-2.819172467 53.27963175),1458.0,UKD63,3.0,UK,Cheshire West and Chester,Cheshire West and Chester,4.0,1.0,1.0
40,GB46-220,220.0,0.7855224,53.2222743,,red,POINT (0.7855224 53.2222743),,,,,,,,,
41,GB47-400,400.0,-4.1704357,53.1498169,Pentir,green,POINT (-4.1704357 53.1498169),1371.0,UKL12,3.0,UK,Gwynedd,Gwynedd,2.0,3.0,1.0
42,GB48-400,400.0,-4.1561515,53.1406872,Pentir,red,POINT (-4.1561515 53.1406872),1371.0,UKL12,3.0,UK,Gwynedd,Gwynedd,2.0,3.0,1.0
43,GB49-400,400.0,-4.0977029,53.1225945,Pentir,green,POINT (-4.0977029 53.1225945),1371.0,UKL12,3.0,UK,Gwynedd,Gwynedd,2.0,3.0,1.0
44,GB5-220,220.0,-2.9917152,58.0575386,,red,POINT (-2.9917152 58.0575386),,,,,,,,,
45,GB50-400,400.0,-3.1479469,53.1167498,Legacy,green,POINT (-3.1479469 53.1167498),1175.0,UKL23,3.0,UK,Flintshire and Wrexham,Flintshire and Wrexham,4.0,1.0,1.0
46,GB51-400,400.0,-1.4045595,52.8381758,Willington,red,POINT (-1.4045595 52.8381758),1161.0,UKF13,3.0,UK,South and West Derbyshire,South and West Derbyshire,4.0,1.0,3.0
47,GB52-400,400.0,-0.0719683,52.8381432,,green,POINT (-0.0719683 52.8381432),1198.0,UKF30,3.0,UK,Lincolnshire,Lincolnshire,4.0,2.0,1.0
48,GB53-400,400.0,-1.514203018,52.82650701,Drakelow,red,POINT (-1.514203018 52.82650701),1161.0,UKF13,3.0,UK,South and West Derbyshire,South and West Derbyshire,4.0,1.0,3.0
49,GB54-400,400.0,-1.8397943,52.7277722,Rugeley,green,POINT (-1.8397943 52.7277722),1491.0,UKG24,3.0,UK,Staffordshire CC,Staffordshire CC,4.0,1.0,3.0
50,GB55-275,275.0,-2.1094118,52.6667274,Bushbury,red,POINT (-2.1094118 52.6667274),1491.0,UKG24,3.0,UK,Staffordshire CC,Staffordshire CC,4.0,1.0,3.0
51,GB56-400,400.0,-1.7507603,52.61627489,Hams Hall,red,POINT (-1.7507603 52.61627489),1491.0,UKG24,3.0,UK,Staffordshire CC,Staffordshire CC,4.0,1.0,3.0
52,GB57-400,400.0,-2.2407988,52.61180729,Bushbury,red,POINT (-2.2407988 52.61180729),1491.0,UKG24,3.0,UK,Staffordshire CC,Staffordshire CC,4.0,1.0,3.0
53,GB58-275,275.0,-1.7162298,52.39505819,Hams Hall,green,POINT (-1.7162298 52.39505819),1472.0,UKG32,3.0,UK,Solihull,Solihull,4.0,1.0,3.0
54,GB59-275,275.0,-2.1834417,52.39136439,Bishops Wood,green,POINT (-2.1834417 52.39136439),1304.0,UKG12,3.0,UK,Worcestershire,Worcestershire,4.0,2.0,3.0
55,GB6-220,220.0,-2.7300015,57.6863438,Macduff,red,POINT (-2.7300015 57.6863438),1195.0,UKM50,3.0,UK,Aberdeen City and Aberdeenshire,Aberdeen City and Aberdeenshire,4.0,2.0,1.0
56,GB60-275,275.0,-2.1426196,52.36271319,Bishops Wood,red,POINT (-2.1426196 52.36271319),1304.0,UKG12,3.0,UK,Worcestershire,Worcestershire,4.0,2.0,3.0
57,GB61-275,275.0,-2.1249941,52.33712359,Bishops Wood,red,POINT (-2.1249941 52.33712359),1304.0,UKG12,3.0,UK,Worcestershire,Worcestershire,4.0,2.0,3.0
58,GB62-220,220.0,2.5060803,52.24850499,,red,POINT (2.5060803 52.24850499),,,,,,,,,
59,GB63-400,400.0,0.7255421,52.00039309,Braintree,red,POINT (0.7255421 52.00039309),1399.0,UKH34,3.0,UK,Essex Haven Gateway,Essex Haven Gateway,4.0,2.0,1.0
60,GB64-220,220.0,1.4246125,51.99963089,Bramford,red,POINT (1.4246125 51.99963089),,,,,,,,,
61,GB65-400,400.0,-2.5976167,51.57876009,Iron Acton,red,POINT (-2.5976167 51.57876009),1340.0,UKK12,3.0,UK,"Bath and North East Somerset, North Somerset and South Gloucestershire","Bath and North East Somerset, North Somerset and South Gloucestershire",4.0,1.0,1.0
62,GB66-275,275.0,-3.143064416,51.54750643,Cardiff East,green,POINT (-3.143064416 51.54750643),1102.0,UKL22,3.0,UK,Cardiff and Vale of Glamorgan,Cardiff and Vale of Glamorgan,4.0,1.0,1.0
63,GB68-275,275.0,-3.07819122,51.52427984,Cardiff East,red,POINT (-3.07819122 51.52427984),1102.0,UKL22,3.0,UK,Cardiff and Vale of Glamorgan,Cardiff and Vale of Glamorgan,4.0,1.0,1.0
64,GB69-400,400.0,0.4716213,51.52161159,Tilbury,green,POINT (0.4716213 51.52161159),1174.0,UKH32,3.0,UK,Thurrock,Thurrock,4.0,1.0,1.0
