NUTS_ID,ONSname,Region,FID,Battery electric (Company),Battery electric (Private),Battery electric (Total),Plug-in hybrid electric (diesel) (Company),Plug-in hybrid electric (diesel) (Private),Plug-in hybrid electric (diesel) (Total),Plug-in hybrid electric (petrol) (Company),Plug-in hybrid electric (petrol) (Private),Plug-in hybrid electric (petrol) (Total),Range extended electric (Company),Range extended electric (Private),Range extended electric (Total),Total (Company),Total (Private),Total (Total),Shape__Area,Shape__Length,weight
UKC11,Hartlepool,North East,5,548,1173,1721,7,14,21,216,659,875,1,13,14,772,1859,2631,298649963.4062198,194400.1328786019,0.0018228073311357107
UKC12,Middlesbrough,North East,5,364,711,1075,3,8,11,97,422,519,2,12,14,466,1153,1619,298951068.2828217,141183.1570249163,0.0011216742946061253
UKC13,Darlington,North East,5,311,480,791,0,4,4,147,281,428,0,8,8,458,773,1231,197477753.555023,107202.299425244,0.0008528604426560471
UKC14,County Durham,North East,45,903,2402,3305,6,20,26,229,1273,1502,2,32,34,1140,3727,4867,2231432414.12584,315226.483631744,0.0033719510758789453
UKC21,Northumberland,North East,54,582,2133,2715,3,23,26,151,1255,1406,1,29,30,737,3440,4177,5032312670.59779,606236.97163611,0.0028939058236996822
UKC22,Newcastle upon Tyne,North East,1059,1712,3313,5025,16,35,51,543,1879,2422,2,54,56,2273,5281,7554,402511906.2332617,272320.462866943,0.005233556282553843
UKC23,Sunderland,North East,263,418,1001,1419,3,15,18,117,508,625,1,12,13,539,1536,2075,137436290.144424,99821.9690448938,0.001437599852568073
UKD11,Allerdale,North West,199,225,829,1054,0,10,10,70,552,622,0,17,17,295,1408,1703,2073839313.28543,725277.542575605,0.0011798711079149052
UKD12,Carlisle,North West,206,541,1294,1835,9,15,24,318,858,1176,2,35,37,870,2202,3072,4749702773.13474,928945.0731121569,0.002128340601006805
UKD33,Manchester,North West,243,1874,1195,3069,8,20,28,275,975,1250,4,29,33,2161,2219,4380,115648443.590103,86841.9510631882,0.0030345481225292335
UKD34,Salford,North West,495,1348,2418,3766,20,40,60,543,1687,2230,0,42,42,1911,4187,6098,203241864.41886902,123977.7585341666,0.004224811518534992
UKD35,Stockport,North West,495,78218,2351,80569,1032,40,1072,42269,1735,44004,25,48,73,121544,4174,125718,229194596.212738,129604.1441479128,0.08709984494706169
UKD36,Bolton,North West,491,1170,2374,3544,16,34,50,530,1655,2185,1,32,33,1717,4095,5812,327963055.470626,171325.9314541582,0.004026665225602718
UKD37,Bury,North West,731,1574,2330,3904,28,32,60,1013,1841,2854,1,40,41,2616,4243,6859,399933184.59166,222387.3496625499,0.004752046934344295
UKD41,Blackburn with Darwen,North West,8,311,498,809,18,4,22,161,363,524,0,3,3,490,868,1358,137022093.525848,65284.3735150369,0.0009408484818252738
UKD42,Blackpool,North West,9,301,307,608,2,6,8,61,197,258,0,6,6,364,516,880,34870852.2283325,34480.7839275111,0.0006096809013300743
UKD44,Lancaster,North West,293,468,1272,1740,5,19,24,124,670,794,2,29,31,599,1990,2589,849095731.823899,558232.348049699,0.001793708924481321
UKD45,Fylde,North West,580,1037,2354,3391,5,29,34,384,1454,1838,5,46,51,1431,3883,5314,1005585732.6747429,477080.6495991427,0.0036816412609863808
UKD46,Burnley,North West,572,716,1078,1794,7,16,23,261,781,1042,0,34,34,984,1909,2893,491111589.5623626,250871.34253109188,0.0020043259631226194
UKD47,Chorley,North West,289,736,1499,2235,12,23,35,202,892,1094,1,22,23,951,2436,3387,549395155.75711,341830.453279181,0.002346578650914729
