LAD21CD,LAD21NM,LAU121CD,LAU121NM,ITL321CD,ITL321NM,ITL221CD,ITL221NM,ITL121CD,ITL121NM,ObjectId
E06000001,Hartlepool,E06000001,Hartlepool,TLC11,Hartlepool and Stockton-on-Tees,TLC1,Tees Valley and Durham,TLC,North East (England),1
E06000004,Stockton-on-Tees,E06000004,Stockton-on-Tees,TLC11,Hartlepool and Stockton-on-Tees,TLC1,Tees Valley and Durham,TLC,North East (England),2
E06000002,Middlesbrough,E06000002,Middlesbrough,TLC12,South Teesside,TLC1,Tees Valley and Durham,TLC,North East (England),3
E06000003,Redcar and Cleveland,E06000003,Redcar and Cleveland,TLC12,South Teesside,TLC1,Tees Valley and Durham,TLC,North East (England),4
E06000005,Darlington,E06000005,Darlington,TLC13,Darlington,TLC1,Tees Valley and Durham,TLC,North East (England),5
E06000047,County Durham,E06000047,County Durham,TLC14,Durham,TLC1,Tees Valley and Durham,TLC,North East (England),6
E06000057,Northumberland,E06000057,Northumberland,TLC21,Northumberland,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),7
E08000021,Newcastle upon Tyne,E08000021,Newcastle upon Tyne,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),8
E08000022,North Tyneside,E08000022,North Tyneside,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),9
E08000023,South Tyneside,E08000023,South Tyneside,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),10
E08000037,Gateshead,E08000037,Gateshead,TLC22,Tyneside,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),11
E08000024,Sunderland,E08000024,Sunderland,TLC23,Sunderland,TLC2,"Northumberland, and Tyne and Wear",TLC,North East (England),12
E07000026,Allerdale,E07000026,Allerdale,TLD11,West Cumbria,TLD1,Cumbria,TLD,North West (England),13
E07000027,Barrow-in-Furness,E07000027,Barrow-in-Furness,TLD11,West Cumbria,TLD1,Cumbria,TLD,North West (England),14
E07000029,Copeland,E07000029,Copeland,TLD11,West Cumbria,TLD1,Cumbria,TLD,North West (England),15
E07000028,Carlisle,E07000028,Carlisle,TLD12,East Cumbria,TLD1,Cumbria,TLD,North West (England),16
E07000030,Eden,E07000030,Eden,TLD12,East Cumbria,TLD1,Cumbria,TLD,North West (England),17
E07000031,South Lakeland,E07000031,South Lakeland,TLD12,East Cumbria,TLD1,Cumbria,TLD,North West (England),18
E08000003,Manchester,E08000003,Manchester,TLD33,Manchester,TLD3,Greater Manchester,TLD,North West (England),19
E08000006,Salford,E08000006,Salford,TLD34,Greater Manchester South West,TLD3,Greater Manchester,TLD,North West (England),20
E08000009,Trafford,E08000009,Trafford,TLD34,Greater Manchester South West,TLD3,Greater Manchester,TLD,North West (England),21
E08000007,Stockport,E08000007,Stockport,TLD35,Greater Manchester South East,TLD3,Greater Manchester,TLD,North West (England),22
E08000008,Tameside,E08000008,Tameside,TLD35,Greater Manchester South East,TLD3,Greater Manchester,TLD,North West (England),23
E08000001,Bolton,E08000001,Bolton,TLD36,Greater Manchester North West,TLD3,Greater Manchester,TLD,North West (England),24
E08000010,Wigan,E08000010,Wigan,TLD36,Greater Manchester North West,TLD3,Greater Manchester,TLD,North West (England),25
E08000002,Bury,E08000002,Bury,TLD37,Greater Manchester North East,TLD3,Greater Manchester,TLD,North West (England),26
E08000004,Oldham,E08000004,Oldham,TLD37,Greater Manchester North East,TLD3,Greater Manchester,TLD,North West (England),27
E08000005,Rochdale,E08000005,Rochdale,TLD37,Greater Manchester North East,TLD3,Greater Manchester,TLD,North West (England),28
E06000008,Blackburn with Darwen,E06000008,Blackburn with Darwen,TLD41,Blackburn with Darwen,TLD4,Lancashire,TLD,North West (England),29
E06000009,Blackpool,E06000009,Blackpool,TLD42,Blackpool,TLD4,Lancashire,TLD,North West (England),30
E07000121,Lancaster,E07000121,Lancaster,TLD44,Lancaster and Wyre,TLD4,Lancashire,TLD,North West (England),31
E07000128,Wyre,E07000128,Wyre,TLD44,Lancaster and Wyre,TLD4,Lancashire,TLD,North West (England),32
E07000119,Fylde,E07000119,Fylde,TLD45,Mid Lancashire,TLD4,Lancashire,TLD,North West (England),33
E07000123,Preston,E07000123,Preston,TLD45,Mid Lancashire,TLD4,Lancashire,TLD,North West (England),34
E07000124,Ribble Valley,E07000124,Ribble Valley,TLD45,Mid Lancashire,TLD4,Lancashire,TLD,North West (England),35
E07000126,South Ribble,E07000126,South Ribble,TLD45,Mid Lancashire,TLD4,Lancashire,TLD,North West (England),36
E07000117,Burnley,E07000117,Burnley,TLD46,East Lancashire,TLD4,Lancashire,TLD,North West (England),37
E07000120,Hyndburn,E07000120,Hyndburn,TLD46,East Lancashire,TLD4,Lancashire,TLD,North West (England),38
E07000122,Pendle,E07000122,Pendle,TLD46,East Lancashire,TLD4,Lancashire,TLD,North West (England),39
E07000125,Rossendale,E07000125,Rossendale,TLD46,East Lancashire,TLD4,Lancashire,TLD,North West (England),40
