FID,ONScode,ONSname,Region,BodyType,Battery electric (Company),Battery electric (Private),Battery electric (Total),Plug-in hybrid electric (petrol) (Company),Plug-in hybrid electric (petrol) (Total),Total (Company),Total (Private),Total (Total),Shape__Area,Shape__Length
1,E06000001,Hartlepool,North East,Buses and coaches,0,0,0,0,0,0,0,0,93717028.4689178,70995.1737762769
2,E06000002,Middlesbrough,North East,Buses and coaches,0,0,0,0,0,0,0,0,53881558.2759247,44479.6463704945
3,E06000003,Redcar and Cleveland,North East,Buses and coaches,1,0,1,0,0,1,0,1,245069510.006897,96703.5106544218
4,E06000004,Stockton-on-Tees,North East,Buses and coaches,0,0,0,0,0,0,0,0,204932934.937302,123404.959102325
5,E06000005,Darlington,North East,Buses and coaches,0,0,0,0,0,0,0,0,197477753.555023,107202.299425244
6,E06000006,Halton,North West,Buses and coaches,0,0,0,0,0,0,0,0,79084021.970459,77769.8366156168
7,E06000007,Warrington,North West,Buses and coaches,0,0,0,0,0,0,0,0,180627983.012016,114688.093563908
8,E06000008,Blackburn with Darwen,North West,Buses and coaches,0,0,0,0,0,0,0,0,137022093.525848,65284.3735150369
9,E06000009,Blackpool,North West,Buses and coaches,0,0,0,0,0,0,0,0,34870852.2283325,34480.7839275111
10,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,Buses and coaches,0,0,0,0,0,0,0,0,71583595.6552734,64680.530906749
11,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,Buses and coaches,2,0,2,0,0,2,0,2,2404768954.86182,504120.094305933
12,E06000012,North East Lincolnshire,Yorkshire and The Humber,Buses and coaches,0,0,0,0,0,0,0,0,192622985.584915,93246.2876540841
13,E06000013,North Lincolnshire,Yorkshire and The Humber,Buses and coaches,6,0,6,0,0,6,0,6,846540125.376923,244546.761114545
14,E06000014,York,Yorkshire and The Humber,Buses and coaches,1,0,1,0,0,1,0,1,271931454.715424,102020.797435209
15,E06000015,Derby,East Midlands,Buses and coaches,0,0,0,0,0,0,0,0,78031107.3557892,50036.3185804889
16,E06000016,Leicester,East Midlands,Buses and coaches,14,0,14,0,0,14,0,14,73342034.1657257,51929.4942082033
17,E06000017,Rutland,East Midlands,Buses and coaches,0,0,0,0,0,0,0,0,393748938.333481,125879.320087916
18,E06000018,Nottingham,East Midlands,Buses and coaches,34,3,37,0,0,34,3,37,74613549.3099365,58723.7427401093
19,E06000019,"Herefordshire, County of",West Midlands,Buses and coaches,5,0,5,0,0,5,0,5,2179708317.85796,349869.988254535
20,E06000020,Telford and Wrekin,West Midlands,Buses and coaches,2,0,2,0,0,2,0,2,290313536.554543,118775.749483715
21,E06000021,Stoke-on-Trent,West Midlands,Buses and coaches,0,0,0,0,0,0,0,0,93448551.6496658,63971.3417170554
22,E06000022,Bath and North East Somerset,South West,Buses and coaches,0,0,0,0,0,0,0,0,351123167.510914,141674.070852301
23,E06000023,"Bristol, City of",South West,Buses and coaches,97,0,97,0,0,97,0,97,109666892.551918,109531.617064517
24,E06000024,North Somerset,South West,Buses and coaches,1,0,1,0,0,1,0,1,374637219.77409,154748.225043695
25,E06000025,South Gloucestershire,South West,Buses and coaches,18,0,18,0,0,18,0,18,497050998.431568,143098.847233425
26,E06000026,Plymouth,South West,Buses and coaches,0,1,1,0,0,0,1,1,79849695.3191061,92644.2442555715
27,E06000027,Torbay,South West,Buses and coaches,0,0,0,0,0,0,0,0,62886738.7989531,77909.5315513595
28,E06000030,Swindon,South West,Buses and coaches,0,0,0,0,0,0,0,0,230093343.90052,103011.758683882
29,E06000031,Peterborough,East of England,Buses and coaches,0,0,0,0,0,0,0,0,343378153.586609,112674.360200151
30,E06000032,Luton,East of England,Buses and coaches,0,0,0,0,0,0,0,0,43352485.6740799,34569.1847138739
31,E06000033,Southend-on-Sea,East of England,Buses and coaches,0,0,0,0,0,0,0,0,41673985.9965286,57782.8327652349
32,E06000034,Thurrock,East of England,Buses and coaches,0,0,0,0,0,0,0,0,163837060.033562,115990.648083053
33,E06000035,Medway,South East,Buses and coaches,4,0,4,0,0,4,0,4,193714210.347961,249512.121639654
34,E06000036,Bracknell Forest,South East,Buses and coaches,0,0,0,0,0,0,0,0,109384217.921951,62507.6688894678
35,E06000037,West Berkshire,South East,Buses and coaches,0,0,0,0,0,0,0,0,704182731.436508,166818.256909513
36,E06000038,Reading,South East,Buses and coaches,0,1,1,0,0,0,1,1,40397937.1150055,39327.6361285706
37,E06000039,Slough,South East,Buses and coaches,4,0,4,0,0,4,0,4,32542015.6781998,44179.9803340002
38,E06000040,Windsor and Maidenhead,South East,Buses and coaches,0,0,0,0,0,0,0,0,198427158.641678,114827.85425453
