FID,ONScode,ONSname,Region,BodyType,Battery electric (Company),Battery electric (Private),Battery electric (Total),Plug-in hybrid electric (diesel) (Company),Plug-in hybrid electric (diesel) (Private),Plug-in hybrid electric (diesel) (Total),Plug-in hybrid electric (petrol) (Company),Plug-in hybrid electric (petrol) (Private),Plug-in hybrid electric (petrol) (Total),Range extended electric (Company),Range extended electric (Private),Range extended electric (Total),Total (Company),Total (Private),Total (Total),Shape__Area,Shape__Length
1,E06000001,Hartlepool,North East,Cars,139,280,419,1,1,2,36,181,217,0,4,4,176,466,642,93717028.4689178,70995.1737762769
2,E06000002,Middlesbrough,North East,Cars,186,301,487,1,4,5,63,194,257,2,3,5,252,502,754,53881558.2759247,44479.6463704945
3,E06000003,Redcar and Cleveland,North East,Cars,178,410,588,2,4,6,34,228,262,0,9,9,214,651,865,245069510.006897,96703.5106544218
4,E06000004,Stockton-on-Tees,North East,Cars,409,893,1302,6,13,19,180,478,658,1,9,10,596,1393,1989,204932934.937302,123404.959102325
5,E06000005,Darlington,North East,Cars,311,480,791,0,4,4,147,281,428,0,8,8,458,773,1231,197477753.555023,107202.299425244
6,E06000006,Halton,North West,Cars,1193,532,1725,1,5,6,95,326,421,0,6,6,1289,869,2158,79084021.970459,77769.8366156168
7,E06000007,Warrington,North West,Cars,569,1424,1993,7,14,21,256,843,1099,2,20,22,834,2301,3135,180627983.012016,114688.093563908
8,E06000008,Blackburn with Darwen,North West,Cars,311,498,809,18,4,22,161,363,524,0,3,3,490,868,1358,137022093.525848,65284.3735150369
9,E06000009,Blackpool,North West,Cars,301,307,608,2,6,8,61,197,258,0,6,6,364,516,880,34870852.2283325,34480.7839275111
10,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,Cars,416,414,830,19,7,26,190,318,508,0,5,5,625,744,1369,71583595.6552734,64680.530906749
11,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,Cars,691,1888,2579,8,32,40,316,1441,1757,1,39,40,1016,3400,4416,2404768954.86182,504120.094305933
12,E06000012,North East Lincolnshire,Yorkshire and The Humber,Cars,343,446,789,2,10,12,158,320,478,0,8,8,503,784,1287,192622985.584915,93246.2876540841
13,E06000013,North Lincolnshire,Yorkshire and The Humber,Cars,400,651,1051,8,13,21,233,496,729,1,14,15,642,1174,1816,846540125.376923,244546.761114545
14,E06000014,York,Yorkshire and The Humber,Cars,434,1050,1484,1,8,9,199,672,871,1,19,20,635,1749,2384,271931454.715424,102020.797435209
15,E06000015,Derby,East Midlands,Cars,1525,943,2468,26,10,36,1508,666,2174,1,23,24,3060,1642,4702,78031107.3557892,50036.3185804889
16,E06000016,Leicester,East Midlands,Cars,2187,705,2892,34,10,44,3228,684,3912,2,29,31,5451,1428,6879,73342034.1657257,51929.4942082033
17,E06000017,Rutland,East Midlands,Cars,85,360,445,1,2,3,32,309,341,1,5,6,119,676,795,393748938.333481,125879.320087916
18,E06000018,Nottingham,East Midlands,Cars,661,789,1450,5,7,12,264,582,846,1,19,20,931,1397,2328,74613549.3099365,58723.7427401093
19,E06000019,"Herefordshire, County of",West Midlands,Cars,385,1307,1692,1,11,12,179,825,1004,0,44,44,565,2187,2752,2179708317.85796,349869.988254535
20,E06000020,Telford and Wrekin,West Midlands,Cars,430,917,1347,2,3,5,137,538,675,0,14,14,569,1472,2041,290313536.554543,118775.749483715
21,E06000021,Stoke-on-Trent,West Midlands,Cars,576,668,1244,9,4,13,212,464,676,5,11,16,802,1147,1949,93448551.6496658,63971.3417170554
