FID,ONScode,ONSname,Region,BodyType,Battery electric (Company),Battery electric (Private),Battery electric (Total),Plug-in hybrid electric (diesel) (Private),Plug-in hybrid electric (diesel) (Total),Plug-in hybrid electric (petrol) (Company),Plug-in hybrid electric (petrol) (Private),Plug-in hybrid electric (petrol) (Total),Range extended electric (Company),Range extended electric (Private),Range extended electric (Total),Total (Company),Total (Private),Total (Total),Shape__Area,Shape__Length
1,E06000001,Hartlepool,North East,Light goods vehicles,6,2,8,0,0,0,0,0,0,0,0,6,2,8,93717028.4689178,70995.1737762769
2,E06000002,Middlesbrough,North East,Light goods vehicles,23,3,26,0,0,1,0,1,0,0,0,24,3,27,53881558.2759247,44479.6463704945
3,E06000003,Redcar and Cleveland,North East,Light goods vehicles,39,6,45,0,0,0,0,0,1,0,1,40,6,46,245069510.006897,96703.5106544218
4,E06000004,Stockton-on-Tees,North East,Light goods vehicles,39,4,43,0,0,2,0,2,1,0,1,42,4,46,204932934.937302,123404.959102325
5,E06000005,Darlington,North East,Light goods vehicles,1179,4,1183,0,0,1,0,1,11,0,11,1191,4,1195,197477753.555023,107202.299425244
6,E06000006,Halton,North West,Light goods vehicles,207,4,211,0,0,0,0,0,0,0,0,207,4,211,79084021.970459,77769.8366156168
7,E06000007,Warrington,North West,Light goods vehicles,159,13,172,0,0,0,0,0,3,0,3,162,13,175,180627983.012016,114688.093563908
8,E06000008,Blackburn with Darwen,North West,Light goods vehicles,48,7,55,0,0,0,0,0,1,0,1,49,7,56,137022093.525848,65284.3735150369
9,E06000009,Blackpool,North West,Light goods vehicles,32,9,41,0,0,2,0,2,1,0,1,35,9,44,34870852.2283325,34480.7839275111
10,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,Light goods vehicles,91,9,100,0,0,0,0,0,1,0,1,92,9,101,71583595.6552734,64680.530906749
11,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,Light goods vehicles,52,19,71,0,0,1,1,2,1,0,1,54,20,74,2404768954.86182,504120.094305933
12,E06000012,North East Lincolnshire,Yorkshire and The Humber,Light goods vehicles,43,3,46,0,0,1,0,1,2,1,3,46,4,50,192622985.584915,93246.2876540841
13,E06000013,North Lincolnshire,Yorkshire and The Humber,Light goods vehicles,18,3,21,0,0,1,0,1,0,0,0,19,3,22,846540125.376923,244546.761114545
14,E06000014,York,Yorkshire and The Humber,Light goods vehicles,195,13,208,0,0,0,0,0,2,1,3,197,14,211,271931454.715424,102020.797435209
15,E06000015,Derby,East Midlands,Light goods vehicles,236,3,239,0,0,2,0,2,2,1,3,240,4,244,78031107.3557892,50036.3185804889
16,E06000016,Leicester,East Midlands,Light goods vehicles,57,4,61,0,0,0,0,0,50,0,50,107,4,111,73342034.1657257,51929.4942082033
17,E06000017,Rutland,East Midlands,Light goods vehicles,2,2,4,0,0,1,0,1,0,0,0,3,2,5,393748938.333481,125879.320087916
18,E06000018,Nottingham,East Midlands,Light goods vehicles,194,13,207,0,0,0,1,1,2,0,2,196,14,210,74613549.3099365,58723.7427401093
19,E06000019,"Herefordshire, County of",West Midlands,Light goods vehicles,27,11,38,0,0,4,0,4,1,0,1,32,11,43,2179708317.85796,349869.988254535
20,E06000020,Telford and Wrekin,West Midlands,Light goods vehicles,135,8,143,0,0,0,0,0,2,0,2,137,8,145,290313536.554543,118775.749483715
21,E06000021,Stoke-on-Trent,West Midlands,Light goods vehicles,111,3,114,0,0,1,0,1,1,0,1,113,3,116,93448551.6496658,63971.3417170554
22,E06000022,Bath and North East Somerset,South West,Light goods vehicles,69,29,98,0,0,1,0,1,3,0,3,73,29,102,351123167.510914,141674.070852301
23,E06000023,"Bristol, City of",South West,Light goods vehicles,624,31,655,0,0,1,0,1,3,0,3,628,31,659,109666892.551918,109531.617064517
