ONS_code,NUTS3_code
E06000001,['UKC11']
E06000002,['UKC12']
E06000003,['UKC12']
E06000004,['UKC11']
E06000005,['UKC13']
E06000006,['UKD71']
E06000007,['UKD61']
E06000008,['UKD41']
E06000009,['UKD42']
E06000010,['UKE11']
E06000011,['UKE12']
E06000012,['UKE13']
E06000013,['UKE13']
E06000014,['UKE21']
E06000015,['UKF11']
E06000016,['UKF21']
E06000017,['UKF22']
E06000018,['UKF14']
E06000019,['UKG11']
E06000020,['UKG21']
E06000021,['UKG23']
E06000022,['UKK12']
E06000023,['UKK11']
E06000024,['UKK12']
E06000025,['UKK12']
E06000026,['UKK41']
E06000027,['UKK42']
E06000030,['UKK14']
E06000031,['UKH11']
E06000032,['UKH21']
E06000033,['UKH31']
E06000034,['UKH32']
E06000035,['UKJ41']
E06000036,['UKJ11']
E06000037,['UKJ11']
E06000038,['UKJ11']
E06000039,['UKJ11']
E06000040,['UKJ11']
E06000041,['UKJ11']
E06000042,['UKJ12']
E06000043,['UKJ21']
E06000044,['UKJ31']
E06000045,['UKJ32']
E06000046,['UKJ34']
E06000047,['UKC14']
E06000049,['UKD62']
E06000050,['UKD63']
E06000051,['UKG22']
E06000052,['UKK30']
E06000053,['UKK30']
E06000054,['UKK15']
E06000055,['UKH24']
E06000056,['UKH25']
E06000057,['UKC21']
E06000058,['UKK24']
E06000059,['UKK25']
E06000060,['UKJ13']
E06000061,['UKF25']
E06000062,['UKF24']
E07000008,['UKH12']
E07000009,['UKH12']
E07000010,['UKH12']
E07000011,['UKH12']
E07000012,['UKH12']
E07000026,['UKD11']
E07000027,['UKD11']
E07000028,['UKD12']
E07000029,['UKD11']
E07000030,['UKD12']
E07000031,['UKD12']
E07000032,['UKF13']
E07000033,['UKF12']
E07000034,['UKF12']
E07000035,['UKF13']
E07000036,['UKF13']
E07000037,['UKF13']
E07000038,['UKF12']
E07000039,['UKF13']
E07000040,['UKK43']
E07000041,['UKK43']
E07000042,['UKK43']
E07000043,['UKK43']
E07000044,['UKK43']
E07000045,['UKK43']
E07000046,['UKK43']
E07000047,['UKK43']
E07000061,['UKJ22']
E07000062,['UKJ22']
E07000063,['UKJ22']
E07000064,['UKJ22']
E07000065,['UKJ22']
E07000066,['UKH37']
E07000067,['UKH34']
E07000068,['UKH36']
E07000069,['UKH37']
E07000070,['UKH36']
E07000071,['UKH34']
E07000072,['UKH35']
E07000073,['UKH35']
E07000074,['UKH36']
E07000075,['UKH37']
E07000076,['UKH34']
E07000077,['UKH35']
E07000078,['UKK13']
E07000079,['UKK13']
E07000080,['UKK13']
E07000081,['UKK13']
E07000082,['UKK13']
E07000083,['UKK13']
E07000084,['UKJ37']
E07000085,['UKJ36']
E07000086,['UKJ35']
E07000087,['UKJ35']
E07000088,['UKJ35']
E07000089,['UKJ37']
E07000090,['UKJ35']
E07000091,['UKJ36']
E07000092,['UKJ37']
E07000093,['UKJ36']
E07000094,['UKJ36']
E07000095,['UKH23']
E07000096,['UKH23']
E07000098,['UKH23']
E07000099,['UKH23']
E07000102,['UKH23']
E07000103,['UKH23']
E07000105,['UKJ45']
E07000106,['UKJ44']
E07000107,['UKJ43']
E07000108,['UKJ44']
E07000109,['UKJ43']
E07000110,['UKJ45']
E07000111,['UKJ46']
E07000112,['UKJ44']
E07000113,['UKJ43']
E07000114,['UKJ44']
E07000115,['UKJ46']
E07000116,['UKJ46']
E07000117,['UKD46']
E07000118,['UKD47']
E07000119,['UKD45']
E07000120,['UKD46']
E07000121,['UKD44']
E07000122,['UKD46']
E07000123,['UKD45']
E07000124,['UKD45']
E07000125,['UKD46']
E07000126,['UKD45']
E07000127,['UKD47']
E07000128,['UKD44']
E07000129,['UKF22']
E07000130,['UKF22']
E07000131,['UKF22']
E07000132,['UKF22']
E07000133,['UKF22']
E07000134,['UKF22']
E07000135,['UKF22']
E07000136,['UKF30']
E07000137,['UKF30']
E07000138,['UKF30']
E07000139,['UKF30']
E07000140,['UKF30']
E07000141,['UKF30']
E07000142,['UKF30']
E07000143,['UKH17']
E07000144,['UKH15']
E07000145,['UKH15']
E07000146,['UKH16']
E07000147,['UKH16']
E07000148,['UKH15']
E07000149,['UKH17']
E07000163,['UKE22']
E07000164,['UKE22']
E07000165,['UKE22']
E07000166,['UKE22']
E07000167,['UKE22']
E07000168,['UKE22']
E07000169,['UKE22']
E07000170,['UKF15']
E07000171,['UKF15']
E07000172,['UKF16']
E07000173,['UKF16']
E07000174,['UKF15']
E07000175,['UKF15']
E07000176,['UKF16']
E07000177,['UKJ14']
E07000178,['UKJ14']
E07000179,['UKJ14']
E07000180,['UKJ14']
E07000181,['UKJ14']
E07000187,['UKK23']
E07000188,['UKK23']
E07000189,['UKK23']
E07000192,['UKG24']
E07000193,['UKG24']
E07000194,['UKG24']
E07000195,['UKG24']
E07000196,['UKG24']
E07000197,['UKG24']
E07000198,['UKG24']
E07000199,['UKG24']
E07000200,['UKH14']
E07000202,['UKH14']
E07000203,['UKH14']
E07000207,['UKJ25']
E07000208,['UKJ26']
E07000209,['UKJ25']
E07000210,['UKJ26']
E07000211,['UKJ26']
E07000212,['UKJ25']
E07000213,['UKJ25']
E07000214,['UKJ25']
E07000215,['UKJ26']
E07000216,['UKJ25']
E07000217,['UKJ25']
E07000218,['UKG13']
E07000219,['UKG13']
E07000220,['UKG13']
E07000221,['UKG13']
E07000222,['UKG13']
E07000223,['UKJ27']
E07000224,['UKJ27']
E07000225,['UKJ27']
E07000226,['UKJ28']
E07000227,['UKJ28']
E07000228,['UKJ28']
E07000229,['UKJ27']
E07000234,['UKG12']
E07000235,['UKG12']
E07000236,['UKG12']
E07000237,['UKG12']
E07000238,['UKG12']
E07000239,['UKG12']
E07000240,['UKH23']
E07000241,['UKH23']
E07000242,['UKH23']
E07000243,['UKH23']
E07000244,['UKH14']
E07000245,['UKH14']
E07000246,['UKK23']
E08000001,['UKD36']
E08000002,['UKD37']
E08000003,['UKD33']
E08000004,['UKD37']
E08000005,['UKD37']
E08000006,['UKD34']
E08000007,['UKD35']
E08000008,['UKD35']
E08000009,['UKD34']
E08000010,['UKD36']
E08000011,['UKD71']
E08000012,['UKD72']
E08000013,['UKD71']
E08000014,['UKD73']
E08000015,['UKD74']
E08000016,['UKE31']
E08000017,['UKE31']
E08000018,['UKE31']
E08000019,['UKE32']
E08000021,['UKC22']
E08000022,['UKC22']
E08000023,['UKC22']
E08000024,['UKC23']
E08000025,['UKG31']
E08000026,['UKG33']
E08000027,['UKG36']
E08000028,['UKG37']
E08000029,['UKG32']
E08000030,['UKG38']
E08000031,['UKG39']
E08000032,['UKE41']
E08000033,['UKE44']
E08000034,['UKE44']
E08000035,['UKE42']
E08000036,['UKE45']
E08000037,['UKC22']
E09000001,['UKI31']
E09000002,['UKI52']
E09000003,['UKI71']
E09000004,['UKI51']
E09000005,['UKI72']
E09000006,['UKI61']
E09000007,['UKI31']
E09000008,['UKI62']
E09000009,['UKI73']
E09000010,['UKI54']
E09000011,['UKI51']
E09000012,['UKI41']
E09000013,['UKI33']
E09000014,['UKI43']
E09000015,['UKI74']
E09000016,['UKI52']
E09000017,['UKI74']
E09000018,['UKI75']
E09000019,['UKI43']
E09000020,['UKI33']
E09000021,['UKI63']
E09000022,['UKI45']
E09000023,['UKI44']
E09000024,['UKI63']
E09000025,['UKI41']
E09000026,['UKI53']
E09000027,['UKI75']
E09000028,['UKI44']
E09000029,['UKI63']
E09000030,['UKI42']
E09000031,['UKI53']
E09000032,['UKI34']
E09000033,['UKI32']
N09000001,['UKN0D']
N09000002,['UKN07']
N09000003,['UKN06']
N09000004,['UKN0C']
N09000005,['UKN0A']
N09000006,['UKN0G']
N09000007,['UKN0E']
N09000008,['UKN0F']
N09000009,['UKN0B']
N09000010,['UKN08']
N09000011,['UKN09']
S12000005,['UKM72']
S12000006,['UKM92']
S12000008,['UKM93']
S12000010,['UKM73']
S12000011,['UKM83']
S12000013,['UKM64']
S12000014,['UKM76']
S12000017,"['UKM61', 'UKM62', 'UKM63']"
S12000018,['UKM83']
S12000019,['UKM73']
S12000020,['UKM62']
S12000021,"['UKM63', 'UKM93']"
S12000023,['UKM65']
S12000026,['UKM91']
S12000027,['UKM66']
S12000028,['UKM94']
S12000029,['UKM95']
S12000030,['UKM77']
S12000033,['UKM50']
S12000034,['UKM50']
S12000035,"['UKM63', 'UKM81']"
S12000036,['UKM75']
S12000038,['UKM83']
S12000039,['UKM81']
S12000040,['UKM78']
S12000041,['UKM71']
S12000042,['UKM71']
S12000045,['UKM81']
S12000047,['UKM72']
S12000048,['UKM77']
S12000049,['UKM82']
S12000050,['UKM84']
W06000001,['UKL11']
W06000002,['UKL12']
W06000003,['UKL13']
W06000004,['UKL13']
W06000005,['UKL23']
W06000006,['UKL23']
W06000008,['UKL14']
W06000009,['UKL14']
W06000010,['UKL14']
W06000011,['UKL18']
W06000012,['UKL17']
W06000013,['UKL17']
W06000014,['UKL22']
W06000015,['UKL22']
W06000016,['UKL15']
W06000018,['UKL16']
W06000019,['UKL16']
W06000020,['UKL16']
W06000021,['UKL21']
W06000022,['UKL21']
W06000023,['UKL24']
W06000024,['UKL15']
