NUTS 3 CODE 2021,POPULATION
UKC11,290455
UKC12,277263
UKC13,106566
UKC14,526980
UKC21,320274
UKC22,858954
UKC23,277417
UKD11,233088
UKD12,265800
UKD33,547627
UKD34,490778
UKD35,516972
UKD36,611460
UKD37,645732
UKD41,148942
UKD42,139305
UKD44,255469
UKD45,392172
UKD46,331642
UKD47,230770
UKD61,209547
UKD62,380790
UKD63,340502
UKD71,458052
UKD72,494814
UKD73,275396
UKD74,323235
UKE11,260645
UKE12,339614
UKE13,331826
UKE21,209893
UKE22,614505
UKE31,820412
UKE32,582506
UKE41,537173
UKE42,789194
UKE44,648809
UKE45,345038
UKF11,257174
UKF12,285283
UKF13,510859
UKF14,331069
UKF15,474397
UKF16,348729
UKF21,355218
UKF22,737965
UKF24,402145
UKF25,345477
UKF30,755833
UKG11,192107
UKG12,592057
UKG13,571010
UKG21,177799
UKG22,320274
UKG23,255833
UKG24,875219
UKG31,1141374
UKG32,214909
UKG33,366785
UKG36,320626
UKG37,327378
UKG38,283378
UKG39,262008
UKH11,201041
UKH12,651482
UKH14,758556
UKH15,369971
UKH16,256363
UKH17,277346
UKH21,214109
UKH23,1184365
UKH24,171623
UKH25,283606
UKH31,182463
UKH32,172525
UKH34,489887
UKH35,306910
UKH36,318054
UKH37,362913
UKI31,270932
UKI32,255324
UKI33,341623
UKI34,326474
UKI41,631670
UKI42,317705
UKI43,509766
UKI44,620792
UKI45,325917
UKI51,533444
UKI52,469808
UKI53,580558
UKI54,333869
UKI61,331096
UKI62,385346
UKI63,586181
UKI71,392140
UKI72,330795
UKI73,341982
UKI74,554973
UKI75,467686
UKJ11,911403
UKJ12,268607
UKJ13,540059
UKJ14,687524
UKJ21,290395
UKJ22,554590
UKJ25,787500
UKJ26,402434
UKJ27,454471
UKJ28,404381
UKJ31,215133
UKJ32,252796
UKJ34,141538
UKJ35,459254
UKJ36,549898
UKJ37,367164
UKJ41,277855
UKJ43,364613
UKJ44,535919
UKJ45,299236
UKJ46,368855
UKK11,463405
UKK12,688669
UKK13,633558
UKK14,221996
UKK15,498064
UKK23,559399
UKK24,395784
UKK25,376484
UKK30,568210
UKK41,263100
UKK42,135780
UKK43,795286
UKL11,69961
UKL12,124178
UKL13,212511
UKL14,385615
UKL15,300314
UKL16,343781
UKL17,287782
UKL18,246466
UKL21,247444
UKL22,496413
UKL23,291719
UKL24,132447
UKM50,489030
UKM61,93605
UKM62,204376
UKM63,99374
UKM64,26830
UKM65,22190
UKM66,22990
UKM71,264790
UKM72,423310
UKM73,197130
UKM75,518500
UKM76,160340
UKM77,245620
UKM78,182140
UKM81,223326
UKM82,626410
UKM83,351110
UKM84,340180
UKM91,115270
UKM92,148790
UKM93,251219
UKM94,112550
UKM95,319020
UKN06,341877
UKN07,214090
UKN08,180012
UKN09,160864
UKN0A,150679
UKN0B,147392
UKN0C,144246
UKN0D,142492
UKN0E,144381
UKN0F,138773
UKN0G,116835
