NationalGridBmUnit,carrier,bus,lon,lat
IBG-EGEN1,interconnector,4969,0.6530000000000001,51.46000000000001
IBG-ENGI1,interconnector,4969,0.6530000000000001,51.46000000000001
IBG-RSQ1,interconnector,4969,0.6530000000000001,51.46000000000001
IVD-VKL1,interconnector,7909,-0.221,52.931
IVG-VKL1,interconnector,7909,-0.221,52.931
BFSE01,battery,6051,-1.22,52.585
AG-HLIM01,battery,5249,-1.494,51.598
AG-HLIM02,battery,5252,-1.194,50.852
AG-HLIM03,battery,5226,-1.99,51.616
AG-HLIM04,battery,5249,-1.494,51.598
BRGDG-1,fossil,6038,-0.508006,53.540993
AG-MFLX02,battery,6029,-1.247,53.398
AG-NHAV02,fossil,5913,-3.781,55.803
CMSTW-1,onwind,6443,-3.270129,58.406935
ROTHW-1,onwind,6448,-3.36,57.53
PAUHW-1,onwind,6448,-3.458196,57.451933
AG-PFLX01,battery,8020,-3.423,56.412
NSC-ATL01,hydro,6438,-4.491,57.468
LCSMH-1,cascade,6453,-5.073,56.829
KNLCV-1,hydro,6453,-4.95803,56.7129
CAIRW-2,onwind,6448,-3.063895,57.504968
MDHLW-1,onwind,6486,-2.482026,56.964685
TMNCW-1,onwind,6440,-3.9,57.391
DRAXD-2,biomass,6032,-0.996389,53.7358
ABERU-1,fossil,6049,-1.270137,53.090486
ABRTW-1,onwind,6441,-4.372559,58.430482
AIRSW-1,onwind,5914,-3.814161,55.51487
ARNKB-2,battery,4966,0.344,51.484
ASHWW-1,onwind,6452,-5.449219,56.065903
ASLVW-1,onwind,5911,-3.988675,55.621764
BARNB-1,battery,5999,-1.457,53.558
BETHW-1,onwind,6440,-3.966064,57.36209
BHOLB-1,battery,5229,-1.998,50.721
BLARW-1,onwind,5896,-5.636,55.564
BNWKW-1,onwind,6443,-3.21433,58.351973
BRDUW-1,onwind,5905,-4.141234,55.255156
BRGG-1,fossil,6042,-0.32959,53.442264
BRIDU-1,fossil,6037,-0.203475,54.086555
BROAB-1,battery,4962,0.33,51.413
BROFB-1,battery,4956,1.05,52.074
BRYBW-1,onwind,6451,-4.668919,57.22303
BTUIW-2,onwind,6451,-4.789059,57.17555556
BTUIW-3,onwind,6451,-4.789059,57.17555556
BURWB-1,battery,4950,0.316,52.279
CHAPB-1,battery,5240,-0.4963,51.9266
CLAC-1,hydro,6453,-4.918736,56.277573
CLAYB-1,battery,4961,0.298,51.552
CLAYB-2,battery,4961,0.298,51.552
CLFLW-1,onwind,6453,-4.957855,56.283062
CONTB-1,battery,5273,-0.162756,50.95526
CORB-1,fossil,5233,-0.86792,52.247983
COWE1,fossil,5207,-5.064697,50.373496
COWE2,fossil,5207,-5.064697,50.373496
CROYD-2,fossil,5270,-0.11637,51.37644
CRSSB-1,battery,5927,-2.959,53.481
DALSW-1,onwind,5917,-3.662819,55.183662
DBFRM-1,fossil,5252,-1.153879,50.861673
DERW-1,fossil,6049,-1.399444,52.905812
DIDC01G,fossil,5249,-1.26757,51.62363
DIDC02G,fossil,5249,-1.26757,51.62363
DIDC03G,fossil,5249,-1.26757,51.62363
DIDC04G,fossil,5249,-1.26757,51.62363
FASN3,hydro,6437,-4.793703,57.325887
FASN-4,hydro,6437,-4.793703,57.325887
FAWN-1,fossil,5253,-1.351433,50.830367
FDUNT-1,fossil,6010,-1.349033,53.071393
FELL-1,fossil,5253,-1.351433,50.830367
GDSTW-1,onwind,8013,-2.484139,57.460944
GFLDW-1,onwind,7946,-0.872421,53.668356
GLCHW-1,onwind,5893,-4.754334,54.96342
GLOFW-1,onwind,6448,-2.878418,57.219608
GRGRW-1,onwind,6466,-3.889,55.904
GYAR-1,fossil,5889,1.625977,52.596375
HBHDW-1,onwind,7469,-3.547456,55.815259
HLGLW-1,onwind,6448,-3.615587,57.51052
