,UnitID,name,type,Bus name,x,y,capacity,Technology,Cost,Start Year,Retired Year,Status
0,1,DRAXD-2,biomass,way/160580052-400,-0.996389,53.7358,2580.0,biomass,14.89361702,1975.0,,operating
1,2,MARK-1,biomass,way/1185489725-220,-3.603516,57.480403,30.0,biomass,14.89361702,,,shelved
2,3,TIBG-1,biomass,way/94530230-275,0.389,51.459,44.0,biomass,14.89361702,2028.0,,construction
3,4,DRAXX-1,biomass,GB30-400,-0.626221,53.748711,15.833333333333334,biomass,14.89361702,2027.0,,pre-construction
4,5,DRAXX-2,biomass,GB30-400,-0.626221,53.748711,15.833333333333334,biomass,14.89361702,2027.0,,pre-construction
5,6,DRAXX-3,biomass,GB30-400,-0.626221,53.748711,15.833333333333334,biomass,14.89361702,2027.0,,pre-construction
6,7,DRAXX-4,biomass,GB30-400,-0.626221,53.748711,15.833333333333334,biomass,14.89361702,2027.0,,pre-construction
7,8,DRAXX-5,biomass,GB30-400,-0.626221,53.748711,15.833333333333334,biomass,14.89361702,2027.0,,pre-construction
8,9,DRAXX-6,biomass,GB30-400,-0.626221,53.748711,15.833333333333334,biomass,14.89361702,2027.0,,pre-construction
9,10,biomass_0,biomass,way/203880168-275,-2.0103,52.6086,44.0,biomass,,2027.0,,pre-construction
10,11,biomass_27,biomass,way/91010711-400,0.4924,51.2931,43.0,biomass,,2008.0,,operating
11,12,biomass_120,biomass,way/292471784-400,-2.6687,51.5329,34.0,biomass,,2021.0,,operating
12,13,biomass_181,biomass,way/101312018-275,-1.4007,53.4204,30.0,biomass,,1921.0,,operating
13,14,biomass_199,biomass,GB32-400,-0.5092,53.5423,40.0,biomass,,2016.0,,operating
14,15,biomass_226,biomass,way/98788846-275,-3.1504,51.4711,30.0,biomass,,2015.0,,operating
15,16,biomass_352,biomass,way/111550033-400,-2.4638,55.9761,30.0,biomass,,2019.0,,operating
16,17,biomass_358,biomass,way/23132983-275,-0.0456,51.6121,70.0,biomass,,2025.0,,construction
17,18,biomass_369,biomass,way/25935453-400,0.1297,52.3979,38.0,biomass,,2000.0,,operating
18,19,biomass_401,biomass,way/193617444-275,-1.2869,53.7187,68.0,biomass,,2015.0,,operating
19,20,biomass_402,biomass,way/193617444-275,-1.2869,53.7187,70.0,biomass,,2019.0,,operating
20,21,biomass_450,biomass,way/311840838-275,-1.1991,54.6458,46.0,biomass,,,,shelved
21,22,biomass_788,biomass,way/89427607-400,-4.6186,53.3001,149.0,biomass,,,,cancelled
22,23,biomass_789,biomass,way/89427607-400,-4.6186,53.3001,150.0,biomass,,,,cancelled
23,24,biomass_1067,biomass,way/167621580-400,-1.9974,52.5074,35.0,biomass,,,,construction
24,25,biomass_1103,biomass,way/23232738-275,-0.5057,51.4861,37.0,biomass,,2010.0,,operating
25,26,biomass_1154,biomass,relation/7894975-400,-2.6375,53.785,42.0,biomass,,,,shelved
26,27,biomass_1155,biomass,relation/7894457-275,-2.4759,53.2646,70.0,biomass,,2025.0,,construction
27,28,biomass_1162,biomass,way/642490160,-1.520356,55.20475,140.0,biomass,,2015.0,,operating
28,29,biomass_1163,biomass,way/642490160,-1.520356,55.20475,140.0,biomass,,1972.0,2015.0,operating
29,30,biomass_1164,biomass,way/642490160,-1.520356,55.20475,140.0,biomass,,1972.0,2015.0,operating
30,31,biomass_1185,biomass,way/121820285-275,-3.7468,51.5632,40.0,biomass,,2019.0,,operating
31,32,biomass_1186,biomass,way/59736773-275,-3.1597,56.2018,55.0,biomass,,2015.0,,operating
32,33,biomass_1259,biomass,relation/13110368-275,-1.2801,52.7573,42.0,biomass,,2023.0,,operating
33,34,biomass_1273,biomass,way/167621580-400,-2.0288,52.5169,40.0,biomass,,2014.0,,operating
34,35,biomass_1319,biomass,way/376450057-400,-0.1991,52.5773,42.0,biomass,,,,shelved
