UnitID,unit_name,bus_name,x,y,capacity,technology,marginal_cost,carbon_intensity
6,BFSE01,way/90534270-400,-1.22,52.585,50,battery storage,0,
8,AG-HLIM02,way/4715504-400,-1.194,50.852,60,battery storage,0,
9,AG-HLIM03,way/95279334-400,-1.99,51.616,60,battery storage,0,
10,AG-HLIM04,way/263863442-400,-1.494,51.598,100,battery storage,0,
11,BRGDG-1,GB30-400,-0.508006,53.540993,100,gas,20.1,
12,AG-MFLX02,way/159736514-400,-1.247,53.398,50,battery storage,0,
13,AG-NHAV02,way/143383456-400,-3.781,55.803,50,gas,20.1,
15,ROTHW-1,way/1185489725-220,-3.36,57.53,50,onwind,1.5,
17,AG-PFLX01,way/59736773-275,-3.423,56.412,65,battery storage,0,
18,NSC-ATL01,way/68515955-400,-4.491,57.468,49.9,hydro,0,
20,KNLCV-1,way/307769998-275,-4.95803,56.7129,88,hydro,0,
21,CAIRW-2,way/1185489725-220,-3.063895,57.504968,24,onwind,1.5,
23,TMNCW-1,way/820229174-275,-3.9,57.391,75.9,onwind,1.5,
24,DRAXD-2,way/160580052-400,-0.996389,53.7358,39,biomass,14.89361702,
25,ABERU-1,relation/13110368-400,-1.270137,53.090486,3960,gas,20.1,
26,ABRTW-1,relation/8087295-275,-4.372559,58.430482,10,onwind,1.5,
27,AIRSW-1,way/284874050-275,-3.814161,55.51487,36,onwind,1.5,
28,ARNKB-2,way/94530230-275,0.344,51.484,35,battery storage,0,
29,ASHWW-1,way/307717807-275,-5.449219,56.065903,49.9,onwind,1.5,
30,ASLVW-1,way/143383456-400,-3.988675,55.621764,35,onwind,1.5,
31,BARNB-1,way/116539370-275,-1.457,53.558,25,battery storage,0,
32,BETHW-1,way/820229174-275,-3.966064,57.36209,52.5,onwind,1.5,
33,BHOLB-1,way/90099036-400,-1.998,50.721,40,battery storage,0,
34,BLARW-1,way/297840585-400,-5.636,55.564,29,onwind,1.5,
35,BNWKW-1,way/1262971878,-3.21433,58.351973,7.5,onwind,1.5,
36,BRDUW-1,way/143105488-275,-4.141234,55.255156,35,onwind,1.5,
37,BRGG-1,way/160279525-400,-0.32959,53.442264,22.5,gas,20.1,
38,BRIDU-1,way/635836276-275,-0.203475,54.086555,72,gas,20.1,
41,BRYBW-1,way/1263095953-400,-4.668919,57.22303,7.5,onwind,1.5,
42,BTUIW-2,way/1263095953-400,-4.789059,57.17555556,11,onwind,1.5,
43,BTUIW-3,way/1263095953-400,-4.789059,57.17555556,50,onwind,1.5,
44,BURWB-1,way/25935453-400,0.316,52.279,66.7,battery storage,0,
45,CHAPB-1,relation/7650368-400,-0.4963,51.9266,118,battery storage,0,
46,CLAC-1,way/307769998-275,-4.918736,56.277573,118,hydro,0,
47,CLAYB-1,way/494951597-400,0.298,51.552,348,battery storage,0,
48,CLAYB-2,way/494951597-400,0.298,51.552,50,battery storage,0,
49,CLFLW-1,way/307769998-275,-4.957855,56.283062,49.5,onwind,1.5,
50,CONTB-1,way/91082448-400,-0.162756,50.95526,40,battery storage,0,
51,CORB-1,way/88287125-400,-0.86792,52.247983,99,gas,20.1,
52,COWE1,relation/9572254-400,-5.064697,50.373496,99,gas,20.1,
53,COWE2,relation/9572254-400,-5.064697,50.373496,15,gas,20.1,
54,CROYD-2,way/23299362-400,-0.11637,51.37644,34,gas,20.1,
55,CRSSB-1,way/1153252242-275,-2.959,53.481,350,battery storage,0,
56,DALSW-1,way/472289073-275,-3.662819,55.183662,140,onwind,1.5,
57,DBFRM-1,way/4715504-400,-1.153879,50.861673,140,gas,20.1,
59,DIDC01G,way/263863442-400,-1.26757,51.62363,20,gas,20.1,
60,DIDC02G,way/263863442-400,-1.26757,51.62363,30,gas,20.1,
61,DIDC03G,way/263863442-400,-1.26757,51.62363,19.5,gas,20.1,
67,FELL-1,relation/9409219-400,-1.351433,50.830367,69,gas,20.1,
68,GDSTW-1,way/1190395478-220,-2.484139,57.460944,69,onwind,1.5,
70,GLCHW-1,way/148382435-275,-4.754334,54.96342,100,onwind,1.5,
72,GRGRW-1,way/308724719-275,-3.889,55.904,12.5,onwind,1.5,
73,GYAR-1,way/32227788-400,1.625977,52.596375,32.8,gas,20.1,
74,HBHDW-1,way/143383456-400,-3.547456,55.815259,27.5,onwind,1.5,
75,HLGLW-1,way/1185489725-220,-3.615587,57.51052,26,onwind,1.5,
76,HLTWW-1,way/1190395478-220,-2.406006,57.486309,36,onwind,1.5,
77,HRHLW-1,way/143383456-400,-4.054104,55.405691,430,onwind,1.5,
78,ILMEB-1,way/41710456-400,-0.892,51.741,51.7,battery storage,0,
79,JAMBB-1,way/59736773-275,-3.294,56.341,27.6,battery storage,0,
80,KLYN-A-1,way/635829123-400,0.380117,52.727256,48,gas,20.1,
81,LITRB-1,way/89699558-275,-3.33,56.104,43,battery storage,0,
82,LNMTH-1,way/642490160,-1.52083,55.20417,30,gas,20.1,
83,LNMTH-2,way/642490160,-1.52083,55.20417,49,gas,20.1,
84,LNMTH-3,way/642490160,-1.52083,55.20417,49,gas,20.1,
85,MANXENR-1,relation/7872518-400,0.89694,51.74139,50,load,0,
87,MDLWH-1,way/92529432-275,-2.42461,53.18726,49.5,gas,20.1,
88,MINSW-1,way/676646876-400,-3.47168,55.040614,420,onwind,1.5,
89,MOYEW-1,way/820229174-275,-4.064872,57.390303,420,onwind,1.5,
90,NEWTB-1,way/123866712-275,-1.327,53.138,420,battery storage,0,
92,PETDG-1,way/376450057-400,-0.2037977,52.575703,55,gas,20.1,
94,PILLB-2,way/33917128-275,-0.407,53.796,36.8,battery storage,0,
95,RHEI-4,way/89573357-400,-3.9,52.396,66,hydro,0,
96,ROOSB-1,GB22-400,-3.189,54.105,50,battery storage,0,
97,SEVIU-1,way/42800878-400,-2.9983234,51.5877364,245,gas,20.1,
98,SHOS-1,way/91082448-400,-0.252686,50.882243,50,gas,20.1,
99,SKELB-1,way/81098733-275,-2.775,53.553,98,battery storage,0,
100,SOLUU-1,relation/9409219-400,-1.2764,50.7459,98,gas,20.1,
101,TAYL2G,way/49601061-400,-0.2575,51.546,49,gas,20.1,
102,TAYL3G,way/49601061-400,-0.2575,51.546,49,gas,20.1,
103,TIBG-1,way/94530230-275,0.389,51.459,10,biomass,14.89361702,
105,THRNL-1,GB28-275,-1.654722222,53.67722222,50,gas,20.1,
107,TULWW-1,way/111528318-220,-2.581787,56.662265,140,onwind,1.5,
108,TULWW-2,way/111528318-220,-2.581787,56.662265,140,onwind,1.5,
110,I2D-ALEU1,relation/7872518-400,0.864538462,51.80807692,49,interconnector,0,
111,I2D-ALIP1,relation/7872518-400,0.864538462,51.80807692,40,interconnector,0,
112,I2D-ARON1,relation/7872518-400,0.864538462,51.80807692,49.5,interconnector,0,
113,I2D-AXPO1,relation/7872518-400,0.864538462,51.80807692,42.5,interconnector,0,
114,I2D-BDEN1,relation/7872518-400,0.864538462,51.80807692,42.5,interconnector,0,
115,I2D-BKWE1,relation/7872518-400,0.864538462,51.80807692,50,interconnector,0,
745,AKGLW-3,way/148382435-275,-4.713441,54.970896,152.5,onwind,1.5,
746,ANSUW-1,way/125860302-275,-4.63623,55.14121,152.5,onwind,1.5,
748,BEINW-1,way/68515955-400,-4.42749,58.077876,42.6,onwind,1.5,
749,BHLAW-1,way/284874050-275,-4.033976,55.117955,50,onwind,1.5,
752,BURWS-1,way/25935453-400,0.302,52.283,19.3,solar,0.01,
753,BUSTB-1,way/167621580-400,-2.02,52.549,120,battery storage,0,
754,CARR-1,way/92529432-275,-2.504883,53.455349,588,gas,20.1,
755,CARR-2,way/92529432-275,-2.504883,53.455349,588,gas,20.1,
756,CDCL-1,way/143905069-275,-0.86792,53.219191,588,gas,20.1,
757,CGTHW-1,way/820229174-275,-4.359638,57.190085,108.8,onwind,1.5,
758,CNQPS-1,GB50-400,-3.080651,53.231871,108,gas,20.1,
759,CNQPS-2,GB50-400,-3.080651,53.231871,52.9,gas,20.1,
760,CNQPS-3,GB50-400,-3.080651,53.231871,188,gas,20.1,
761,CNQPS-4,GB50-400,-3.080651,53.231871,188,gas,20.1,
762,COUWW-1,way/297840585-400,-5.484929,55.680679,90,onwind,1.5,
763,COWB-1,way/23059230-400,-1.189058,51.709925,348,battery storage,0,
764,CREAW-1,way/68515955-400,-4.504,58.21,49.8,onwind,1.5,
765,CRGHW-1,way/1307462736-275,-4.790039,56.389584,49.9,onwind,1.5,
766,CRMLW-1,way/239248206-400,-4.838531,57.694245,884,onwind,1.5,
767,CRUA-1,way/1214332448-275,-3.966064,53.080827,884,PHS,0,
769,CRUA-3,way/1214332448-275,-3.966064,53.080827,445,PHS,0,
770,CRUA-4,way/1214332448-275,-3.966064,53.080827,69.5,PHS,0,
771,CRYRW-2,way/97551523-400,-2.39502,55.893796,1380,onwind,1.5,
772,CRYRW-3,way/97551523-400,-2.39502,55.893796,1380,onwind,1.5,
