LineID,bus0,bus1,voltage,s_nom,r,x,b,length,under_construction
1,way/1307462736-275,way/86071326-275,275,921.668,2.200334,14.577213,0.00022811,55008.35,f
2,relation/7881280-400,relation/13110369-400,400,3574.953,0.420393,3.447219,0.00024301,28026.17,f
3,way/101077623-275,GB41-275,275,1843.335,0.046871,0.310518,1.94e-05,2343.53,f
4,way/95279334-400,way/103915328-400,400,3574.953,0.425859,3.492045,0.00024617,28390.61,f
5,way/111528318-220,GB8-220,220,1474.668,1.584632,7.949573,0.00093343,79231.62,f
6,way/292371992-275,way/48876730-275,275,921.668,0.740692,4.907082,7.68e-05,18517.29,f
7,way/292371992-400,way/48876730-400,400,1787.476,0.555003,4.551025,8.02e-05,18500.1,f
8,way/796648851-275,GB42-275,275,921.668,0.085154,0.564143,8.83e-06,2128.84,f
9,way/95338682-400,way/127184694-400,400,3574.953,0.702368,5.759421,0.00040601,46824.56,f
10,way/143398451-400,way/297840585-400,400,3574.953,0.526429,4.316717,0.0003043,35095.26,f
11,GB10-275,way/89836009-275,275,1843.335,0.035313,0.233946,1.46e-05,1765.63,f
12,GB64-220,way/25422135-220,220,491.556,2.198696,11.030127,0.0001439,36644.94,f
13,way/1153252242-275,way/153884024-275,275,921.668,0.499264,3.307621,5.18e-05,12481.59,f
14,way/142841192-400,GB25-400,400,1787.476,0.341155,2.79747,4.93e-05,11371.83,f
15,GB47-400,GB48-400,400,1787.476,0.041866,0.343305,6.05e-06,1395.55,f
16,way/102198808-400,GB16-400,400,3574.953,1.429,11.717799,0.00082604,95266.66,f
17,way/34205588-400,way/49922626-400,400,3574.953,0.602754,4.942583,0.00034842,40183.6,f
18,way/681875115-400,GB83-400,400,3574.953,0.038773,0.317937,2.24e-05,2584.85,f
19,way/25629803-400,way/209404646-400,400,3574.953,1.300409,10.663353,0.00075171,86693.93,f
20,way/90539508-400,way/101077623-400,400,1787.476,0.385506,3.161152,5.57e-05,12850.21,f
21,way/91010711-400,way/16582436-400,400,3574.953,0.089632,0.73498,5.18e-05,5975.45,f
22,way/1252341626-275,GB10-275,275,1843.335,1.571281,10.409739,0.0006516,78564.07,f
23,way/109730296-275,way/227495569-275,275,921.668,0.089792,0.594869,9.31e-06,2244.79,f
24,GB57-400,relation/7886014-400,400,3574.953,0.31405,2.57521,0.00018154,20936.67,f
25,relation/7886014-400,way/92458761-400,400,3574.953,0.370674,3.03953,0.00021427,24711.63,f
26,way/92529432-275,way/92737152-275,275,1843.335,0.170226,1.12775,7.06e-05,8511.32,f
27,relation/9598269-400,way/92419253-400,400,1787.476,0.931308,7.636726,0.00013459,31043.6,f
28,way/123037622-275,way/121820285-275,275,921.668,0.256442,1.698931,2.66e-05,6411.06,f
29,way/163036722-275,GB29-275,275,921.668,0.495854,3.285035,5.14e-05,12396.36,f
30,way/109463536-275,GB23-275,275,1843.335,0.476924,3.15962,0.00019778,23846.19,f
31,relation/10925187-275,way/90547674-275,275,1843.335,0.324193,2.147781,0.00013444,16209.67,f
32,way/43472283-275,way/43303585-275,275,921.668,0.469875,3.112923,4.87e-05,11746.88,f
33,way/43472283-400,way/43303585-400,400,1787.476,0.351126,2.879233,5.07e-05,11704.2,f
34,way/109730296-400,way/43303585-400,400,1787.476,0.306191,2.510765,4.43e-05,10206.36,f
35,way/227495569-275,way/43303585-275,275,921.668,0.308569,2.044271,3.2e-05,7714.23,f
36,way/193617444-400,way/313495269-400,400,3574.953,0.172143,1.41157,9.95e-05,11476.18,f
37,way/43303585-275,way/311840838-275,275,1843.335,0.153862,1.019336,6.38e-05,7693.1,f
38,way/97561542-275,way/227495569-275,275,1843.335,0.078805,0.522084,3.27e-05,3940.26,f
39,relation/9598269-400,way/159038999-400,400,3574.953,0.320467,2.627827,0.00018525,21364.45,f
40,way/4746208-275,way/4797228-275,275,1843.335,0.220839,1.463058,9.16e-05,11041.95,f
41,GB73-400,way/16582436-400,400,3574.953,0.066921,0.548751,3.87e-05,4461.39,f
42,way/90547674-400,GB25-400,400,1787.476,1.194772,9.797134,0.00017266,39825.75,f
43,way/142841192-275,way/90547674-275,275,921.668,2.048187,13.569238,0.00021234,51204.67,f
44,GB59-275,GB60-275,275,921.668,0.171544,1.136482,1.78e-05,4288.61,f
45,way/101365758-275,GB71-275,275,921.668,0.213254,1.412805,2.21e-05,5331.34,f
46,way/25492769-275,way/142841192-275,275,1843.335,0.437078,2.895643,0.00018125,21853.91,f
47,GB30-400,way/701436399-400,400,3574.953,0.514235,4.216725,0.00029725,34282.32,f
48,way/32075668-275,way/27332350-275,275,1843.335,0.062506,0.414102,2.59e-05,3125.3,f
49,way/28194931-275,way/167621580-275,275,1843.335,0.160732,1.06485,6.67e-05,8036.6,f
50,relation/7879831-275,way/295657862-275,275,921.668,0.726721,4.814528,7.53e-05,18168.03,f
51,way/295657862-275,way/121820285-275,275,921.668,0.502896,3.331686,5.21e-05,12572.4,f
52,way/97256377-400,relation/7894457-400,400,3574.953,0.202031,1.656654,0.00011678,13468.73,f
53,way/624256368-275,way/232319495-275,275,1843.335,0.369708,2.449316,0.00015331,18485.4,f
54,way/163036722-400,way/193617444-400,400,1787.476,2.21603,18.171444,0.00032025,73867.66,f
55,GB28-275,way/193617444-275,275,921.668,1.729448,11.457593,0.0001793,43236.2,f
56,way/167621580-275,way/25784732-275,275,921.668,0.221901,1.470093,2.3e-05,5547.52,f
57,GB56-400,way/49499923-400,400,1787.476,0.30142,2.471646,4.36e-05,10047.34,f
58,way/23059230-400,way/92340133-400,400,3574.953,0.549112,4.502716,0.00031742,36607.45,f
59,GB60-275,GB61-275,275,921.668,0.13643,0.903849,1.41e-05,3410.75,f
60,way/92458761-275,GB55-275,275,921.668,0.73544,4.87229,7.62e-05,18386.0,f
61,GB54-400,way/87204522-400,400,1787.476,0.447419,3.668834,6.47e-05,14913.96,f
62,GB57-400,GB54-400,400,1787.476,0.945815,7.755684,0.00013668,31527.17,f
63,GB55-275,way/87204522-275,275,921.668,1.404056,9.301874,0.00014556,35101.41,f
64,way/142845284-400,GB47-400,400,1787.476,0.937653,7.688757,0.0001355,31255.11,f
65,way/94543520-275,relation/7896785-275,275,1843.335,0.075282,0.498742,3.12e-05,3764.09,f
66,way/90534270-400,way/92340133-400,400,3574.953,1.291144,10.587379,0.00074635,86076.25,f
67,way/89038614-400,way/314338790-400,400,3574.953,2.033599,16.675516,0.00117553,135573.3,f
68,GB65-400,way/884174267-400,400,3574.953,0.395616,3.24405,0.00022869,26374.39,f
69,way/49499923-275,way/55284068-275,275,921.668,0.808898,5.358952,8.39e-05,20222.46,f
70,way/4746208-400,way/31015820-400,400,1787.476,0.592694,4.860094,8.57e-05,19756.48,f
