LinkID,name,bus0,bus1,voltage,p_nom,length,under_construction
1,relation/10377412-320-DC,way/753113423,way/636630368-400,320,1000,230137.18,f
2,relation/13295785-515-DC,relation/12832053,way/642490160,515,1400,723362.06,f
3,relation/14126301-450-DC,way/109189896,way/920127890,450,1000,253393.42,f
4,relation/15772117-320-DC,way/775577829-400,way/775577827,320,1000,51576.89,f
5,relation/15775538-600-DC,way/297840585,way/375626500-400,600,2250,397643.5,f
6,relation/15777152-320-DC,way/1262971878,way/975637991,320,600,282108.95,f
7,relation/15781671-525-DC,way/1078532568-400,way/1101832649,525,1400,740934.57,f
8,relation/2127794-270-DC,way/23281217-400,way/1271288346,270,2000,69019.25,f
9,relation/6914309-500-DC,way/137050527-275,way/148382435,500,500,61383.39,f
10,relation/8099179-320-DC,way/1262971878,way/568527671,320,1200,161431.49,f
11,relation/8184641-400-DC,way/536905500-400,way/260836695,400,500,254728.97,f
12,relation/8185487-400-DC,relation/10695345-400,way/500788534,400,1000,139235.71,f
