bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
AL1-220,220,f,Substation,f,AL1,20.111702399999995,42.09679778825765,AL,POINT (20.111702399999995 42.09679778825765)
AL10-220,220,f,Substation,f,AL10,19.522149214338864,40.47844442711058,AL,POINT (19.522149214338864 40.47844442711058)
AL2-220,220,f,Substation,f,AL2,20.031168199999996,42.06905038823308,AL,POINT (20.031168199999993 42.06905038823308)
AL3-400,400,f,Substation,f,AL3,19.6524948,42.01083068818158,AL,POINT (19.652494799999996 42.01083068818158)
AL4-220,220,f,Substation,f,AL4,19.9728498,41.58477058780021,AL,POINT (19.9728498 41.58477058780021)
AL6-220,220,f,Substation,f,AL6,20.062488025828696,41.090349420530686,AL,POINT (20.062488025828696 41.090349420530686)
AL6-400,400,f,Substation,f,AL6,20.06276861612444,41.090513896692464,AL,POINT (20.062768616124437 41.090513896692464)
AL7-220,220,f,Substation,f,AL7,20.335527199999994,40.743486987027154,AL,POINT (20.335527199999994 40.743486987027154)
AL8-400,400,f,Substation,f,AL8,20.884201182934625,40.701204021531765,AL,POINT (20.884201182934625 40.701204021531765)
AL9-220,220,f,Substation,f,AL9,19.436613399999988,40.48989308678916,AL,POINT (19.436613399999988 40.48989308678916)
AT1-220,220,f,Substation,f,AT1,16.807409099999997,48.709908893099936,AT,POINT (16.807409099999997 48.709908893099936)
AT10-220,220,f,Substation,f,AT10,13.212633099999994,47.33037659226291,AT,POINT (13.212633099999994 47.33037659226291)
AT11-220,220,f,Substation,f,AT11,11.102717899999998,47.2939608922396,AT,POINT (11.102717899999998 47.2939608922396)
AT12-380,380,f,Substation,f,AT12,16.166649699999997,47.27073429222466,AT,POINT (16.166649699999997 47.27073429222466)
AT13-380,380,f,Substation,f,AT13,15.9900061,47.25702409221586,AT,POINT (15.9900061 47.25702409221586)
AT14-380,380,f,Substation,f,AT14,12.721714200000005,47.200209192179166,AT,POINT (12.721714200000005 47.200209192179166)
AT15-220,220,f,Substation,f,AT15,11.967221299999997,47.14646109214436,AT,POINT (11.967221299999995 47.14646109214436)
AT16-220,220,f,Substation,f,AT16,14.783599800000008,47.14453139214312,AT,POINT (14.783599800000008 47.14453139214312)
AT17-380,380,f,Substation,f,AT17,15.75356160000001,47.03522759207177,AT,POINT (15.75356160000001 47.03522759207177)
AT18-220,220,f,Substation,f,AT18,10.06077299999999,46.93462749200565,AT,POINT (10.06077299999999 46.93462749200565)
AT19-220,220,f,Substation,f,AT19,13.34330582737483,46.89540874681433,AT,POINT (13.34330582737483 46.89540874681433)
AT2-380,380,f,Substation,f,AT2,16.514803833651854,48.34073676446175,AT,POINT (16.514803833651854 48.340736764461745)
AT20-220,220,f,Substation,f,AT20,14.1721583,46.54846409174725,AT,POINT (14.1721583 46.54846409174725)
AT3-380,380,f,Substation,f,AT3,13.104370600000006,48.22683169281735,AT,POINT (13.104370600000006 48.22683169281735)
AT4-220,220,f,Substation,f,AT4,14.711651300000003,48.13041929275959,AT,POINT (14.711651300000003 48.13041929275959)
