converter_id,bus0,bus1,voltage,p_nom,geometry
conv-relation/10629005,relation/10629005,relation/10629005-400,300,700,'LINESTRING (15.853991714108142 56.767083272433375, 15.853991714108187 56.76708327427821)'
conv-relation/10695345,relation/10695345,relation/10695345-400,400,1000,'LINESTRING (1.3456388979917795 51.3098781414565, 1.3456388979917684 51.30987814424089)'
conv-relation/11981383,relation/11981383,relation/8894066-420,450,700,'LINESTRING (6.865913763398876 58.282510422352445, 6.848224705554573 58.27622463397408)'
conv-relation/12832053,relation/12832053,relation/12832053-420,515,1400,'LINESTRING (6.654776609920736 59.530100593739064, 6.654956104800672 59.52990729398316)'
conv-relation/14939275,relation/14939275,relation/14939275-400,450,600,'LINESTRING (14.84028235523815 56.153014740700364, 14.840282355238154 56.15301474262474)'
conv-relation/7928148,relation/7928148,relation/7928148-420,500,1640,'LINESTRING (7.900400664968465 58.259749812088664, 7.9005754406029824 58.25984794935619)'
conv-relation/8890887,relation/8890887,relation/8890887-420,525,1400,'LINESTRING (6.7544309946114405 58.669060406684764, 6.753734136337635 58.66987420117838)'
conv-way/103386958,way/103386958,way/103386958-380,400,500,'LINESTRING (18.1307852664905 40.16412834288651, 18.130649762049586 40.16404321510287)'
conv-way/1078532568,way/1078532568,way/1078532568-400,525,1400,'LINESTRING (-0.2365005345670103 52.9209925331145, -0.2366345394689085 52.92088491851833)'
conv-way/109189896,way/109189896,way/143783006-400,450,1000,'LINESTRING (0.7161575436002887 51.44049829914561, 0.7154747178344087 51.44475983920318)'
conv-way/1101832649,way/1101832649,way/1101832649-400,525,1400,'LINESTRING (9.1679769052874 55.505082071601, 9.166902132447941 55.50477998599194)'
conv-way/1158716725,way/1158716725,way/1158716725-380,500,1000,'LINESTRING (12.806985991114674 41.42980383291617, 12.806917359340522 41.42904030788352)'
conv-way/1258230090,way/1258230090,way/1258230062-380,320,1000,'LINESTRING (5.667676318778776 50.752997470761166, 5.668251720879107 50.75449334222949)'
conv-way/1262323677,way/1262323677,way/27674611-400,150,350,'LINESTRING (24.55164507361117 60.2037477147384, 24.550466328157118 60.205036905524295)'
conv-way/1262324052,way/1262324052,way/34968224-330,150,350,'LINESTRING (24.559909084448307 59.384917628530296, 24.559435860445696 59.383621652159675)'
conv-way/1262971878,way/1262971878,way/1262971878-275,320,1800,'LINESTRING (-3.452184943694071 58.47996790376149, -3.4519740787330475 58.479187912905694)'
conv-way/1265528535,way/1265528535,way/1265528535-330,450,650,'LINESTRING (27.068157587798307 59.370477792033086, 27.065908177545776 59.36888204830358)'
conv-way/1265541077,way/1265541077,way/1265541077-400,300,1200,'LINESTRING (14.655343792486 57.74793282640782, 14.656427636494929 57.74873715107569)'
conv-way/1271288346,way/1271288346,way/1271288345-400,270,2000,'LINESTRING (1.7820027522149031 50.90345900241787, 1.7833534879190611 50.90279809063725)'
conv-way/1271587268,way/1271587268,way/330079127-400,350,940,'LINESTRING (9.566189756251017 56.47949633953996, 9.566672107736062 56.47798038703374)'
conv-way/1271587272,way/1271587272,way/330079127-400,500,700,'LINESTRING (9.56421599658554 56.47842834956438, 9.566672107736062 56.47798038703374)'
conv-way/1275744416,way/1275744416,way/1275744416-400,500,800,'LINESTRING (17.063499290470876 60.425539004588266, 17.061833629882727 60.42510324934678)'
conv-way/1275744419,way/1275744419,way/1275744419-400,500,1300,'LINESTRING (21.626137663639852 61.152109048186276, 21.624219302700272 61.15248297906163)'
conv-way/1302589312,way/1302589312,way/28390455-400,450,600,'LINESTRING (13.146260139778773 55.50067450660604, 13.145263683474314 55.50211847089152)'
conv-way/131323212,way/131323212,way/347643820-220,250,400,'LINESTRING (2.5063699330963236 39.53390099135345, 2.5092145861659554 39.5362341451124)'
conv-way/136762727,way/136762727,way/136762727-380,200,300,'LINESTRING (8.713917011839937 40.652049127100376, 8.712467917207473 40.65233877202543)'
conv-way/136789074,way/136789074,way/100253768-380,200,300,'LINESTRING (10.694485729459018 43.05186024026141, 10.69615529009575 43.05180355974393)'
conv-way/137050527,way/137050527,way/137050527-275,500,500,'LINESTRING (-5.770469013098239 54.84320148529032, -5.7703440335367775 54.84331485406556)'
conv-way/140248140,way/140248140,way/279842937-400,150,260,'LINESTRING (16.648013230805166 57.72834639732706, 16.65304273517964 57.41592223986243)'
conv-way/140248147,way/140248147,way/80702333-400,400,500,'LINESTRING (18.13630280912289 60.404035880206585, 18.157966936453278 60.39872059723737)'
conv-way/140248148,way/140248148,way/140248148-400,400,500,'LINESTRING (20.964087730673562 39.184286085693955, 20.964087730673562 39.18428609292838)'
