transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,s_nom,geometry
AL6-220-400,AL6-220,AL6-400,220,400,3575,'LINESTRING (20.062488025828696 41.090349420530686, 20.062768616124437 41.090513896692464)'
BA15-220-400,BA15-220,BA15-400,220,400,1788,'LINESTRING (19.281035441852282 43.79218198525006, 19.281327511720303 43.7923480558783)'
BA4-220-400,BA4-220,BA4-400,220,400,5363,'LINESTRING (18.605783043969407 44.480477614181076, 18.606076809486325 44.480645485154994)'
BA5-220-400,BA5-220,BA5-400,220,400,1788,'LINESTRING (19.069671123159033 44.40383966176981, 19.06996587767301 44.40400620882524)'
BG10-220-400,BG10-220,BG10-400,220,400,7150,'LINESTRING (23.96655736405858 43.4874152581174, 23.966861182526895 43.4875674336775)'
BG3-220-400,BG3-220,BG3-400,220,400,3575,'LINESTRING (23.839440696987815 43.734782875067054, 23.839745563911585 43.73493537154156)'
BG57-220-400,BG57-220,BG57-400,220,400,3575,'LINESTRING (26.1355053168931 42.257754391172156, 26.135808108650792 42.25790021969916)'
CH12-220-380,CH12-220,CH12-380,220,380,3397,'LINESTRING (8.98591839231268 47.19084977328445, 8.986194358351856 47.191043323872165)'
CH14-220-380,CH14-220,CH14-380,220,380,3397,'LINESTRING (7.64867862873702 47.09248033101623, 7.64894912036779 47.09267724503219)'
CH18-220-380,CH18-220,CH18-380,220,380,1699,'LINESTRING (8.986202173368362 46.8814535745526, 8.986476531960689 46.8816471536762)'
CH22-220-380,CH22-220,CH22-380,220,380,1699,'LINESTRING (9.563242994381403 46.66448012540763, 9.563518331164898 46.664672258112745)'
CH29-220-380,CH29-220,CH29-380,220,380,1699,'LINESTRING (9.61142265835349 46.58193762850617, 9.61169774316021 46.58212964674907)'
CH34-220-380,CH34-220,CH34-380,220,380,1699,'LINESTRING (8.315100142930977 46.49789837986062, 8.31537010459449 46.498093686763454)'
CH51-220-225,CH51-220,CH51-225,220,225,503,'LINESTRING (6.0514922014978865 46.23839046846638, 6.0515062188935635 46.23819971567557)'
CH51-220-400,CH51-220,CH51-400,220,400,3575,'LINESTRING (6.0514922014978865 46.23839046846638, 6.05176661129018 46.23840060986606)'
CH51-225-400,CH51-225,CH51-400,225,400,3575,'LINESTRING (6.0515062188935635 46.23819971567557, 6.05176661129018 46.23840060986606)'
CH57-220-225,CH57-220,CH57-225,220,225,503,'LINESTRING (5.994340131372339 46.18612426891901, 5.994600069102197 46.18632530541466)'
CZ16-380-400,CZ16-380,CZ16-400,380,400,1788,'LINESTRING (16.08805007680874 48.745911826595645, 16.088360923749807 48.74608615254068)'
CZ2-380-400,CZ2-380,CZ2-400,380,400,1788,'LINESTRING (13.209988145547307 50.528828619825155, 13.210300055064089 50.52901076215049)'
DE100-220-380,DE100-220,DE100-380,220,380,3397,'LINESTRING (7.135589007277195 51.41706529105013, 7.135881813553114 51.417263265710986)'
DE102-220-380,DE102-220,DE102-380,220,380,3397,'LINESTRING (7.244493852789926 51.40074485119219, 7.2447870246338155 51.40094255459367)'
DE107-220-380,DE107-220,DE107-380,220,380,3397,'LINESTRING (6.709224388263882 51.36152847483574, 6.7095150123574845 51.36172750834762)'
DE110-220-380,DE110-220,DE110-380,220,380,5095,'LINESTRING (6.721174529260266 51.342655786865144, 6.721465088084146 51.34285479107073)'
