TransformerID,bus0,bus1,voltage_bus0,voltage_bus1,s_nom
0,GB74-275,GB74-400,275,400,3575
1,relation/13110368-275,relation/13110368-400,275,400,7150
2,relation/14921826-275,relation/14921826-400,275,400,3575
3,relation/7879831-275,relation/7879831-400,275,400,7150
4,relation/7880111-275,relation/7880111-400,275,400,2766
5,relation/7894457-275,relation/7894457-400,275,400,8938
6,relation/7894974-275,relation/7894974-400,275,400,5363
7,relation/7894975-275,relation/7894975-400,275,400,5363
8,relation/9598269-275,relation/9598269-400,275,400,3575
9,way/100077745-275,way/100077745-400,275,400,3575
10,way/101077623-275,way/101077623-400,275,400,1788
11,way/102549055-275,way/102549055-400,275,400,5363
12,way/103915328-275,way/103915328-400,275,400,8938
13,way/109730296-275,way/109730296-400,275,400,3575
14,way/111528318-220,way/111528318-275,220,275,4609
15,way/1120475588-275,way/1120475588-400,275,400,2766
16,way/1185489725-220,way/1185489725-400,220,400,1788
17,way/118821349-275,way/118821349-400,275,400,5531
18,way/1190395478-220,way/1190395478-400,220,400,3575
19,way/1275300370-275,way/1275300370-400,275,400,5363
20,way/133323988-275,way/133323988-400,275,400,1844
21,way/142841192-275,way/142841192-400,275,400,2766
22,way/143398451-275,way/143398451-400,275,400,3575
23,way/143905069-275,way/143905069-400,275,400,3575
24,way/159736514-275,way/159736514-400,275,400,4609
25,way/163036722-275,way/163036722-400,275,400,1844
26,way/166703766-220,way/166703766-275,220,275,2766
27,way/166703766-220,way/166703766-400,220,400,3575
28,way/166703766-275,way/166703766-400,275,400,3575
29,way/167621580-275,way/167621580-400,275,400,1844
30,way/193617444-275,way/193617444-400,275,400,3575
31,way/200511209-275,way/200511209-400,275,400,2766
32,way/212779654-275,way/212779654-400,275,400,3575
33,way/22975329-275,way/22975329-400,275,400,3687
34,way/23164132-275,way/23164132-400,275,400,7150
35,way/23164256-275,way/23164256-400,275,400,5363
36,way/23232738-275,way/23232738-400,275,400,3687
37,way/23299362-275,way/23299362-400,275,400,3687
38,way/23299657-275,way/23299657-400,275,400,5363
39,way/25422135-220,way/25422135-400,220,400,12513
40,way/264102298-275,way/264102298-400,275,400,3575
41,way/27163121-275,way/27163121-400,275,400,3575
42,way/280317944-220,way/280317944-400,220,400,3575
43,way/284874050-275,way/284874050-400,275,400,3575
44,way/292371992-275,way/292371992-400,275,400,7150
45,way/297840585-220,way/297840585-400,220,400,3575
46,way/31015820-275,way/31015820-400,275,400,7150
47,way/310502642-275,way/310502642-400,275,400,1844
48,way/31545125-275,way/31545125-400,275,400,1788
49,way/32604320-275,way/32604320-400,275,400,1788
50,way/33917128-275,way/33917128-400,275,400,3575
51,way/371757485-275,way/371757485-400,275,400,3575
