UnitID,name,type,Bus name,x,y,capacity,Technology,Cost
1,IBG-EGEN1,interconnector,way/814351697-400,0.653,51.46,0,,0
2,IBG-ENGI1,interconnector,way/814351697-400,0.653,51.46,0,,0
3,IBG-RSQ1,interconnector,way/814351697-400,0.653,51.46,0,,0
4,IVD-VKL1,interconnector,way/895564309-400,-0.221,52.931,0,,0
5,IVG-VKL1,interconnector,way/895564309-400,-0.221,52.931,0,,0
6,BFSE01,battery,way/90534270-400,-1.22,52.585,50,battery storage,0
7,AG-HLIM01,battery,way/263863442-400,-1.494,51.598,0,battery storage,0
8,AG-HLIM02,battery,way/4715504-400,-1.194,50.852,60,battery storage,0
9,AG-HLIM03,battery,way/95279334-400,-1.99,51.616,60,battery storage,0
10,AG-HLIM04,battery,way/263863442-400,-1.494,51.598,100,battery storage,0
11,BRGDG-1,fossil,GB30-400,-0.508006,53.540993,100,gas,20.1
12,AG-MFLX02,battery,way/159736514-400,-1.247,53.398,50,battery storage,0
13,AG-NHAV02,fossil,way/143383456-400,-3.781,55.803,50,gas,20.1
14,CMSTW-1,onwind,way/1262971878,-3.270129,58.406935,0,onwind,1.5
15,ROTHW-1,onwind,way/1185489725-220,-3.36,57.53,50,onwind,1.5
16,PAUHW-1,onwind,way/1185489725-220,-3.458196,57.451933,0,onwind,1.5
17,AG-PFLX01,battery,way/59736773-275,-3.423,56.412,65,battery storage,0
18,NSC-ATL01,hydro,way/68515955-400,-4.491,57.468,49.9,hydro,0
19,LCSMH-1,cascade,way/307769998-275,-5.073,56.829,0,hydro,0
20,KNLCV-1,hydro,way/307769998-275,-4.95803,56.7129,88,hydro,0
21,CAIRW-2,onwind,way/1185489725-220,-3.063895,57.504968,24,onwind,1.5
22,MDHLW-1,onwind,way/118821349-275,-2.482026,56.964685,0,onwind,1.5
23,TMNCW-1,onwind,way/820229174-275,-3.9,57.391,75.9,onwind,1.5
24,DRAXD-2,biomass,way/160580052-400,-0.996389,53.7358,39,biomass,14.893617
25,ABERU-1,fossil,relation/13110368-400,-1.270137,53.090486,3960,gas,20.1
26,ABRTW-1,onwind,relation/8087295-275,-4.372559,58.430482,10,onwind,1.5
27,AIRSW-1,onwind,way/284874050-275,-3.814161,55.51487,36,onwind,1.5
28,ARNKB-2,battery,way/94530230-275,0.344,51.484,35,battery storage,0
29,ASHWW-1,onwind,way/307717807-275,-5.449219,56.065903,49.9,onwind,1.5
30,ASLVW-1,onwind,way/143383456-400,-3.988675,55.621764,35,onwind,1.5
31,BARNB-1,battery,way/116539370-275,-1.457,53.558,25,battery storage,0
32,BETHW-1,onwind,way/820229174-275,-3.966064,57.36209,52.5,onwind,1.5
33,BHOLB-1,battery,way/90099036-400,-1.998,50.721,40,battery storage,0
34,BLARW-1,onwind,way/297840585-400,-5.636,55.564,29,onwind,1.5
35,BNWKW-1,onwind,way/1262971878,-3.21433,58.351973,7.5,onwind,1.5
36,BRDUW-1,onwind,way/143105488-275,-4.141234,55.255156,35,onwind,1.5
37,BRGG-1,fossil,way/160279525-400,-0.32959,53.442264,22.5,gas,20.1
38,BRIDU-1,fossil,way/635836276-275,-0.203475,54.086555,72,gas,20.1
39,BROAB-1,battery,way/16582436-400,0.33,51.413,0,battery storage,0
40,BROFB-1,battery,way/25422135-220,1.05,52.074,0,battery storage,0
41,BRYBW-1,onwind,way/1263095953-400,-4.668919,57.22303,7.5,onwind,1.5
42,BTUIW-2,onwind,way/1263095953-400,-4.789059,57.1755556,11,onwind,1.5
43,BTUIW-3,onwind,way/1263095953-400,-4.789059,57.1755556,50,onwind,1.5
44,BURWB-1,battery,way/25935453-400,0.316,52.279,66.7,battery storage,0
45,CHAPB-1,battery,relation/7650368-400,-0.4963,51.9266,118,battery storage,0
46,CLAC-1,hydro,way/307769998-275,-4.918736,56.277573,118,hydro,0
47,CLAYB-1,battery,way/494951597-400,0.298,51.552,348,battery storage,0
48,CLAYB-2,battery,way/494951597-400,0.298,51.552,50,battery storage,0
49,CLFLW-1,onwind,way/307769998-275,-4.957855,56.283062,49.5,onwind,1.5
50,CONTB-1,battery,way/91082448-400,-0.162756,50.95526,40,battery storage,0
51,CORB-1,fossil,way/88287125-400,-0.86792,52.247983,99,gas,20.1
52,COWE1,fossil,relation/9572254-400,-5.064697,50.373496,99,gas,20.1
53,COWE2,fossil,relation/9572254-400,-5.064697,50.373496,15,gas,20.1
54,CROYD-2,fossil,way/23299362-400,-0.11637,51.37644,34,gas,20.1
55,CRSSB-1,battery,way/1153252242-275,-2.959,53.481,350,battery storage,0
56,DALSW-1,onwind,way/472289073-275,-3.662819,55.183662,140,onwind,1.5
57,DBFRM-1,fossil,way/4715504-400,-1.153879,50.861673,140,gas,20.1
58,DERW-1,fossil,relation/13110368-400,-1.399444,52.905812,0,gas,20.1
59,DIDC01G,fossil,way/263863442-400,-1.26757,51.62363,20,gas,20.1
60,DIDC02G,fossil,way/263863442-400,-1.26757,51.62363,30,gas,20.1
61,DIDC03G,fossil,way/263863442-400,-1.26757,51.62363,19.5,gas,20.1
62,DIDC04G,fossil,way/263863442-400,-1.26757,51.62363,0,gas,20.1
63,FASN3,hydro,way/239248206-400,-4.793703,57.325887,0,hydro,0
64,FASN-4,hydro,way/239248206-400,-4.793703,57.325887,0,hydro,0
65,FAWN-1,fossil,relation/9409219-400,-1.351433,50.830367,0,gas,20.1
66,FDUNT-1,fossil,way/92331023-275,-1.349033,53.071393,0,gas,20.1
67,FELL-1,fossil,relation/9409219-400,-1.351433,50.830367,69,gas,20.1
68,GDSTW-1,onwind,way/1190395478-220,-2.484139,57.460944,69,onwind,1.5
69,GFLDW-1,onwind,relation/7881280-400,-0.872421,53.668356,0,onwind,1.5
70,GLCHW-1,onwind,way/148382435-275,-4.754334,54.96342,100,onwind,1.5
71,GLOFW-1,onwind,way/1185489725-220,-2.878418,57.219608,0,onwind,1.5
72,GRGRW-1,onwind,way/308724719-275,-3.889,55.904,12.5,onwind,1.5
73,GYAR-1,fossil,way/32227788-400,1.625977,52.596375,32.8,gas,20.1
74,HBHDW-1,onwind,way/143383456-400,-3.547456,55.815259,27.5,onwind,1.5
75,HLGLW-1,onwind,way/1185489725-220,-3.615587,57.51052,26,onwind,1.5
76,HLTWW-1,onwind,way/1190395478-220,-2.406006,57.486309,36,onwind,1.5
77,HRHLW-1,onwind,way/143383456-400,-4.054104,55.405691,430,onwind,1.5
78,ILMEB-1,battery,way/41710456-400,-0.892,51.741,51.7,battery storage,0
79,JAMBB-1,battery,way/59736773-275,-3.294,56.341,27.6,battery storage,0
80,KLYN-A-1,fossil,way/635829123-400,0.380117,52.727256,48,gas,20.1
81,LITRB-1,battery,way/89699558-275,-3.33,56.104,43,battery storage,0
82,LNMTH-1,fossil,way/642490160,-1.52083,55.20417,30,gas,20.1
83,LNMTH-2,fossil,way/642490160,-1.52083,55.20417,49,gas,20.1
84,LNMTH-3,fossil,way/642490160,-1.52083,55.20417,49,gas,20.1
85,MANXENR-1,load,relation/7872518-400,0.89694,51.74139,50,,0
86,MARK-1,biomass,way/1185489725-220,-3.603516,57.480403,0,biomass,14.893617
87,MDLWH-1,fossil,way/92529432-275,-2.42461,53.18726,49.5,gas,20.1
88,MINSW-1,onwind,way/676646876-400,-3.47168,55.040614,420,onwind,1.5
89,MOYEW-1,onwind,way/820229174-275,-4.064872,57.390303,420,onwind,1.5
90,NEWTB-1,battery,way/123866712-275,-1.327,53.138,420,battery storage,0
91,PETEM1,fossil,way/376450057-400,-0.204697,52.57694,0,gas,20.1
92,PETDG-1,fossil,way/376450057-400,-0.2037977,52.575703,55,gas,20.1
93,PILLB-1,battery,way/33917128-275,-0.407,53.796,0,battery storage,0
94,PILLB-2,battery,way/33917128-275,-0.407,53.796,36.8,battery storage,0
95,RHEI-4,hydro,way/89573357-400,-3.9,52.396,66,hydro,0
96,ROOSB-1,battery,GB22-400,-3.189,54.105,50,battery storage,0
97,SEVIU-1,fossil,way/42800878-400,-2.9983234,51.5877364,245,gas,20.1
98,SHOS-1,fossil,way/91082448-400,-0.252686,50.882243,50,gas,20.1
99,SKELB-1,battery,way/81098733-275,-2.775,53.553,98,battery storage,0
100,SOLUU-1,fossil,relation/9409219-400,-1.2764,50.7459,98,gas,20.1
101,TAYL2G,fossil,way/49601061-400,-0.2575,51.546,49,gas,20.1
102,TAYL3G,fossil,way/49601061-400,-0.2575,51.546,49,gas,20.1
103,TIBG-1,biomass,way/94530230-275,0.389,51.459,10,biomass,14.893617
104,THMRB-1,battery,way/41710456-400,-0.894,51.766,0,battery storage,0
105,THRNL-1,fossil,GB28-275,-1.6547222,53.6772222,50,gas,20.1
106,TOLLB-1,battery,way/4797228-275,-0.245,51.735,0,battery storage,0
107,TULWW-1,onwind,way/111528318-220,-2.581787,56.662265,140,onwind,1.5
108,TULWW-2,onwind,way/111528318-220,-2.581787,56.662265,140,onwind,1.5
109,VKING-2,fossil,way/142397822-400,-1.20268,54.6067,0,gas,20.1
110,I2D-ALEU1,interconnector,relation/7872518-400,0.86453846,51.8080769,49,,0
111,I2D-ALIP1,interconnector,relation/7872518-400,0.86453846,51.8080769,40,,0
112,I2D-ARON1,interconnector,relation/7872518-400,0.86453846,51.8080769,49.5,,0
113,I2D-AXPO1,interconnector,relation/7872518-400,0.86453846,51.8080769,42.5,,0
114,I2D-BDEN1,interconnector,relation/7872518-400,0.86453846,51.8080769,42.5,,0
115,I2D-BKWE1,interconnector,relation/7872518-400,0.86453846,51.8080769,50,,0
116,I2D-BNPS1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
117,I2D-BPGM1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
118,I2D-CBST1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
119,I2D-CENT1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
120,I2D-CETL1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
121,I2D-CEZC1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
122,I2D-CNGS1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
123,I2D-CNRE1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
124,I2D-CONS1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
125,I2D-CONV1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
126,I2D-COPN1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
127,I2D-DARE1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
128,I2D-DMCC1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
129,I2D-DSKC1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
130,I2D-DUEN1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
131,I2D-DUGE1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
132,I2D-DVAL1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
133,I2D-EDFT1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
134,I2D-EDMK1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
135,I2D-ELEE1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
136,I2D-ELTR1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
137,I2D-ENKI1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
138,I2D-ENSC1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
139,I2D-ENSP1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
140,I2D-ENTC1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
141,I2D-EPCO1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
142,I2D-EZCO1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
143,I2D-GASE1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
144,I2D-GAZP1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
145,I2D-GLEN1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
146,I2D-GRMT1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
147,I2D-HART1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
148,I2D-HELI1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
149,I2D-IBES1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
150,I2D-INCM1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
151,I2D-MCRA1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
152,I2D-MFTE1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
153,I2D-MQBN1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
154,I2D-NEAS1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
155,I2D-NEHO1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
156,I2D-NITR1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
157,I2D-NORL1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
158,I2D-NTPL1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
159,I2D-NVAL1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
160,I2D-OMPX1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
161,I2D-OPMX1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
162,I2D-OUTL1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
163,I2D-PLAN1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
164,I2D-PREP1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
165,I2D-PWMR1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
166,I2D-QUAR1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
167,I2D-QUEN1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
168,I2D-RESP1,interconnector,relation/7872518-400,0.86453846,51.8080769,0,,0
