bus501_id,x_501,y_501,bus385_id,x_385,y_385,assigned_bus385_ids,assigned_x_385,assigned_y_385
way/975637991,-1.271945117,60.29340063,nan,,,,,
relation/8087295-275,-3.753619779,58.57578626,6441,-3.812256,58.546761,['6441'],[-3.812256],[58.546761]
way/495624575-275,-3.512714811,58.56423307,6442,-3.453827,58.56682,['6442'],[-3.453827],[58.56682]
way/567187951-275,-3.879158411,58.51215379,nan,,,,,
way/1262971878,-3.452184944,58.4799679,6443,-3.453827,58.490823,['6443'],[-3.453827],[58.490823]
way/1262971878-275,-3.451974079,58.47918791,nan,,,,,
GB1-220,-2.8957458,58.2568149,nan,,,,,
GB2-220,-2.8805172,58.2499453,nan,,,,,
GB3-220,-2.9011666,58.2463135,nan,,,,,
GB4-220,-2.7128938,58.096774,nan,,,,,
GB5-220,-2.9917152,58.0575386,nan,,,,,
way/232319495-275,-4.054651831,58.04305564,nan,,,,,
way/624256368-275,-4.274602635,57.94989456,nan,,,,,
way/630939126-275,-4.299807734,57.69879144,nan,,,,,
GB6-220,-2.7300015,57.6863438,nan,,,,,
way/306451400-275,-3.420053174,57.55683906,nan,,,,,
way/115277975-275,-2.938352915,57.54031721,nan,,,,,
way/166703766-400,-2.947945143,57.52284556,nan,,,,,
way/166703766-220,-2.948293468,57.52281119,nan,,,,,
way/166703766-275,-2.948227259,57.52262412,nan,,,,,
way/568527671,-2.950413996,57.52117497,6447,-2.956696,57.521723,['6447'],[-2.956696],[57.521723]
way/778717371-275,-3.599421067,57.50405712,nan,,,,,
way/1185489725-400,-2.929985216,57.5002261,nan,,,,,
way/1185489725-220,-2.930267283,57.5000047,6448,-3.011627,57.422773,"['6449', '6448']","[-3.011627, -3.011627]","[57.422773, 57.422773]"
way/1190395478-400,-2.283574761,57.49049326,nan,,,,,
way/1190395478-220,-2.283860547,57.49027321,8013,-2.27005,57.410941,['8013'],[-2.27005],[57.410941]
way/133323988-400,-1.799010269,57.47356357,nan,,,,,
way/133323988-275,-1.799298759,57.47334454,6485,-1.815491,57.484833,['6485'],[-1.815491],[57.484833]
way/68515955-400,-4.49412943,57.46666596,6438,-4.404144,57.452339,"['6439', '6438']","[-4.404144, -4.404144]","[57.452339, 57.452339]"
way/68515955-275,-4.494402024,57.46644139,nan,,,,,
way/842685465-275,-2.849826533,57.45195874,nan,,,,,
way/820229174-275,-4.245682384,57.42194651,6440,-4.264069,57.422034,['6440'],[-4.264069],[57.422034]
way/820237569-400,-2.516056398,57.40999278,nan,,,,,
way/239248206-400,-4.792978682,57.32963357,6437,-4.807892,57.333193,['6437'],[-4.807892],[57.333193]
way/689624522-275,-4.374689859,57.31756147,nan,,,,,
way/762272690-275,-4.066787747,57.30110569,nan,,,,,
way/127045977-275,-4.474247602,57.2686026,nan,,,,,
way/118821349-400,-2.383738174,57.21885734,nan,,,,,
way/118821349-275,-2.384021499,57.21863711,6486,-2.3909,57.21366,['6486'],[-2.3909],[57.21366]
GB7-275,-2.138815132,57.1742089,6487,-2.158813,57.193576,"['8015', '6487']","[-2.234037468, -2.158813]","[57.31687826, 57.193576]"
way/1263095953-400,-4.718064557,57.13534566,6450,-4.713135,57.128786,"['6451', '6450']","[-4.713135, -4.713135]","[57.128786, 57.128786]"
way/689626274-400,-4.470529413,57.02726384,nan,,,,,
way/241491759-275,-2.347280722,56.9644504,nan,,,,,
way/495512692-400,-4.028475775,56.70699438,8019,-4.096049805,56.72076934,"['6460', '8019']","[-4.059448, -4.096049805]","[56.794862, 56.72076934]"
way/1252341626-275,-3.161991811,56.60968212,nan,,,,,
GB8-220,-1.7589614,56.5849318,nan,,,,,
way/111528318-220,-2.977991295,56.52122917,6462,-2.988281,56.567806,['6462'],[-2.988281],[56.567806]
way/111528318-275,-2.977642045,56.52109693,nan,,,,,
way/307769998-275,-5.013490714,56.42011576,6453,-4.97818,56.415421,['6453'],[-4.97818],[56.415421]
way/307717807-275,-5.112889333,56.40280357,6452,-5.221252,56.367532,['6452'],[-5.221252],[56.367532]
way/1307462736-275,-4.724597383,56.32414272,6454,-4.684296,56.36525,['6454'],[-4.684296],[56.36525]
way/495512689-400,-3.947205223,56.26205254,nan,,,,,
way/59736773-275,-3.201029099,56.2069709,6473,-3.205261,56.215869,"['8020', '6473']","[-3.228624491, -3.205261]","[56.23801519, 56.215869]"
way/95374266-275,-3.300651188,56.16422675,6474,-3.267059,56.163906,['6474'],[-3.267059],[56.163906]
GB9-275,-3.3055849,56.1404298,nan,,,,,
way/89699558-275,-3.292936689,56.10595644,6475,-3.324738,56.091193,['6475'],[-3.324738],[56.091193]
GB10-275,-3.719714103,56.08813281,6468,-3.713379,56.110342,['6468'],[-3.713379],[56.110342]
way/89836009-275,-3.730603794,56.07508685,8032,-3.754578,56.034459,['8032'],[-3.754578],[56.034459]
way/730870685-275,-3.681578146,56.05104314,6472,-3.632355,56.063603,['6472'],[-3.632355],[56.063603]
way/422486984-400,-3.889260663,56.03931235,nan,,,,,
way/422486984-275,-3.889527804,56.03908918,6463,-3.922119,56.078167,"['6464', '6463']","[-3.922119, -3.922119]","[56.078167, 56.078167]"
relation/2452471-275,-3.860721547,56.00757672,nan,,,,,
way/76468460-275,-3.693769983,56.00460775,6470,-3.733978,55.998381,"['6469', '8489', '6471', '6470']","[-3.695526, -3.696899, -3.733978, -3.733978]","[56.026018, 55.998381, 55.998381, 55.998381]"
way/65482882-400,-2.96792583,55.96685808,6483,-2.949829,55.955351,"['6484', '6483']","[-2.949829, -2.949829]","[55.955351, 55.955351]"
way/65482882-275,-2.968197672,55.96663681,nan,,,,,
way/111550033-400,-2.4103305,55.96619115,nan,,,,,
way/105304263-275,-3.184996911,55.96536976,nan,,,,,
way/32342648-275,-3.124479455,55.95330177,6479,-3.088531,55.933818,"['6478', '6479']","[-3.128357, -3.088531]","[55.952275, 55.933818]"
way/97551523-400,-2.416744038,55.94883803,6490,-2.393646,55.943048,['6490'],[-2.393646],[55.943048]
way/123129049-275,-3.210333037,55.94695003,nan,,,,,
way/40685663-275,-3.201663327,55.93121428,6477,-3.24234,55.881474,"['6476', '6477']","[-3.249207, -3.24234]","[55.913812, 55.881474]"
way/86071326-400,-4.376998788,55.9300736,nan,,,,,
way/86071326-275,-4.377262536,55.92984947,6456,-4.437103,55.919969,"['6457', '6456']","[-4.437103, -4.437103]","[55.919969, 55.919969]"
way/32075668-275,-3.305473457,55.92840882,nan,,,,,
GB11-275,-3.1796917,55.9246204,nan,,,,,
way/91056548-400,-4.708722533,55.91593627,6455,-4.732361,55.922277,['6455'],[-4.732361],[55.922277]
way/162124572-275,-4.349233635,55.91588855,nan,,,,,
way/262523325-400,-2.539732673,55.91508806,6489,-2.552948,55.885325,"['6488', '8520', '6489']","[-2.554321, -2.509003, -2.552948]","[55.909194, 55.900726, 55.885325]"
way/96905262-400,-3.035949017,55.90866255,6481,-3.02948,55.914582,"['6482', '6481']","[-3.02948, -3.02948]","[55.914582, 55.914582]"
way/96905262-275,-3.036220121,55.90844114,8034,-3.056946,55.884555,"['8033', '8034']","[-3.063812, -3.056946]","[55.899956, 55.884555]"
GB12-275,-3.1786274,55.9031338,nan,,,,,
way/166703759-275,-4.25680578,55.90303777,6458,-4.250336,55.901496,['6458'],[-4.250336],[55.901496]
way/27332350-275,-3.308887651,55.90228535,nan,,,,,
way/27163121-400,-3.16536086,55.89162814,6480,-3.131104,55.883014,['6480'],[-3.131104],[55.883014]
way/27163121-275,-3.165631141,55.89140647,nan,,,,,
GB13-400,-2.93891761,55.88469412,7471,-2.948422918,55.91886224,['7471'],[-2.948422918],[55.91886224]
way/119315534-275,-4.07461935,55.87917759,nan,,,,,
way/109073025-275,-4.255062262,55.87369771,6459,-4.254456,55.846795,['6459'],[-4.254456],[55.846795]
way/308724683-275,-4.013229107,55.85120353,nan,,,,,
way/119315557-275,-4.203844206,55.83533733,6465,-4.209137,55.863753,['6465'],[-4.209137],[55.863753]
GB14-400,-4.5707774,55.8344676,nan,,,,,
way/308724719-275,-3.992945468,55.82857437,6467,-3.990784,55.787385,"['6466', '6467']","[-3.972931, -3.990784]","[55.86067, 55.787385]"
way/262532045-400,-2.665759301,55.82497487,nan,,,,,
way/222205173-275,-3.945801923,55.82439463,nan,,,,,
way/119315549-275,-4.149163249,55.82271837,nan,,,,,
way/143398451-400,-4.478118487,55.80914988,nan,,,,,
way/143398451-275,-4.478380958,55.80892556,5900,-4.457703,55.751077,"['5901', '5900']","[-4.457703, -4.457703]","[55.751077, 55.751077]"
GB15-275,-4.1161377,55.79148895,nan,,,,,
way/166703764-275,-4.193884489,55.78590682,5906,-4.196777,55.768076,['5906'],[-4.196777],[55.768076]
way/166703758-275,-4.26229437,55.77430062,8744,-4.255829,55.697712,"['8036', '5902', '8744']","[-4.351959, -4.305267, -4.255829]","[55.713961, 55.706224, 55.697712]"
way/212779654-400,-3.928977017,55.76446612,5909,-3.876801,55.759577,"['5910', '5909']","[-3.876801, -3.876801]","[55.759577, 55.759577]"
way/212779654-275,-3.929242287,55.76424291,8035,-3.953705,55.763441,['8035'],[-3.953705],[55.763441]
relation/7894974-400,-4.079846271,55.75191343,5908,-4.025116,55.758032,['5908'],[-4.025116],[55.758032]
relation/7894974-275,-4.080110628,55.75168992,5907,-4.091034,55.692294,['5907'],[-4.091034],[55.692294]
way/308653819-275,-4.163262053,55.74089307,nan,,,,,
way/297840585-220,-4.895060251,55.71804399,nan,,,,,
way/297840585,-4.89482119,55.71803677,nan,,,,,
way/297840585-400,-4.894711935,55.71791699,5896,-4.880676,55.704677,"['5898', '5896']","[-4.801025, -4.880676]","[55.72247, 55.704677]"
way/677513264-220,-5.458135751,55.69692198,nan,,,,,
way/308802191-275,-4.171318502,55.69555708,8037,-4.133606,55.692294,['8037'],[-4.133606],[55.692294]
way/102198808-400,-2.329689325,55.66928737,5943,-2.276917,55.677584,['5943'],[-2.276917],[55.677584]
way/143383456-400,-3.867342197,55.61532861,5911,-3.945465,55.624895,"['5913', '7469', '8565', '5912', '5911']","[-3.747711, -3.709259, -3.794403, -3.945465, -3.945465]","[55.718602, 55.715508, 55.69926, 55.624895, 55.624895]"
way/143388743-275,-4.495471092,55.59781347,5903,-4.53186,55.525521,"['5904', '5903']","[-4.53186, -4.53186]","[55.525521, 55.525521]"
way/100077745-400,-4.4631646,55.57638583,nan,,,,,
way/100077745-275,-4.463425801,55.57616157,nan,,,,,
way/335589232-275,-3.603829267,55.46517263,nan,,,,,
way/125860302-275,-4.587895868,55.45735248,5899,-4.593658,55.408748,['5899'],[-4.593658],[55.408748]
way/143110887-275,-4.44548296,55.45627973,nan,,,,,
way/143105488-275,-4.43271067,55.44682731,5905,-4.402771,55.380671,['5905'],[-4.402771],[55.380671]
way/284874050-400,-3.672311398,55.43735368,nan,,,,,
way/284874050-275,-3.672576152,55.43713102,5914,-3.777924,55.452384,['5914'],[-3.777924],[55.452384]
way/472289073-275,-3.609040011,55.40454054,5916,-3.558197,55.301793,"['5915', '5917', '5916']","[-3.525238, -3.558197, -3.558197]","[55.422779, 55.301793, 55.301793]"
way/677510482-275,-4.335031211,55.34450012,nan,,,,,
way/676646876-400,-3.428474968,55.30102086,5919,-3.440094,55.215707,"['5918', '5919']","[-3.493652, -3.440094]","[55.375209, 55.215707]"
