Bus name,bus_capacity,percentage
GB8-220,23247.0,17.99296442351229
way/975637991,13308.0,10.300269735798235
GB21-220,9270.0,7.17489483399832
relation/13110367-400,9158.0,7.088207862972666
GB24-220,7718.0,5.97366109264283
GB62-220,7114.0,5.5061706417544825
way/133323988-400,6645.0,5.143168950584556
way/402783212-275,5790.0,4.481406805701217
GB4-220,5047.5,3.9067186272498944
relation/9572254-400,4882.0,3.778623147743236
way/32227788-400,4234.0,3.27707710109481
GB19-220,3842.6,2.9741370969926586
way/576238223-400,2421.0,1.873831757617037
GB7-275,2418.3,1.8717419824226689
relation/8087295-275,2110.0,1.6331206148583015
way/34205588-400,2000.0,1.5479816254581058
GB5-220,1890.0,1.4628426360579099
way/677513264-220,1800.0,1.3931834629122952
way/624256368-275,1500.0,1.1609862190935794
GB46-220,1379.7,1.0678751243222742
way/87953830-400,1109.5,0.8587428067228842
way/280317944-220,1056.0,0.8173342982418799
way/91082448-400,1000.0,0.7739908127290529
GB2-220,1000.0,0.7739908127290529
way/339008021-275,1000.0,0.7739908127290529
way/90099036-400,970.0,0.7507710883471813
way/111550033-400,865.0,0.6695020530106307
way/433545528-220,726.0,0.5619173300412924
way/1262971878,588.0,0.4551065978846831
way/635829123-400,540.0,0.4179550388736885
way/230134599-275,500.0,0.38699540636452645
way/97561542-275,474.0,0.3668716452335711
way/137050527-275,420.0,0.3250761413462022
way/148266260-275,400.0,0.30959632509162116
GB22-400,333.6,0.2582033351264121
relation/10695345-400,300.0,0.23219724381871587
way/310495264-400,284.0,0.21981339081505102
way/153884024-275,258.0,0.19968962968409565
way/264104518-400,240.0,0.1857577950549727
way/635836276-275,219.0,0.16950398798766259
way/676646876-400,174.0,0.1346744014148552
GB64-220,172.8,0.13374561243958033
way/121820285-275,108.0,0.08359100777473771
way/100009331-400,100.0,0.07739908127290529
way/495624575-275,100.0,0.07739908127290529
way/89427607-400,100.0,0.07739908127290529
way/96630594-275,99.9,0.0773216821916324
way/568527671,99.5,0.07701208586654076
way/297840585-400,72.6,0.05619173300412923
way/65482882-400,40.0,0.030959632509162113
way/133323988-275,30.0,0.023219724381871587
relation/7894483-400,12.0,0.009287889752748635
way/25422135-220,12.0,0.009287889752748635
way/313180501-400,11.5,0.008900894346384108
GB1-220,10.0,0.007739908127290528
