Bus name,bus_capacity,percentage
way/677510482-275,3601.5,6.912110731956349
way/239248206-400,2080.5,3.992960260401272
way/143383456-400,1687.6,3.2388943693598593
way/975637991,1497.5,2.8740485411924563
relation/10377509-400,1494.1,2.8675231555229708
way/402783212-275,1445.2,2.7736727557471372
way/307717807-275,1376.0,2.6408619650623173
way/624256368-275,1141.6,2.190994200083678
way/677513264-220,1052.2,2.019414941597798
way/676646876-400,949.0,1.8213502942181243
way/284874050-275,915.3,1.7566722068470486
way/676775628-275,812.7,1.5597590981149312
relation/14921826-275,802.9,1.540950633538179
way/335589232-275,784.4,1.5054448585718616
way/102198808-400,780.9,1.49872754979445
GB13-400,746.0,1.4317463851282621
way/262532045-400,731.6,1.4041094575869124
way/95895489-400,723.7,1.3889475320607552
way/166703758-275,682.5,1.3098752115952264
way/568527671,655.5,1.2580559724551954
way/262523325-400,592.0,1.1361847989221596
relation/8087295-275,568.2,1.0905070992357622
way/495512692-400,557.1,1.0692036342559716
way/1262971878-275,541.9,1.0400313218512134
way/567187951-275,535.3,1.0273643967280948
way/27332350-275,526.5,1.0104751632306033
way/125860302-275,524.6,1.0068286241800084
way/280317944-220,523.0,1.0037578544531918
way/143105488-275,513.7,0.9859090054160701
way/148382435-275,504.9,0.9690197719185785
way/778717371-275,499.2,0.9580801547667942
way/1185489725-220,497.1,0.9540497695003474
GB22-400,489.0,0.938503997758338
way/820229174-275,483.4,0.9277563037144797
way/121820285-275,462.0,0.8866847586183071
way/1263095953-400,459.4,0.8816947578122301
way/689626274-400,445.7,0.8554012920263625
way/89573357-400,443.5,0.8511789836519895
way/142185552-275,439.8,0.844077828658726
way/230134599-275,435.6,0.8360170581258325
way/76468460-275,431.9,0.8289159031325689
way/306451400-275,410.2,0.7872685887126181
way/553490952-400,398.8,0.7653893544090495
way/127045977-275,390.0,0.7485001209115579
way/1262971878,384.9,0.7387120424073298
way/232319495-275,370.5,0.71107511486598
way/227767022-275,352.2,0.6759531861155146
way/495512689-400,337.2,0.6471647199266085
way/260300448-275,334.8,0.6425585653363837
way/68515955-400,330.79999999999995,0.6348816410193419
way/630939126-275,329.0,0.6314270250766733
way/89573357-275,323.1,0.6201035617090369
relation/14921826-400,313.2,0.6011031740243588
way/1252341626-275,307.8,0.5907393261963527
way/143398451-275,307.0,0.5892039413329444
way/472289073-275,301.1,0.5778804779653081
relation/7879831-400,298.5,0.5728904771592309
way/91056548-400,291.0,0.5584962440647778
way/762272690-275,288.1,0.5529304739349228
GB10-275,277.8,0.5331623938185405
way/212779654-400,270.6,0.5193439300478656
way/95374266-275,270.6,0.5193439300478656
way/97551523-400,267.5,0.5133943137021584
way/88287125-400,255.6,0.4905554638589595
way/143221984-275,254.9,0.48921200210347726
way/118821349-275,250.9,0.48153507778643556
