Bus name,bus_capacity,percentage
way/314338790-400,1758.8,4.209266704958836
way/23059230-400,1285.8,3.0772544514646754
way/25935453-400,1080.1,2.584960750526517
way/92460913-400,887.5,2.1240187631629333
way/143905069-400,860.1,2.058443423319931
way/160580052-400,856.3,2.049349033122726
way/895564309-220,831.0,1.9887995404939691
way/95279334-400,754.1,1.804757802029485
way/49922626-400,753.9,1.8042791499138424
way/88287125-400,748.8,1.7920735209649625
way/92340133-400,711.6,1.7030442274554853
way/91003253-400,692.5,1.657332950411641
relation/9572254-400,675.6,1.616886846639862
relation/7881280-400,627.0,1.5005743825387707
way/32227788-400,621.2,1.4866934711851427
way/89038614-400,618.6,1.4804709936817921
way/90534270-400,585.8,1.4019720467164465
way/925179651-400,564.9,1.3519529006318207
way/1078532568-400,562.2,1.345491097070649
way/23988786-400,552.5,1.322276469461995
way/33917128-400,542.1,1.297386559448593
way/90099036-400,540.1,1.2926000382921692
way/895564309-400,514.0,1.2301359372008425
way/263863442-400,490.9,1.1748516178441508
way/45087479-275,486.7,1.1647999234156614
way/92260633-275,469.2,1.1229178632969559
way/100009331-400,448.7,1.0738560214436148
way/264104518-400,440.3,1.053752632586636
relation/11543333-400,412.5,0.9872199885123492
way/26678829-400,410.4,0.9821941412981045
GB63-400,390.5,0.9345682557916907
way/103915328-275,390.4,0.9343289297338693
way/25422135-220,351.0,0.8400344629523262
way/43472283-275,338.6,0.8103580317825005
way/29111844-400,335.0,0.8017422937009381
relation/13110368-400,331.7,0.7938445337928394
way/127184694-400,329.1,0.7876220562894889
way/55284068-275,327.7,0.7842714914799924
way/92331023-275,309.6,0.7409534750143596
way/77065229-400,304.5,0.7287478460654796
way/88389243-400,304.0,0.7275512157763737
relation/13110367-400,294.0,0.7036186099942562
way/89453364-400,294.0,0.7036186099942562
relation/7872518-400,293.3,0.701943327589508
way/87204522-275,292.8,0.7007466973004021
way/34656007-400,280.2,0.670591614014934
way/24165071-400,261.9,0.6267949454336588
relation/7879831-275,257.7,0.6167432510051694
way/111528318-275,257.2,0.6155466207160635
way/103915328-400,255.9,0.6124353819643883
relation/7886014-400,255.0,0.6102814474439977
way/160279525-400,251.2,0.601187057246793
way/23281217-400,250.8,0.6002297530155083
way/23229136-275,250.2,0.5987937966685812
way/89427607-400,247.5,0.5923319931074095
way/635226843-400,245.7,0.5880241240666283
way/884174267-400,238.1,0.569835343672219
relation/7650368-400,233.7,0.5593049971280872
way/20851038-400,233.4,0.5585870189546238
GB71-275,233.0,0.557629714723339
GB30-400,232.0,0.5552364541451273
way/142741752-400,214.9,0.5143116982577063
relation/13110369-400,208.7,0.4994734826727934
way/376450057-400,206.4,0.4939689833429064
way/472164401-400,198.1,0.4741049205437488
relation/10695345-400,195.5,0.4678824430403982
way/96067520-275,195.0,0.46668581275129234
way/142185552-275,194.6,0.4657285085200077
GB64-220,192.8,0.4614206394792265
way/90547685-275,191.1,0.45735209649626646
way/1087785232-400,188.2,0.4504116408194524
way/32796576-400,183.0,0.4379666858127513
way/25422135-400,182.6,0.4370093815814666
way/28691559-400,177.2,0.42408577445912304
way/34205588-400,176.5,0.4224104920543749
way/91010711-400,173.9,0.41618801455102433
GB52-400,173.5,0.41523071031973957
way/576238223-400,165.2,0.395366647520582
way/295657862-275,162.6,0.38914417001723145
way/642490160,155.2,0.37143404173846445
way/91010022-400,152.8,0.3656902163507563
relation/13110368-275,149.5,0.35779245644265745
way/91082448-400,149.4,0.35755313038483627
way/96107758-275,149.3,0.35731380432701515
way/87207123-400,147.1,0.35204863105494927
GB46-220,146.5,0.3506126747080222
way/26938722-400,142.3,0.34056098027953285
GB69-400,141.9,0.33960367604824815
way/186747788-275,136.7,0.327158721041547
way/636630368-400,132.8,0.3178250047865212
way/109463536-275,129.6,0.3101665709362435
way/635836276-275,121.6,0.29102048631054944
GB81-400,116.4,0.2785755313038484
way/133323988-275,115.9,0.2773789010147425
way/119616836-400,113.7,0.2721137277426766
way/87953830-400,113.0,0.2704384453379284
GB58-275,108.1,0.2587114685046908
way/166764802-275,105.6,0.2527283170591614
way/4746208-400,103.0,0.24650583955581085
way/143905069-275,101.0,0.24171931839938732
way/95338682-400,100.7,0.2410013402259238
way/59736773-275,100.2,0.23980470993681793
way/1297690788-275,99.9,0.2390867317633544
way/190511290-400,99.9,0.2390867317633544
way/97561542-275,99.9,0.2390867317633544
GB53-400,99.1,0.237172123300785
relation/10377509-400,95.9,0.22951368945050737
way/635829123-220,94.3,0.22568447252536858
GB57-400,93.2,0.22305188588933567
way/241491759-275,88.1,0.21084625694045567
way/48876730-275,87.7,0.20988895270917096
way/375626500-400,82.10000000000001,0.19648669347118516
relation/9409219-400,81.9,0.1960080413555428
GB32-400,79.0,0.1890675856787287
way/4715504-400,77.6,0.18571702086923222
way/89699558-275,76.5,0.1830844342331993
way/677845115-400,75.5,0.18069117365498755
relation/14921826-400,74.9,0.17925521730806052
GB20-400,74.9,0.17925521730806052
GB36-400,73.3,0.17542600038292167
way/494951597-400,71.0,0.16992150105303466
way/42800878-400,70.5,0.16872487076392878
way/1252341626-275,70.4,0.1684855447061076
way/635829123-400,70.2,0.16800689259046525
way/306451400-275,70.0,0.1675282404748229
way/95374266-275,68.8,0.16465632778096878
way/115530033-400,64.0,0.15316867700555237
way/111528318-220,63.9,0.1529293509477312
GB14-400,63.0,0.1507754164273406
way/95895489-400,62.7,0.15005743825387707
way/25492769-275,62.4,0.14933946008041354
way/33917128-275,62.199999999999996,0.1488608079647712
way/183904046-275,62.1,0.14862148190695004
way/280317944-400,62.0,0.14838215584912887
way/48876730-400,61.1,0.14622822132873828
way/91955171-275,60.9,0.14574956921309593
relation/12543034-275,59.9,0.14335630863488416
way/125860302-275,57.5,0.13761248324717595
way/133323988-400,57.0,0.13641585295807007
way/785730495-400,56.1,0.1342619184376795
GB61-275,55.9,0.13378326632203713
way/109730296-400,54.9,0.1313900057438254
way/230134599-275,54.8,0.1311506796860042
way/23164256-400,54.6,0.13067202757036187
GB55-275,51.699999999999996,0.12373157189354776
GB37-275,50.9,0.12181696343097836
relation/7879831-400,50.5,0.12085965919969366
way/25629803-400,50.0,0.11966302891058779
way/677510482-275,49.9,0.1194237028527666
way/1275300370-275,49.9,0.1194237028527666
way/200511209-400,49.9,0.1194237028527666
way/1049638569-400,49.699999999999996,0.11894505073712426
way/785730495-275,49.2,0.11774842044801838
way/143398451-400,49.2,0.11774842044801838
way/143388743-275,48.9,0.11703044227455485
way/87204522-400,48.3,0.11559448592762779
GB65-400,47.6,0.11391920352287958
GB44-275,46.0,0.11008998659774076
way/92529432-275,42.7,0.10219222668964197
way/84803250-275,42.6,0.1019529006318208
