transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,s_nom,geometry
1,GB74-275,GB74-400,275,400,3575,'LINESTRING (0.1651750409676874 51.443337371904725   0.1654369068235738 51.443551664677564)'
2,relation/13110368-275,relation/13110368-400,275,400,7150,'LINESTRING (-1.255426653086503 52.86342638561905    -1.2551639405673118 52.863643805547966)'
3,relation/14921826-275,relation/14921826-400,275,400,3575,'LINESTRING (-2.9624053599211826 54.94214225873508   -2.9621396593512914 54.94236341489138)'
4,relation/7879831-275,relation/7879831-400,275,400,7150,'LINESTRING (-3.958613809406172 51.68587295880674    -3.9583702131720218 51.68609590314178)'
5,relation/7880111-275,relation/7880111-400,275,400,2766,'LINESTRING (-0.4842413102397478 51.350478403863626  -0.4839829291472356 51.35069410569256)'
6,relation/7894457-275,relation/7894457-400,275,400,8938,'LINESTRING (-2.40543855695016 53.43519161103851     -2.405178454491036 53.435411487897824)'
7,relation/7894974-275,relation/7894974-400,275,400,5363,'LINESTRING (-4.080110627723587 55.751689917948966   -4.079846271169726 55.751913432931474)'
8,relation/7894975-275,relation/7894975-400,275,400,5363,'LINESTRING (-2.756647536964786 53.743818963246085   -2.7563875369248914 53.74403959044247)'
9,relation/9598269-275,relation/9598269-400,275,400,3575,'LINESTRING (-2.0436098431814425 53.49226710821048   -2.0433476003013955 53.49248623366183)'
10,way/100077745-275,way/100077745-400,275,400,3575,'LINESTRING (-4.463425800826517 55.57616157201634    -4.46316459970693 55.57638583273199)'
11,way/101077623-275,way/101077623-400,275,400,1788,'LINESTRING (-1.488270819939736 53.40611604956857    -1.488006263725702 53.40633399792946)'
12,way/102549055-275,way/102549055-400,275,400,5363,'LINESTRING (0.1143479226205021 51.52096844365073    0.1146099622024342 51.521182849760564)'
13,way/103915328-275,way/103915328-400,275,400,8938,'LINESTRING (-2.1507951036312747 51.393462774921126  -2.1505442874596796 51.393682013785934)'
14,way/109730296-275,way/109730296-400,275,400,3575,'LINESTRING (-1.131558865412809 54.56662671066788    -1.1312857399533636 54.56684398621295)'
15,way/111528318-220,way/111528318-275,220,275,4609,'LINESTRING (-2.977991294751535 56.52122916963613    -2.977642044834639 56.52109692636878)'
16,way/1120475588-275,way/1120475588-400,275,400,2766,'LINESTRING (-0.1883007925940831 51.43045856565049   -0.1880406282009816 51.430673628810894)'
17,way/1185489725-220,way/1185489725-400,220,400,1788,'LINESTRING (-2.930267283095473 57.50000469899806    -2.9299852160457927 57.50022609581149)'
18,way/118821349-275,way/118821349-400,275,400,5531,'LINESTRING (-2.384021498835101 57.21863711445629    -2.3837381741806007 57.218857335114365)'
19,way/1190395478-220,way/1190395478-400,220,400,3575,'LINESTRING (-2.283860547275266 57.490273208331814   -2.2835747608035395 57.4904932561789)'
20,way/1275300370-275,way/1275300370-400,275,400,5363,'LINESTRING (0.2374823453902237 51.463504357789716   0.2377446512443898 51.463718492750935)'
21,way/133323988-275,way/133323988-400,275,400,1844,'LINESTRING (-1.7992987590027574 57.473344543943696  -1.799010268972514 57.473563566004735)'
22,way/142841192-275,way/142841192-400,275,400,2766,'LINESTRING (-1.8660713421401691 53.81028405208352   -1.8658064214384853 53.81050282759089)'
23,way/143398451-275,way/143398451-400,275,400,3575,'LINESTRING (-4.4783809576370475 55.808925560990055  -4.4781184871214625 55.80914987836295)'
24,way/143905069-275,way/143905069-400,275,400,3575,'LINESTRING (-0.7937151256201481 53.22793088585751   -0.7934481145304575 53.228147338423845)'
25,way/159736514-275,way/159736514-400,275,400,4609,'LINESTRING (-1.3514257588175729 53.401265023444324  -1.3511605449978 53.40148268071731)'
26,way/163036722-275,way/163036722-400,275,400,1844,'LINESTRING (-2.216340426449257 53.621693063853314   -2.216078342625674 53.621912560011346)'
27,way/166703766-220,way/166703766-275,220,275,2766,'LINESTRING (-2.948293467640314 57.522811186876915   -2.94822725917826 57.52262412204681)'
28,way/166703766-220,way/166703766-400,220,400,3575,'LINESTRING (-2.948293467640314 57.522811186876915   -2.947945142649245 57.52284555923156)'
29,way/166703766-275,way/166703766-400,275,400,3575,'LINESTRING (-2.94822725917826 57.52262412204681     -2.947945142649245 57.52284555923156)'
30,way/167621580-275,way/167621580-400,275,400,1844,'LINESTRING (-2.023180017205035 52.498454301351046   -2.022923008696207 52.498673322624434)'
31,way/193617444-275,way/193617444-400,275,400,3575,'LINESTRING (-1.2829736279317232 53.71777657439959   -1.2827062753616534 53.71799410753945)'
32,way/200511209-275,way/200511209-400,275,400,2766,'LINESTRING (-1.4048160132977856 54.80490997118325   -1.404542869993434 54.80512785148831)'
33,way/212779654-275,way/212779654-400,275,400,3575,'LINESTRING (-3.92924228726503 55.76424291129104     -3.928977016985814 55.76446612430813)'
34,way/22975329-275,way/22975329-400,275,400,3687,'LINESTRING (-0.0116169427194316 51.71403166751221   -0.0113544671514259 51.71424635460757)'
35,way/23164132-275,way/23164132-400,275,400,7150,'LINESTRING (-2.9474152394787794 53.26739660705132   -2.947158775578948 53.26761759210352)'
36,way/23164256-275,way/23164256-400,275,400,5363,'LINESTRING (-2.71650599290348 53.30923426691855     -2.716248140828032 53.30945477944592)'
37,way/23232738-275,way/23232738-400,275,400,3687,'LINESTRING (-0.4984604430238244 51.5433526720148    -0.4982011331212757 51.54356841031178)'
38,way/23299362-275,way/23299362-400,275,400,3687,'LINESTRING (-0.1276972565473268 51.37316492678481   -0.1274371096384897 51.37337985661656)'
39,way/23299657-275,way/23299657-400,275,400,5363,'LINESTRING (-0.0038867938658633 51.35178004335303   -0.0036261868778072 51.351994702988286)'
40,way/25422135-220,way/25422135-400,220,400,12513,'LINESTRING (1.0615984126297 52.07118579191515       1.0618678452808807 52.07139812264317)'
41,way/264102298-275,way/264102298-400,275,400,3575,'LINESTRING (0.947372476489715 50.91460156610304     0.9476351382877737 50.91481412340657)'
42,way/27163121-275,way/27163121-400,275,400,3575,'LINESTRING (-3.1656311405912563 55.89140646911192   -3.165360859510898 55.891628144089125)'
43,way/280317944-220,way/280317944-400,220,400,3575,'LINESTRING (-3.4742660582172946 53.249877108492335  -3.4740123517069765 53.25009916771939)'
44,way/284874050-275,way/284874050-400,275,400,3575,'LINESTRING (-3.6725761519172164 55.43713102106707   -3.6723113984613573 55.43735367882529)'
45,way/292371992-275,way/292371992-400,275,400,7150,'LINESTRING (-3.1326847951187013 51.20606344277234   -3.1324395027279954 51.20628469901352)'
46,way/297840585-220,way/297840585-400,220,400,3575,'LINESTRING (-4.895060251069967 55.71804398501472    -4.894711934965643 55.717916986062754)'
47,way/31015820-275,way/31015820-400,275,400,7150,'LINESTRING (-0.1704475091607545 51.52734471733608   -0.1701867567156373 51.52755974451956)'
48,way/310502642-275,way/310502642-400,275,400,1844,'LINESTRING (-1.5315499368300922 55.14120362784813   -1.5312182811143855 55.14106730925334)'
49,way/31545125-275,way/31545125-400,275,400,1788,'LINESTRING (-1.9605503439240466 52.55302634884703   -1.9602927441073723 52.55324524183234)'
50,way/32604320-275,way/32604320-400,275,400,1788,'LINESTRING (0.1547901427427102 51.432659394873156   0.1550519045489002 51.432873710081715)'
