bus385_id,bus501_id
6441,relation/8087295-275
6442,way/495624575-275
6443,way/1262971878
6447,way/568527671
6449,way/1185489725-220
6448,way/1185489725-220
8013,way/1190395478-220
6485,way/133323988-275
6439,way/68515955-400
6438,way/68515955-400
6440,way/820229174-275
6437,way/239248206-400
6486,way/118821349-275
8015,GB7-275
6487,GB7-275
6451,way/1263095953-400
6450,way/1263095953-400
6460,way/495512692-400
8019,way/495512692-400
6462,way/111528318-220
6453,way/307769998-275
6452,way/307717807-275
6454,way/1307462736-275
8020,way/59736773-275
6473,way/59736773-275
6474,way/95374266-275
6475,way/89699558-275
6468,GB10-275
8032,way/89836009-275
6472,way/730870685-275
6464,way/422486984-275
6463,way/422486984-275
6469,way/76468460-275
8489,way/76468460-275
6471,way/76468460-275
6470,way/76468460-275
6484,way/65482882-400
6483,way/65482882-400
6478,way/32342648-275
6479,way/32342648-275
6490,way/97551523-400
6476,way/40685663-275
6477,way/40685663-275
6457,way/86071326-275
6456,way/86071326-275
6455,way/91056548-400
6488,way/262523325-400
8520,way/262523325-400
6489,way/262523325-400
6482,way/96905262-400
6481,way/96905262-400
8033,way/96905262-275
8034,way/96905262-275
6458,way/166703759-275
6480,way/27163121-400
7471,GB13-400
6459,way/109073025-275
6465,way/119315557-275
6466,way/308724719-275
6467,way/308724719-275
5901,way/143398451-275
5900,way/143398451-275
5906,way/166703764-275
8036,way/166703758-275
5902,way/166703758-275
8744,way/166703758-275
5910,way/212779654-400
5909,way/212779654-400
8035,way/212779654-275
5908,relation/7894974-400
5907,relation/7894974-275
5898,way/297840585-400
5896,way/297840585-400
8037,way/308802191-275
5943,way/102198808-400
5913,way/143383456-400
7469,way/143383456-400
8565,way/143383456-400
5912,way/143383456-400
5911,way/143383456-400
5904,way/143388743-275
5903,way/143388743-275
5899,way/125860302-275
5905,way/143105488-275
5914,way/284874050-275
5915,way/472289073-275
5917,way/472289073-275
5916,way/472289073-275
5918,way/676646876-400
5919,way/676646876-400
5949,way/642490160
5948,way/642490160
5950,way/642490160
5893,way/148382435-275
5920,relation/10377509-400
5951,way/96630594-275
8017,GB16-400
5946,GB16-400
5945,GB16-400
5944,way/143221984-275
5953,way/184584639-275
5922,relation/14921826-275
5921,relation/14921826-275
5954,way/200635683-275
5959,way/200511209-400
5958,way/200511209-400
5955,relation/11543333-400
5957,relation/11543333-400
5956,relation/11543333-400
5960,way/1297690788-275
5961,way/1297690788-275
5962,way/1297690788-275
5963,way/97561542-275
5967,way/97561542-275
5964,way/109730296-400
5966,way/142397822-400
5965,way/142397822-400
5952,relation/11051275-400
5924,way/94004582-400
5987,way/186747788-275
8027,GB20-400
5968,GB20-400
6019,way/109463536-275
6020,way/90125443-400
6021,way/25629803-400
5925,GB22-400
8026,GB22-400
5986,way/142841192-400
5985,way/142841192-400
5988,way/25492769-275
6036,way/33917128-400
6035,way/33917128-275
6034,way/33917128-275
5969,relation/7894483-400
5989,relation/10925187-275
6025,way/90547674-400
6024,way/90547674-400
6037,way/635836276-275
6040,way/635836276-275
5971,relation/7894975-400
5970,relation/7894975-400
6032,way/160580052-400
6023,way/193617444-400
6022,way/193617444-400
6026,way/313495269-400
5990,GB28-275
6041,way/701436399-400
8021,GB30-400
6038,GB30-400
6039,GB32-400
5976,way/163036722-400
5975,way/163036722-400
6043,way/313180501-400
7946,relation/7881280-400
6028,way/785730495-275
6027,way/785730495-275
6042,way/160279525-400
8022,way/81098733-275
5972,way/81098733-275
5928,way/81098733-275
5978,way/97256377-400
5977,way/97256377-400
5982,way/135693940-275
5993,way/1097582201-400
5992,relation/9598269-400
5991,relation/9598269-400
5995,way/90539508-400
5994,way/90539508-400
5997,way/90539508-400
5996,way/90539508-400
5980,way/92529432-275
5979,way/92529432-275
5981,way/92529432-275
5973,way/367005272-275
5983,way/92737152-275
5927,way/1153252242-275
5923,way/89427607-400
5998,way/101077623-275
5984,GB40-275
6029,way/159736514-400
8029,way/159736514-275
6031,way/159736514-275
6030,way/115887437-275
5999,way/116539370-275
5974,way/315213320-275
5926,way/153884024-275
6007,way/796648851-275
6009,way/123866712-275
6008,way/123866712-275
6001,way/23164256-400
6000,way/23164256-400
6033,way/314338790-400
6046,way/314338790-400
6006,way/92419253-400
6005,way/92419253-400
8838,way/92419253-275
8575,way/92419253-275
5941,way/23164132-275
5940,way/23164132-275
5932,way/280317944-220
8023,way/280317944-220
6045,way/143905069-275
6044,way/143905069-275
6010,way/92331023-275
5929,GB47-400
5930,GB49-400
5939,GB50-400
7412,GB50-400
6048,way/91003253-400
5942,way/95338682-400
5931,way/1214332448-275
6047,way/472164401-400
6052,way/895564309-400
7909,way/895564309-400
5934,way/89573357-400
5933,way/89573357-400
6050,relation/13110368-400
6049,relation/13110368-400
6014,way/71118225-400
8283,GB52-400
6053,way/376450057-400
6016,way/87204522-400
6015,way/87204522-400
6012,GB54-400
5888,way/635829123-400
6002,way/127184694-400
6004,way/92221420-275
7908,relation/7886014-400
6003,relation/7886014-400
6051,way/90534270-400
5889,way/32227788-400
7457,way/92458761-275
7456,way/92458761-275
7455,way/92458761-275
5212,way/92458761-275
5211,way/92458761-275
8649,way/49499923-400
6018,way/49499923-275
6017,way/49499923-275
6013,way/94543520-275
5219,relation/7896785-275
6011,way/167621580-400
5223,way/55284068-275
5217,way/28194931-275
5216,way/28194931-275
5218,way/28194931-275
7462,GB58-275
7461,GB58-275
5213,GB59-275
7466,GB59-275
7465,GB59-275
5222,way/92260633-275
5214,way/96067520-275
4950,way/25935453-400
5221,way/96107758-400
5220,way/96107758-400
7464,way/96107758-275
7463,way/96107758-275
5233,way/88287125-400
5239,way/89038614-400
7454,way/89038614-400
4980,way/576238223-400
4956,way/25422135-220
4951,way/77065229-400
5240,relation/7650368-400
5243,way/24165071-400
