buses_id,x,y
6442,-3.453827,58.56682
6441,-3.812256,58.546761
6443,-3.453827,58.490823
6447,-2.956696,57.521723
6485,-1.815491,57.484833
6439,-4.404144,57.452339
6438,-4.404144,57.452339
6449,-3.011627,57.422773
6448,-3.011627,57.422773
6440,-4.264069,57.422034
8013,-2.27005,57.410941
6437,-4.807892,57.333193
8015,-2.234037468,57.31687826
6486,-2.3909,57.21366
6487,-2.158813,57.193576
6451,-4.713135,57.128786
6450,-4.713135,57.128786
6460,-4.059448,56.794862
8019,-4.096049805,56.72076934
6462,-2.988281,56.567806
6453,-4.97818,56.415421
6452,-5.221252,56.367532
6454,-4.684296,56.36525
8020,-3.228624491,56.23801519
6473,-3.205261,56.215869
6474,-3.267059,56.163906
6468,-3.713379,56.110342
6475,-3.324738,56.091193
6464,-3.922119,56.078167
6463,-3.922119,56.078167
6472,-3.632355,56.063603
8032,-3.754578,56.034459
6469,-3.695526,56.026018
6471,-3.733978,55.998381
6470,-3.733978,55.998381
8489,-3.696899,55.998381
6484,-2.949829,55.955351
6483,-2.949829,55.955351
6478,-3.128357,55.952275
6490,-2.393646,55.943048
6479,-3.088531,55.933818
6455,-4.732361,55.922277
6457,-4.437103,55.919969
6456,-4.437103,55.919969
7471,-2.948422918,55.91886224
6482,-3.02948,55.914582
6481,-3.02948,55.914582
6476,-3.249207,55.913812
6488,-2.554321,55.909194
6458,-4.250336,55.901496
8520,-2.509003,55.900726
8033,-3.063812,55.899956
6489,-2.552948,55.885325
8034,-3.056946,55.884555
6480,-3.131104,55.883014
6477,-3.24234,55.881474
6465,-4.209137,55.863753
6466,-3.972931,55.86067
6459,-4.254456,55.846795
6467,-3.990784,55.787385
5906,-4.196777,55.768076
8035,-3.953705,55.763441
5910,-3.876801,55.759577
5909,-3.876801,55.759577
5908,-4.025116,55.758032
5901,-4.457703,55.751077
5900,-4.457703,55.751077
5898,-4.801025,55.72247
5913,-3.747711,55.718602
7469,-3.709259,55.715508
8036,-4.351959,55.713961
5902,-4.305267,55.706224
5896,-4.880676,55.704677
8565,-3.794403,55.69926
8744,-4.255829,55.697712
5907,-4.091034,55.692294
8037,-4.133606,55.692294
5943,-2.276917,55.677584
5912,-3.945465,55.624895
5911,-3.945465,55.624895
5904,-4.53186,55.525521
5903,-4.53186,55.525521
5914,-3.777924,55.452384
5915,-3.525238,55.422779
5899,-4.593658,55.408748
5905,-4.402771,55.380671
5918,-3.493652,55.375209
5917,-3.558197,55.301793
5916,-3.558197,55.301793
5919,-3.440094,55.215707
5949,-1.608124,55.178868
5948,-1.608124,55.178868
5950,-1.572418,55.113728
8017,-1.888275,55.096445
5893,-4.946594,55.072864
5920,-3.217621,55.060282
5951,-1.528473,55.044549
5944,-2.290649,55.032745
5946,-1.864929,55.001251
5945,-1.864929,55.001251
5953,-1.479034,54.974461
5922,-2.971802,54.93661
5921,-2.971802,54.93661
5954,-1.447449,54.897144
5959,-1.400757,54.824426
5958,-1.400757,54.824426
5955,-1.643829,54.741272
5960,-1.288147,54.715895
5961,-1.234589,54.677801
5957,-1.485901,54.661124
5956,-1.485901,54.661124
5962,-1.322479,54.646823
5963,-1.128845,54.616617
5964,-1.128845,54.587184
5967,-1.034088,54.566489
5966,-1.18927,54.553748
5965,-1.18927,54.553748
5952,-2.735596,54.303704
8027,-2.679291,54.047295
5924,-2.857819,54.043264
5987,-1.463928,54.043264
5968,-2.756195,54.028747
6019,-1.153564,53.985973
6020,-0.998383,53.968205
5925,-2.927856,53.896247
6021,-0.791016,53.896247
8026,-2.838593,53.859007
5986,-1.808624,53.841184
5985,-1.808624,53.841184
5969,-2.184906,53.81849
6035,-0.42984,53.805517
6034,-0.42984,53.805517
5989,-1.487274,53.803895
5988,-1.649323,53.796595
6037,-0.149689,53.790917
6036,-0.33783,53.773066
5971,-2.71637,53.739777
5970,-2.71637,53.739777
6023,-1.2854,53.724342
6022,-1.2854,53.724342
6025,-1.203003,53.724342
6024,-1.203003,53.724342
6040,-0.199127,53.721904
6032,-0.898132,53.718654
6026,-1.130219,53.691015
6039,-0.335083,53.681255
8021,-0.572400836,53.66556511
5990,-1.763306,53.660102
6041,-0.254059,53.651964
6038,-0.589142,53.624281
7946,-0.845947,53.622652
5976,-2.146454,53.59984
5975,-2.146454,53.59984
6043,-0.164795,53.59984
8022,-2.738342,53.585984
5972,-2.650452,53.583538
6028,-1.100006,53.566414
6027,-1.100006,53.566414
6042,-0.181274,53.560705
5928,-2.831726,53.533778
5978,-2.340088,53.526432
5977,-2.340088,53.526432
5982,-2.216492,53.519084
5993,-1.700134,53.491314
5992,-2.032471,53.490497
5991,-2.032471,53.490497
5995,-1.612244,53.443899
5994,-1.612244,53.443899
5973,-2.772675,53.443081
5927,-2.948456,53.436537
5997,-1.561432,53.429992
5983,-2.25769,53.420991
5980,-2.389526,53.420172
5979,-2.389526,53.420172
5999,-1.451569,53.415262
5984,-2.110748,53.41035
6029,-1.327972,53.407076
5998,-1.516113,53.400526
5974,-2.682037,53.383328
5926,-3.047333,53.373498
5923,-4.405518,53.369401
6030,-1.380157,53.369401
6033,-0.709991,53.366124
8029,-1.344953617,53.36177669
5996,-1.632843,53.351371
5981,-2.344208,53.346452
6031,-1.367798,53.333333
6007,-1.546326,53.301338
6001,-2.69989,53.297235
6000,-2.69989,53.297235
6009,-1.426849,53.287384
6008,-1.426849,53.287384
6046,-0.712738,53.271783
5932,-3.556824,53.268498
5941,-2.944336,53.24796
5940,-2.944336,53.24796
8838,-2.1698,53.243852
6006,-2.094269,53.24303
6005,-2.094269,53.24303
8023,-3.574677,53.215079
8575,-2.136841,53.213435
6045,-0.909119,53.2085
6044,-0.909119,53.2085
6010,-1.499634,53.206033
5939,-3.106384,53.164887
5929,-4.21875,53.148418
5930,-4.11026,53.111339
7412,-3.115997,53.063501
6048,-0.8638,53.057723
5931,-4.025116,53.037084
6052,-0.111237,53.035433
5942,-3.011627,52.966011
7909,-0.208961174,52.96006764
6047,-0.999756,52.942845
8283,-0.027466,52.864985
5934,-3.886414,52.860839
5933,-3.886414,52.860839
6050,-1.218109,52.858352
6049,-1.218109,52.858352
6014,-1.590271,52.837617
6053,-0.129089,52.795289
6016,-1.595764,52.743775
6015,-1.595764,52.743775
5888,0.267792,52.708011
6012,-1.849823,52.680545
7908,-2.5914,52.663891
6003,-2.500763,52.641397
6002,-2.69165,52.632229
5889,1.307373,52.593038
6004,-2.114868,52.578019
8649,-1.724854,52.571342
7457,-2.242584,52.545461
7456,-2.242584,52.545461
6013,-1.867676,52.533767
6051,-1.167297,52.532096
6011,-2.002258,52.509535
6018,-1.712494,52.502848
6017,-1.712494,52.502848
7455,-2.285156,52.48278
5212,-2.268677,52.464377
5211,-2.268677,52.464377
5219,-1.864929,52.453499
5213,-2.145081,52.450151
5223,-1.425476,52.445129
5217,-1.977539,52.410797
5216,-1.977539,52.410797
7466,-2.176627963,52.37104518
7465,-2.176627963,52.37104518
5218,-2.04071,52.361345
5222,-1.597137,52.346246
7462,-1.742706,52.330304
7461,-1.742706,52.330304
4950,0.303497,52.288323
7464,-2.018669232,52.26949297
7463,-2.018669232,52.26949297
5233,-0.74295,52.266477
5239,-0.357056,52.258071
7454,-0.293884,52.242938
5214,-2.198639,52.23621
5221,-1.9487,52.224435
5220,-1.9487,52.224435
4980,1.569672,52.174774
5232,-0.921478,52.107349
8578,-1.047821,52.073598
4956,1.024475,52.041511
5240,-0.53421,51.948497
5243,-0.302124,51.947651
5236,-1.010742,51.929025
8473,-0.845947,51.929025
4951,0.045319,51.928178
5215,-2.289276,51.893444
4955,0.611115,51.868012
4954,0.517731,51.856139
5237,-0.819855,51.849353
8860,0.015106,51.832383
5188,-3.13385,51.815407
8747,-2.013245,51.811162
5245,-0.034332,51.799274
8189,-3.317871,51.793328
8290,-3.372803,51.789081
7945,-3.330231,51.783984
8025,-0.004389837,51.77516218
8024,-0.004389837,51.77516218
8094,-0.003832475,51.77509562
8093,-0.003832475,51.77509562
8529,-3.937225,51.743187
5247,-0.027466,51.741487
5246,-0.027466,51.741487
8515,-3.900146,51.737235
5234,-1.237335,51.734683
5183,-4.850464,51.728729
5238,-0.799255,51.726178
5185,-3.935852,51.710863
5184,-3.935852,51.710863
5242,-0.43396,51.702353
7361,-1.242828,51.689585
5235,-1.082153,51.687882
7286,-0.038452,51.68618
5244,-0.22522,51.684477
5248,-0.074158,51.657223
5187,-3.279419,51.646998
5186,-3.279419,51.646998
5189,-3.004761,51.644442
4952,0.050812,51.641033
5241,-0.517731,51.627395
4953,0.266418,51.623985
5198,-3.011627,51.598401
5200,-2.882538,51.595842
5199,-2.882538,51.595842
5264,-0.273285,51.590723
5263,-0.273285,51.590723
5249,-1.235962,51.583897
5268,-0.074158,51.57963
5267,-0.074158,51.57963
5256,-0.699005,51.577923
5255,-0.699005,51.577923
4968,0.532837,51.576216
5226,-2.06131,51.571949
5191,-3.725739,51.562559
5195,-3.320618,51.559997
5269,-0.032959,51.550605
5225,-2.471924,51.539502
4958,0.031586,51.536086
4957,0.031586,51.536086
8397,-3.186035,51.53565852
5224,-2.633972,51.533523
5258,-0.390015,51.53096
5266,-0.155182,51.525834
4965,0.482025,51.519853
7458,-3.29822016,51.51584558
5192,-3.596649,51.505323
5197,-3.192902,51.498485
4961,0.280151,51.489935
5259,-0.508118,51.477962
4967,0.373535,51.467697
4966,0.373535,51.467697
8030,-0.694885,51.461708
5257,-0.686646,51.439457
4960,0.215607,51.430896
