bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
# GB1-220,220,f,Substation,f,GB1,-2.8957458,58.2568149,GB,POINT (-2.89574579999998 58.25681489665168)
GB10-275,275,f,Substation,f,GB10,-3.719714103,56.08813281,GB,POINT (-3.7197141029573086 56.08813280985685)
GB11-275,275,f,Substation,f,GB11,-3.1796917,55.9246204,GB,POINT (-3.179691699999998 55.92462039608915)
GB12-275,275,f,Substation,f,GB12,-3.1786274,55.9031338,GB,POINT (-3.1786274000000008 55.903133796083246)
GB13-400,400,f,Substation,f,GB13,-2.93891761,55.88469412,GB,POINT (-2.9389176097429712 55.884694124885954)
GB14-400,400,f,Substation,f,GB14,-4.5707774,55.8344676,GB,POINT (-4.570777400000004 55.83446759606426)
GB15-275,275,f,Substation,f,GB15,-4.1161377,55.79148895,GB,POINT (-4.11613770018689 55.79148894636537)
GB16-400,400,f,Substation,f,GB16,-1.803404057,55.0152563,GB,POINT (-1.8034040567708642 55.01525629671486)
GB17-275,275,f,Substation,f,GB17,-1.409093389,54.75666396,GB,POINT (-1.409093389403127 54.75666396457275)
GB18-400,400,f,Substation,f,GB18,-2.91670123,54.02987179,GB,POINT (-2.9167012300123223 54.02987178961289)
# GB19-220,220,f,Substation,f,GB19,-3.6660007,54.015637,GB,POINT (-3.666000699999993 54.01563699550168)
# GB2-220,220,f,Substation,f,GB2,-2.8805172,58.2499453,GB,POINT (-2.8805171999999923 58.24994529665021)
GB20-400,400,f,Substation,f,GB20,-2.755971765,54.01281882,GB,POINT (-2.755971765460919 54.012818820916905)
# GB21-220,220,f,Substation,f,GB21,1.6306869,53.9394081,GB,POINT (1.6306868999999995 53.939408095475535)
GB22-400,400,f,Substation,f,GB22,-2.933961224,53.87556701,GB,POINT (-2.933961224226964 53.875567008248865)
GB23-275,275,f,Substation,f,GB23,-1.2972567,53.8695026,GB,POINT (-1.2972567000000017 53.86950259545133)
# GB24-220,220,f,Substation,f,GB24,1.6376833,53.766543,GB,POINT (1.6376833000000046 53.76654299541544)
GB25-400,400,f,Substation,f,GB25,-1.8053122,53.7437311,GB,POINT (-1.805312199999999 53.74373109540734)
GB26-275,275,f,Substation,f,GB26,-1.831285551,53.72329819,GB,POINT (-1.831285550586006 53.72329818545351)
GB27-400,400,f,Substation,f,GB27,-2.4534812,53.7101582,GB,POINT (-2.453481199999988 53.71015819539558)
GB28-275,275,f,Substation,f,GB28,-1.804010541,53.67674115,GB,POINT (-1.8040105412647058 53.67674114732595)
GB29-275,275,f,Substation,f,GB29,-2.0685211,53.6559798,GB,POINT (-2.068521099999986 53.65597979537638)
