bus501_id,x_501,y_501,bus385_id,x_385,y_385
way/975637991,-1.271945117,60.29340063,,,
relation/8087295-275,-3.753619779,58.57578626,6441.0,-3.812256,58.546761
way/495624575-275,-3.512714811,58.56423307,6442.0,-3.453827,58.56682
way/567187951-275,-3.879158411,58.51215379,,,
way/1262971878,-3.452184944,58.4799679,6443.0,-3.453827,58.490823
way/1262971878-275,-3.451974079,58.47918791,,,
GB1-220,-2.8957458,58.2568149,,,
GB2-220,-2.8805172,58.2499453,,,
GB3-220,-2.9011666,58.2463135,,,
GB4-220,-2.7128938,58.096774,,,
GB5-220,-2.9917152,58.0575386,,,
way/232319495-275,-4.054651831,58.04305564,,,
way/624256368-275,-4.274602635,57.94989456,,,
way/630939126-275,-4.299807734,57.69879144,,,
GB6-220,-2.7300015,57.6863438,,,
way/306451400-275,-3.420053174,57.55683906,,,
way/115277975-275,-2.938352915,57.54031721,,,
way/166703766-400,-2.947945143,57.52284556,,,
way/166703766-220,-2.948293468,57.52281119,,,
way/166703766-275,-2.948227259,57.52262412,,,
way/568527671,-2.950413996,57.52117497,6447.0,-2.956696,57.521723
way/778717371-275,-3.599421067,57.50405712,,,
way/1185489725-400,-2.929985216,57.5002261,,,
way/1185489725-220,-2.930267283,57.5000047,6448.0,-3.011627,57.422773
way/1190395478-400,-2.283574761,57.49049326,,,
way/1190395478-220,-2.283860547,57.49027321,8013.0,-2.27005,57.410941
way/133323988-400,-1.799010269,57.47356357,,,
way/133323988-275,-1.799298759,57.47334454,6485.0,-1.815491,57.484833
way/68515955-400,-4.49412943,57.46666596,6438.0,-4.404144,57.452339
way/68515955-275,-4.494402024,57.46644139,,,
way/842685465-275,-2.849826533,57.45195874,,,
way/820229174-275,-4.245682384,57.42194651,6440.0,-4.264069,57.422034
way/820237569-400,-2.516056398,57.40999278,,,
way/239248206-400,-4.792978682,57.32963357,6437.0,-4.807892,57.333193
way/689624522-275,-4.374689859,57.31756147,,,
way/762272690-275,-4.066787747,57.30110569,,,
way/127045977-275,-4.474247602,57.2686026,,,
way/118821349-400,-2.383738174,57.21885734,,,
way/118821349-275,-2.384021499,57.21863711,6486.0,-2.3909,57.21366
GB7-275,-2.138815132,57.1742089,6487.0,-2.158813,57.193576
way/1263095953-400,-4.718064557,57.13534566,6450.0,-4.713135,57.128786
way/689626274-400,-4.470529413,57.02726384,,,
way/241491759-275,-2.347280722,56.9644504,,,
way/495512692-400,-4.028475775,56.70699438,8019.0,-4.096049805,56.72076934
way/1252341626-275,-3.161991811,56.60968212,,,
GB8-220,-1.7589614,56.5849318,,,
way/111528318-220,-2.977991295,56.52122917,6462.0,-2.988281,56.567806
way/111528318-275,-2.977642045,56.52109693,,,
way/307769998-275,-5.013490714,56.42011576,6453.0,-4.97818,56.415421
way/307717807-275,-5.112889333,56.40280357,6452.0,-5.221252,56.367532
way/1307462736-275,-4.724597383,56.32414272,6454.0,-4.684296,56.36525
way/495512689-400,-3.947205223,56.26205254,,,
way/59736773-275,-3.201029099,56.2069709,6473.0,-3.205261,56.215869
way/95374266-275,-3.300651188,56.16422675,6474.0,-3.267059,56.163906
GB9-275,-3.3055849,56.1404298,,,
way/89699558-275,-3.292936689,56.10595644,6475.0,-3.324738,56.091193
GB10-275,-3.719714103,56.08813281,6468.0,-3.713379,56.110342
way/89836009-275,-3.730603794,56.07508685,8032.0,-3.754578,56.034459
