bus501_id,x_501,y_501,bus385_id,x_385,y_385
way/975637991,-1.271945117,60.29340063,6442,-3.453827,58.56682
relation/8087295-275,-3.753619779,58.57578626,6441,-3.812256,58.546761
way/495624575-275,-3.512714811,58.56423307,6443,-3.453827,58.490823
way/567187951-275,-3.879158411,58.51215379,6447,-2.956696,57.521723
way/1262971878,-3.452184944,58.4799679,6485,-1.815491,57.484833
way/1262971878-275,-3.451974079,58.47918791,6439,-4.404144,57.452339
GB1-220,-2.8957458,58.2568149,6438,-4.404144,57.452339
GB2-220,-2.8805172,58.2499453,6449,-3.011627,57.422773
GB3-220,-2.9011666,58.2463135,6448,-3.011627,57.422773
GB4-220,-2.7128938,58.096774,6440,-4.264069,57.422034
GB5-220,-2.9917152,58.0575386,8013,-2.27005,57.410941
way/232319495-275,-4.054651831,58.04305564,6437,-4.807892,57.333193
way/624256368-275,-4.274602635,57.94989456,8015,-2.234037468,57.31687826
way/630939126-275,-4.299807734,57.69879144,6486,-2.3909,57.21366
GB6-220,-2.7300015,57.6863438,6487,-2.158813,57.193576
way/306451400-275,-3.420053174,57.55683906,6451,-4.713135,57.128786
way/115277975-275,-2.938352915,57.54031721,6450,-4.713135,57.128786
way/166703766-400,-2.947945143,57.52284556,6460,-4.059448,56.794862
way/166703766-220,-2.948293468,57.52281119,8019,-4.096049805,56.72076934
way/166703766-275,-2.948227259,57.52262412,6462,-2.988281,56.567806
way/568527671,-2.950413996,57.52117497,6453,-4.97818,56.415421
way/778717371-275,-3.599421067,57.50405712,6452,-5.221252,56.367532
way/1185489725-400,-2.929985216,57.5002261,6454,-4.684296,56.36525
way/1185489725-220,-2.930267283,57.5000047,8020,-3.228624491,56.23801519
way/1190395478-400,-2.283574761,57.49049326,6473,-3.205261,56.215869
way/1190395478-220,-2.283860547,57.49027321,6474,-3.267059,56.163906
way/133323988-400,-1.799010269,57.47356357,6468,-3.713379,56.110342
way/133323988-275,-1.799298759,57.47334454,6475,-3.324738,56.091193
way/68515955-400,-4.49412943,57.46666596,6464,-3.922119,56.078167
way/68515955-275,-4.494402024,57.46644139,6463,-3.922119,56.078167
way/842685465-275,-2.849826533,57.45195874,6472,-3.632355,56.063603
