NationalGridBmUnit,carrier,bus,lon,lat,capacity
IBG-EGEN1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-ENGI1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IBG-RSQ1,interconnector,4969,0.6530000000000001,51.46000000000001,0.0
IVD-VKL1,interconnector,7909,-0.221,52.931,0.0
IVG-VKL1,interconnector,7909,-0.221,52.931,0.0
BFSE01,battery,6051,-1.22,52.585,50.0
AG-HLIM01,battery,5249,-1.494,51.598,0.0
AG-HLIM02,battery,5252,-1.194,50.852,60.0
AG-HLIM03,battery,5226,-1.99,51.616,60.0
AG-HLIM04,battery,5249,-1.494,51.598,100.0
BRGDG-1,fossil,6038,-0.508006,53.540993,100.0
AG-MFLX02,battery,6029,-1.247,53.398,50.0
AG-NHAV02,fossil,5913,-3.781,55.803,50.0
CMSTW-1,onwind,6443,-3.270129,58.406935,0.0
ROTHW-1,onwind,6448,-3.36,57.53,50.0
PAUHW-1,onwind,6448,-3.458196,57.451933,0.0
AG-PFLX01,battery,8020,-3.423,56.412,65.0
NSC-ATL01,hydro,6438,-4.491,57.468,49.9
LCSMH-1,cascade,6453,-5.073,56.829,0.0
KNLCV-1,hydro,6453,-4.95803,56.7129,88.0
CAIRW-2,onwind,6448,-3.063895,57.504968,24.0
MDHLW-1,onwind,6486,-2.482026,56.964685,0.0
TMNCW-1,onwind,6440,-3.9,57.391,75.9
DRAXD-2,biomass,6032,-0.996389,53.7358,39.0
ABERU-1,fossil,6049,-1.270137,53.090486,3960.0
ABRTW-1,onwind,6441,-4.372559,58.430482,10.0
AIRSW-1,onwind,5914,-3.814161,55.51487,36.0
ARNKB-2,battery,4966,0.344,51.484,35.0
ASHWW-1,onwind,6452,-5.449219,56.065903,49.9
ASLVW-1,onwind,5911,-3.988675,55.621764,35.0
BARNB-1,battery,5999,-1.457,53.558,25.0
BETHW-1,onwind,6440,-3.966064,57.36209,52.5
BHOLB-1,battery,5229,-1.998,50.721,40.0
BLARW-1,onwind,5896,-5.636,55.564,29.0
BNWKW-1,onwind,6443,-3.21433,58.351973,7.5
BRDUW-1,onwind,5905,-4.141234,55.255156,35.0
BRGG-1,fossil,6042,-0.32959,53.442264,22.5
BRIDU-1,fossil,6037,-0.203475,54.086555,72.0
BROAB-1,battery,4962,0.33,51.413,0.0
BROFB-1,battery,4956,1.05,52.074,0.0
BRYBW-1,onwind,6451,-4.668919,57.22303,7.5
BTUIW-2,onwind,6451,-4.789059,57.17555556,11.0
BTUIW-3,onwind,6451,-4.789059,57.17555556,50.0
BURWB-1,battery,4950,0.316,52.279,66.7
CHAPB-1,battery,5240,-0.4963,51.9266,118.0
CLAC-1,hydro,6453,-4.918736,56.277573,118.0
CLAYB-1,battery,4961,0.298,51.552,348.0
CLAYB-2,battery,4961,0.298,51.552,50.0
CLFLW-1,onwind,6453,-4.957855,56.283062,49.5
CONTB-1,battery,5273,-0.162756,50.95526,40.0
CORB-1,fossil,5233,-0.86792,52.247983,99.0
COWE1,fossil,5207,-5.064697,50.373496,99.0
COWE2,fossil,5207,-5.064697,50.373496,15.0
CROYD-2,fossil,5270,-0.11637,51.37644,34.0
CRSSB-1,battery,5927,-2.959,53.481,350.0
DALSW-1,onwind,5917,-3.662819,55.183662,140.0
DBFRM-1,fossil,5252,-1.153879,50.861673,140.0
DERW-1,fossil,6049,-1.399444,52.905812,0.0
DIDC01G,fossil,5249,-1.26757,51.62363,20.0
DIDC02G,fossil,5249,-1.26757,51.62363,30.0
DIDC03G,fossil,5249,-1.26757,51.62363,19.5
DIDC04G,fossil,5249,-1.26757,51.62363,0.0
FASN3,hydro,6437,-4.793703,57.325887,0.0
FASN-4,hydro,6437,-4.793703,57.325887,0.0
FAWN-1,fossil,5253,-1.351433,50.830367,0.0
FDUNT-1,fossil,6010,-1.349033,53.071393,0.0
FELL-1,fossil,5253,-1.351433,50.830367,69.0
GDSTW-1,onwind,8013,-2.484139,57.460944,69.0
GFLDW-1,onwind,7946,-0.872421,53.668356,0.0
GLCHW-1,onwind,5893,-4.754334,54.96342,100.0
