id,tech,capacity_mw,abs_year,stage,discount_factor,discounted_pre_dev_per_mw,discounted_construction_per_mw,discounted_fixed_om_per_mw,discounted_variable_om_per_mw,discounted_total_cost_per_mw,discounted_mwh_per_mw,discounted_pre_dev_total,discounted_construction_total,discounted_fixed_om_total,discounted_variable_om_total,discounted_total_cost,discounted_mwh_total,discounted_infra_lump_total
DRAXD-2,biomass,2580.0,0,pre_dev,1.0,42900.0,0.0,0.0,0.0,42900.0,0.0,110682000.0,0.0,0.0,0.0,110682000.0,0.0,0.0
DRAXD-2,biomass,2580.0,1,pre_dev,0.9267840593141798,39759.03614457831,0.0,0.0,0.0,39759.03614457831,0.0,102578313.25301205,0.0,0.0,0.0,102578313.25301205,0.0,0.0
DRAXD-2,biomass,2580.0,2,pre_dev,0.8589286925988693,37964.64821287002,0.0,0.0,0.0,37964.64821287002,0.0,97948792.38920465,0.0,0.0,0.0,97948792.38920465,0.0,0.0
DRAXD-2,biomass,2580.0,3,construction,0.7960414203882012,0.0,1171772.9708114322,0.0,0.0,1171772.9708114322,0.0,0.0,3023174264.6934953,0.0,0.0,3023174264.6934953,0.0,183089.5266892863
DRAXD-2,biomass,2580.0,4,construction,0.7377584989696027,0.0,1274846.6862194734,0.0,0.0,1274846.6862194734,0.0,0.0,3289104450.4462414,0.0,0.0,3289104450.4462414,0.0,199194.7947217927
DRAXD-2,biomass,2580.0,5,operation,0.6837428164685846,0.0,0.0,70357.13581461736,35218.771984917024,105575.90779953438,5031.253140702433,0.0,0.0,181521410.40171278,90864431.72108592,272385842.1227987,12980633.103012277,0.0
DRAXD-2,biomass,2580.0,6,operation,0.6336819429736651,0.0,0.0,65205.871931990136,32640.19646424192,97846.06839623206,4662.885209177417,0.0,0.0,168231149.58453456,84211706.87774415,252442856.46227872,12030243.839677736,0.0
DRAXD-2,biomass,2580.0,7,operation,0.58728632342323,0.0,0.0,60431.76268025036,30250.413775942463,90682.17645619283,4321.487682277495,0.0,0.0,155913947.71504593,78046067.54193155,233960015.2569775,11149438.220275937,0.0
DRAXD-2,biomass,2580.0,8,operation,0.5442876028018814,0.0,0.0,56007.19432831359,28035.601275201545,84042.79560351514,4005.0858964573636,0.0,0.0,144498561.36704907,72331851.29001999,216830412.65706906,10333121.612859998,0.0
DRAXD-2,biomass,2580.0,9,operation,0.5044370739591115,0.0,0.0,51906.57491039258,25982.948355145083,77889.52326553766,3711.849765020726,0.0,0.0,133918963.26881285,67036006.75627431,200954970.02508718,9576572.393753473,0.0
